# Cloudreach frame matrix -- tools/capture_cloudreach_frame_matrix.gd (production CameraRig; fixture in the tool header)
# name | row | trainer feet | yaw/pitch deg | target | hour | stand (candidate) | camera | trainer on screen | companion | flags
MANIFEST 01_gate_lower_cliffs_approach_day | approach | trainer (-8.0, 105.55, -248.0) | yaw 169.8 pitch -12.0 | target (-24.0, 130.00, -159.0) | hour 10.00 | stand (-8.0, 105.00, -248.0) (1/2) | camera (-7.1, 108.38, -253.0) | trainer on screen (50%, 60%) | companion placed (-10.1, 105.75, -246.7) | flags boot | Arrival from the Meadows gate (transition point 0,105,-260) toward Realm Gate Crag; stand from capture_cloudreach_realm_gate_crag.gd `arrival`.
MANIFEST 02_gate_lower_cliffs_route_day | route | trainer (-191.2, 137.53, 118.4) | yaw 126.9 pitch -12.0 | target (-300.0, 146.50, 200.0) | hour 10.00 | stand (-191.2, 137.50, 118.4) (1/2) | camera (-187.1, 140.36, 115.3) | trainer on screen (50%, 60%) | companion placed (-193.6, 137.67, 117.9) | flags boot | arrival_gate_road segment 2 midpoint, 2 m right of centre, looking along the road toward Galefoot.
MANIFEST 03_gate_lower_cliffs_reverse_day | reverse | trainer (-191.2, 137.53, 118.4) | yaw -54.8 pitch -12.0 | target (-80.0, 131.50, 40.0) | hour 10.00 | stand (-191.2, 137.50, 118.4) (1/2) | camera (-195.4, 140.36, 121.3) | trainer on screen (50%, 60%) | companion placed (-188.9, 137.49, 118.9) | flags boot | Same stand, looking back down the road toward the gate crag and arrival.
MANIFEST 04_gate_lower_cliffs_detail-crag_day | detail-crag | trainer (-15.5, 109.53, -202.0) | yaw 168.8 pitch -5.9 | target (-24.0, 130.00, -159.0) | hour 10.00 | stand (-15.5, 110.00, -202.0) (1/2) | camera (-14.5, 111.81, -207.1) | trainer on screen (50%, 60%) | companion placed (-17.6, 109.72, -200.8) | flags boot | Close material view of the Realm Gate Crag masonry and strata; stand from capture_cloudreach_realm_gate_crag.gd `approach`.
MANIFEST 05_gate_lower_cliffs_settlement-galefoot_day | settlement-galefoot | trainer (-286.0, 180.00, 535.0) | yaw -30.5 pitch -12.0 | target (-276.0, 186.00, 518.0) | hour 10.00 | stand (-286.0, 180.00, 535.0) (1/2) | camera (-288.6, 182.83, 539.4) | trainer on screen (50%, 60%) | companion placed (-283.6, 180.05, 534.5) | flags boot | Key settlement Galefoot Waycamp (camp -280,180,520) on its terrace toward the hearth; stand from capture_cloudreach_galefoot_waycamp.gd.
MANIFEST 06_broken_causeways_approach_day | approach | trainer (-303.9, 281.22, 964.5) | yaw 153.0 pitch -12.0 | target (-485.0, 345.00, 1320.0) | hour 10.00 | stand (-303.9, 280.50, 964.5) (1/2) | camera (-301.6, 284.05, 960.0) | trainer on screen (50%, 60%) | companion placed (-306.2, 281.56, 965.1) | flags boot | lower_cliff_road final climb (t=0.7) toward Three Bells Bridge, the causeway's first landmark.
MANIFEST 07_broken_causeways_route_day | route | trainer (-365.9, 363.48, 1451.4) | yaw -135.7 pitch -12.0 | target (-260.0, 391.50, 1560.0) | hour 10.00 | stand (-365.9, 363.60, 1451.4) (1/2) | camera (-369.5, 366.31, 1447.8) | trainer on screen (50%, 60%) | companion placed (-366.1, 364.57, 1453.8) | flags boot | broken_causeway_main past the rope bridge (t=0.45), looking up the causeway toward the stone viaduct.
MANIFEST 08_broken_causeways_reverse_day | reverse | trainer (-365.9, 363.48, 1451.4) | yaw 42.6 pitch -12.0 | target (-450.0, 343.50, 1360.0) | hour 10.00 | stand (-365.9, 363.60, 1451.4) (1/2) | camera (-362.5, 366.31, 1455.1) | trainer on screen (50%, 60%) | companion placed (-365.7, 363.23, 1449.0) | flags boot | Same stand, looking back to the rope bridge's east landing.
MANIFEST 09_broken_causeways_detail-ropebridge_day | detail-ropebridge | trainer (-515.0, 336.86, 1302.2) | yaw -131.6 pitch -12.0 | target (-450.0, 343.00, 1360.0) | hour 10.00 | stand (-515.0, 333.30, 1302.2) (1/2) | camera (-518.8, 339.69, 1298.8) | trainer on screen (50%, 60%) | companion placed (-515.0, 337.34, 1304.6) | flags boot | On the first_rope_span deck (t=0.28 of its endpoints) looking along planks, rails and rope; fallback is the tested bridge approach.
MANIFEST 10_broken_causeways_lure-bells_day | lure-bells | trainer (-454.0, 342.03, 1357.0) | yaw 31.9 pitch -12.0 | target (-477.0, 345.00, 1320.0) | hour 10.00 | stand (-454.0, 342.00, 1357.0) (1/2) | camera (-453.0, 344.20, 1358.7) | trainer on screen (50%, 74%) | companion placed (-453.3, 342.08, 1354.7) | flags boot | Optional lure: the lower bell of three_bells_against_silence; stands from capture_cloudreach_three_bells_bridge.gd.
MANIFEST 11_windscar_ravine_approach_day | approach | trainer (-86.0, 462.15, 2351.6) | yaw 152.1 pitch -12.0 | target (-260.0, 506.00, 2680.0) | hour 10.00 | stand (-86.0, 462.00, 2351.6) (1/2) | camera (-83.6, 464.98, 2347.1) | trainer on screen (50%, 60%) | companion placed (-88.3, 462.29, 2352.2) | flags boot | broken_causeway_main last segment (t=0.6) entering the ravine, toward the Windscar Beacon.
MANIFEST 12_windscar_ravine_route_day | route | trainer (-332.1, 447.97, 2592.3) | yaw 124.2 pitch -12.0 | target (-520.0, 431.50, 2720.0) | hour 10.00 | stand (-332.1, 448.00, 2592.3) (1/2) | camera (-327.9, 450.80, 2589.4) | trainer on screen (50%, 60%) | companion placed (-334.4, 447.88, 2591.7) | flags boot | windscar_floor_loop (t=0.55) along the ravine floor toward the chain bridge.
MANIFEST 13_windscar_ravine_reverse_day | reverse | trainer (-332.1, 447.97, 2592.3) | yaw -56.7 pitch -12.0 | target (-100.0, 471.50, 2440.0) | hour 10.00 | stand (-332.1, 448.00, 2592.3) (1/2) | camera (-336.4, 450.80, 2595.1) | trainer on screen (50%, 60%) | companion placed (-329.8, 448.15, 2592.9) | flags boot | Same stand, looking back to the counterweight-gate junction.
MANIFEST 14_windscar_ravine_detail-beacon_day | detail-beacon | trainer (-250.9, 499.65, 2687.8) | yaw 49.4 pitch -12.0 | target (-260.0, 505.00, 2680.0) | hour 10.00 | stand (-250.9, 500.00, 2687.8) (1/4) | camera (-247.0, 502.48, 2691.1) | trainer on screen (50%, 60%) | companion placed (-250.9, 500.15, 2685.4) | flags boot | Close view of the open Windscar Beacon, 12 m off its anchor (_capture_cloudreach_windscar_beacon_site.gd stand05 anchor/heading).
