step,phase,label,path_m,sites_credited,sites_passed_while_gate_closed,candy_levels,recovery_items,harvest_nodes
0,0,"walk route_vertex:arrival_gate_road",877,"road_visibility_arrival_gate_road_01 road_visibility_arrival_gate_road_02 road_visibility_arrival_gate_road_03 road_visibility_arrival_gate_road_04 road_visibility_arrival_gate_road_05 road_visibility_arrival_gate_road_06 road_visibility_arrival_gate_road_07 road_visibility_arrival_gate_road_08","",2,"{ 'potion_small': 2, 'revive': 1 }",""
1,0,"walk npc:warden_aila",37,"","",0,"{  }",""
2,0,"walk anchor:lower_west",1008,"road_visibility_arrival_gate_road_09 road_visibility_lower_cliff_road_01 road_visibility_lower_cliff_road_02 road_visibility_lower_cliff_road_03 road_visibility_lower_cliff_road_04 road_visibility_lower_cliff_road_05 road_visibility_lower_cliff_road_06 road_visibility_broken_causeway_main_01 road_visibility_broken_causeway_main_02","",2,"{ 'potion_small': 2, 'potion_large': 1, 'revive': 1 }",""
3,0,"walk node:cr_node_gale_fiber_causeway",442,"road_visibility_broken_causeway_main_04 road_visibility_broken_causeway_main_05 road_visibility_broken_causeway_main_06","",1,"{ 'potion_small': 1, 'revive': 1 }","cr_node_gale_fiber_bridge(3@19.8m) cr_node_gale_fiber_causeway(2@0.0m)"
4,0,"walk anchor:lower_east",463,"road_visibility_broken_causeway_main_07 road_visibility_broken_causeway_main_08 road_visibility_broken_causeway_main_09 road_visibility_broken_causeway_main_10","",1,"{  }",""
5,0,"fight tether_lieutenant_senn",435,"road_visibility_broken_causeway_main_11 road_visibility_broken_causeway_main_12 road_visibility_broken_causeway_main_13 road_visibility_broken_causeway_main_14","",2,"{ 'potion_small': 2 }","cr_node_gale_fiber_anchor_picket(2@0.0m)"
6,1,"walk interaction:causeway_signal",32,"","",0,"{  }",""
7,1,"fight keeper_maela_trial",1971,"ravine_wind road_visibility_broken_causeway_main_15 road_visibility_broken_causeway_main_16 road_visibility_broken_causeway_main_17 road_visibility_windscar_floor_loop_01 road_visibility_windscar_floor_loop_02 road_visibility_windscar_floor_loop_03 road_visibility_windscar_floor_loop_04 road_visibility_windscar_floor_loop_05 road_visibility_windscar_floor_loop_06 road_visibility_windscar_floor_loop_07 road_visibility_windscar_floor_loop_08 windscar_chain_air_patrol_01 windscar_chain_air_patrol_02 road_visibility_windscar_floor_loop_09 road_visibility_windscar_floor_loop_10 road_visibility_windscar_floor_loop_11 road_visibility_windscar_floor_loop_12 road_visibility_windscar_floor_loop_13","road_visibility_windscar_floor_loop_return_01[fly_traversal_unlocked] road_visibility_windscar_floor_loop_return_02[fly_traversal_unlocked] road_visibility_windscar_floor_loop_return_03[fly_traversal_unlocked] road_visibility_windscar_floor_loop_return_04[fly_traversal_unlocked]",8,"{ 'potion_small': 3, 'potion_large': 1, 'revive': 2 }","cr_node_cliffglass_ravine(3@3.1m)"
8,2,"walk interaction:aerie_repair",7,"","",0,"{  }",""
9,2,"walk npc:keeper_maela",16,"","",0,"{  }",""
10,2,"walk camp:windscar_flight_aerie_camp",21,"","",0,"{  }",""
11,2,"walk interaction:flight_trial_start",16,"","",0,"{  }",""
12,2,"fly sky_shrine",0,"","",0,"{  }",""
13,2,"here interaction:shrine_vane_west",0,"","",0,"{  }",""
14,2,"here interaction:shrine_vane_east",0,"","",0,"{  }",""
15,2,"here interaction:shrine_vane_crown",0,"","",0,"{  }",""
16,2,"here npc:naturalist_sora",0,"","",0,"{  }",""
17,2,"here interaction:shrine_windlass",0,"","",0,"{  }",""
18,2,"fly return glide to the aerie",0,"","",0,"{  }",""
19,2,"walk trigger:counterweight_entered",3295,"road_visibility_windscar_counterweight_pass_01 road_visibility_windscar_counterweight_pass_02 road_visibility_windscar_counterweight_pass_03 road_visibility_windscar_counterweight_pass_04 road_visibility_windscar_counterweight_pass_05 road_visibility_windscar_counterweight_pass_06 road_visibility_windscar_counterweight_pass_07 road_visibility_windscar_counterweight_pass_08 road_visibility_windscar_counterweight_pass_09 road_visibility_windscar_floor_loop_return_01 road_visibility_windscar_floor_loop_return_02 road_visibility_windscar_floor_loop_return_03 road_visibility_windscar_floor_loop_return_04","",0,"{  }",""
20,2,"walk interaction:upper_anchor_west",959,"road_visibility_windscar_counterweight_pass_10 road_visibility_windscar_counterweight_pass_11 road_visibility_windscar_counterweight_pass_12 road_visibility_windscar_counterweight_pass_13","",0,"{  }","cr_node_cloudberry_cliffhold(4@3.0m)"
21,2,"walk interaction:upper_anchor_east",1747,"road_visibility_upper_plateau_circuit_01 road_visibility_upper_plateau_circuit_02","road_visibility_upper_plateau_circuit_03[storm_anchor_upper_east_disabled] road_visibility_upper_plateau_circuit_04[storm_anchor_upper_east_disabled]",5,"{ 'potion_small': 1 }","cr_node_heartwood_upper(5@3.7m)"
22,2,"fight officer_voss_summit_approach",1857,"road_visibility_upper_summit_road_01 road_visibility_upper_summit_road_02 road_visibility_upper_summit_road_03 road_visibility_upper_summit_road_04 road_visibility_upper_summit_road_05 road_visibility_upper_summit_road_06 road_visibility_upper_summit_road_07 road_visibility_upper_summit_road_08 road_visibility_upper_summit_road_09 road_visibility_upper_summit_road_10 road_visibility_upper_plateau_circuit_03 road_visibility_upper_plateau_circuit_04","",2,"{ 'potion_small': 1, 'potion_large': 1, 'revive': 2 }","cr_node_cliffglass_observatory(4@3.0m)"
