BANDPICKUP_SEED 0 count 129
BANDPICKUP BandPickup_b1_candy_bridge_overlook 106.8 0.9296186 1203.3
BANDPICKUP BandPickup_b1_candy_bridge_shoulder -14.3 -2.770506 1281.0
BANDPICKUP BandPickup_b1_candy_creek_return -321.5 -13.96126 591.3
BANDPICKUP BandPickup_b1_candy_field_east 245.7 -4.4930415 1175.932
BANDPICKUP BandPickup_b1_candy_gate_meadow 7.3 -1.5185294 51.1
BANDPICKUP BandPickup_b1_candy_grove_return 396.3 -1.9294028 1049.7
BANDPICKUP BandPickup_b1_candy_long_field_camp_approach 72.15 -6.8897777 760.53107
BANDPICKUP BandPickup_b1_candy_long_field_mid -59.4 -1.0714598 691.7
BANDPICKUP BandPickup_b1_candy_long_field_west -205.2 -0.94716626 647.8
BANDPICKUP BandPickup_b1_candy_pond_alpha -309.0 -12.896462 498.0
BANDPICKUP BandPickup_b1_candy_pond_hollow -488.0 -12.616241 552.0
BANDPICKUP BandPickup_b1_candy_pond_turn -412.5 -20.16793 529.1
BANDPICKUP BandPickup_b1_candy_rise_base -199.9 6.4864407 309.0
BANDPICKUP BandPickup_b1_candy_rise_shoulder -318.8 -1.7759047 383.5
BANDPICKUP BandPickup_b1_candy_rise_top -378.0 -5.7010674 350.0
BANDPICKUP BandPickup_b1_candy_rock_bend -42.4 -1.2000046 190.3
BANDPICKUP BandPickup_b1_candy_wayfarer_signal 154.5 -1.9933388 706.5
BANDPICKUP BandPickup_b1_mushroom_grove_speed 433.3 -1.6759348 1012.8
BANDPICKUP BandPickup_b1_mushroom_pond_bank -360.0 -17.34031 570.0
BANDPICKUP BandPickup_b1_mushroom_rise_stamina -348.3 -3.6920457 389.9
BANDPICKUP BandPickup_b1_potion_bridge_approach 15.6 2.6278443 1267.6
BANDPICKUP BandPickup_b1_potion_gate_meadow -7.9 -2.011609 128.3
BANDPICKUP BandPickup_b1_potion_old_champion_detour 213.8 -6.3621464 881.5
BANDPICKUP BandPickup_b1_potion_rise_approach -266.5 5.966462 354.2
BANDPICKUP BandPickup_b1_potion_trail_camp_approach 294.1 1.1323901 874.1
BANDPICKUP BandPickup_b1_potion_wayfarer_signal 165.0 0.13259546 707.0
BANDPICKUP BandPickup_b1_revive_bridge_approach -38.3 -5.6831536 1306.4
BANDPICKUP BandPickup_b1_revive_old_champion_detour 203.6 -5.1081886 891.0
BANDPICKUP BandPickup_b2_candy_alpha_pup -193.73206 3.3528683 2267.0
BANDPICKUP BandPickup_b2_candy_bridge_foot 16.0 -1.6128786 1388.0
BANDPICKUP BandPickup_b2_candy_dorn_flank 292.0 -5.930382 1702.0
BANDPICKUP BandPickup_b2_candy_far_west_pocket -540.0 2.044883 2412.0
BANDPICKUP BandPickup_b2_candy_grove_edge 218.0 2.4354463 1592.0
BANDPICKUP BandPickup_b2_candy_haul_road 262.0 4.0762844 1972.0
BANDPICKUP BandPickup_b2_candy_ironwood_stand -350.0 2.214438 2654.0
BANDPICKUP BandPickup_b2_candy_meadowhart_alpha -139.0 -1.820919 2664.268
BANDPICKUP BandPickup_b2_candy_nightburrow_ledge -176.0 1.2825531 2926.0
BANDPICKUP BandPickup_b2_candy_quarry_floor 372.0 2.8821752 1810.0
BANDPICKUP BandPickup_b2_candy_quarry_ledge 424.25 2.312375 1785.0311
BANDPICKUP BandPickup_b2_candy_ranger_camp -270.0 8.595195 2244.0
BANDPICKUP BandPickup_b2_candy_rim_south 416.0 -4.750327 1902.0
BANDPICKUP BandPickup_b2_candy_seam_hill -42.0 -4.795948 3132.0
BANDPICKUP BandPickup_b2_candy_stone_hollow 38.0 1.144474 2102.0
BANDPICKUP BandPickup_b2_candy_undertrail_mouth -394.0 -4.437697 2522.0
BANDPICKUP BandPickup_b2_mushroom_farro_watch 112.0 -0.06633399 2916.0
BANDPICKUP BandPickup_b2_mushroom_ironwood -374.0 0.46065274 2592.0
BANDPICKUP BandPickup_b2_mushroom_quarry 398.0 3.4716482 1818.0
BANDPICKUP BandPickup_b2_potion_large_kest_road -62.0 -4.7686114 2934.0
BANDPICKUP BandPickup_b2_potion_quarry_rim 405.73206 -3.6730933 1757.0
BANDPICKUP BandPickup_b2_revive_warrens_approach -302.0 3.140077 2600.0
BANDPICKUP BandPickup_b3_candy_camp_clearing 221.73206 -3.0023997 3710.0
BANDPICKUP BandPickup_b3_candy_crossing_landing -138.0 -1.5634356 4248.0
BANDPICKUP BandPickup_b3_candy_far_east_pocket 506.0 -2.3115575 4214.0
BANDPICKUP BandPickup_b3_candy_galecrest_alpha 166.0 1.4300016 4538.0
BANDPICKUP BandPickup_b3_candy_ironwood_cut 96.0 -1.5997626 4516.0
BANDPICKUP BandPickup_b3_candy_lockwater_overlook -137.0 4.3941545 3467.0
BANDPICKUP BandPickup_b3_candy_loop_south 252.0 5.2912774 3928.0
BANDPICKUP BandPickup_b3_candy_mill_yard -136.0 -4.705343 4214.0
BANDPICKUP BandPickup_b3_candy_near_bank_end -104.0 -1.3570908 4302.0
BANDPICKUP BandPickup_b3_candy_oreth_draw -86.0 -2.2436862 4372.0
BANDPICKUP BandPickup_b3_candy_reach_shelf -176.0 2.7840006 3405.5
BANDPICKUP BandPickup_b3_candy_relay_loop_ridge 336.0 6.3716116 3806.0
BANDPICKUP BandPickup_b3_candy_riftfrill_pool -188.0 -6.770827 4088.0
BANDPICKUP BandPickup_b3_candy_spring_meadow 58.0 -2.9669702 3540.0
BANDPICKUP BandPickup_b3_candy_springhead 26.0 -1.4052136 3578.0
BANDPICKUP BandPickup_b3_candy_stormtrail_hardware 328.0 7.305512 3844.0
BANDPICKUP BandPickup_b3_candy_wreck_road -96.0 -5.078206 3266.0
BANDPICKUP BandPickup_b3_mushroom_camp_edge 198.0 -4.1926975 3682.0
BANDPICKUP BandPickup_b3_mushroom_north_bank 64.26795 -1.7135599 4483.0
BANDPICKUP BandPickup_b3_mushroom_reach -168.0 1.7366524 3446.0
BANDPICKUP BandPickup_b3_potion_large_barricade 226.0 -4.9799867 3652.0
BANDPICKUP BandPickup_b3_potion_spring_road 104.0 -4.5372477 3608.0
BANDPICKUP BandPickup_b3_revive_camp_clearing 206.0 -4.5865035 3712.0
BANDPICKUP BandPickup_b3_revive_far_landing -163.73206 -4.8037224 4259.0
BANDPICKUP BandPickup_b4_candy_broken_tower 18.0 0.73424137 6822.0
BANDPICKUP BandPickup_b4_candy_climb_foot -150.0 -5.7490387 6330.0
BANDPICKUP BandPickup_b4_candy_conduit_post 384.9689 -2.6635666 6091.75
BANDPICKUP BandPickup_b4_candy_galecrest_alpha_crag -433.7 5.6069345 5173.0
BANDPICKUP BandPickup_b4_candy_grove_alpha_burrowback -292.0 -3.200014 5095.0
BANDPICKUP BandPickup_b4_candy_halder_pasture_edge 119.0 -0.2051534 5641.732
BANDPICKUP BandPickup_b4_candy_herd_bull_highfield 446.5 -4.559492 5833.7
BANDPICKUP BandPickup_b4_candy_high_pasture_east 70.0 -2.504612 6292.0
BANDPICKUP BandPickup_b4_candy_high_pasture_herd_edge 110.0 -4.7761335 6290.0
BANDPICKUP BandPickup_b4_candy_highfield_south_paddock 367.0 -4.53452 5820.0
BANDPICKUP BandPickup_b4_candy_ironwood_far_side -372.0 3.1746876 5052.0
BANDPICKUP BandPickup_b4_candy_ironwood_stand_core -325.0 0.43407953 5097.0
BANDPICKUP BandPickup_b4_candy_juno_paddock -205.0 -7.51233 5425.0
BANDPICKUP BandPickup_b4_candy_oldgrowth_duskhush_pocket -100.0 -4.1958456 4905.0
BANDPICKUP BandPickup_b4_candy_oldgrowth_wallow_bend -297.0 1.4075176 4976.732
BANDPICKUP BandPickup_b4_candy_pasture_rock_shelf -73.0 3.5745869 5520.0
BANDPICKUP BandPickup_b4_candy_ridge_camp_supply -225.0 8.109126 6500.0
BANDPICKUP BandPickup_b4_candy_ridge_climb_shoulder -213.0 0.72332466 6385.0
BANDPICKUP BandPickup_b4_candy_ridge_road_picket -25.0 7.3644333 6318.0
BANDPICKUP BandPickup_b4_candy_rocky_shoulder_den -250.0 0.69601184 6438.0
BANDPICKUP BandPickup_b4_candy_rue_lost_creature -318.0 -8.038027 5885.0
BANDPICKUP BandPickup_b4_candy_runout_trailpup_meadow -100.0 4.460417 6745.0
BANDPICKUP BandPickup_b4_candy_seam_ironwood_pair -66.5 1.0953183 4835.0
BANDPICKUP BandPickup_b4_candy_seam_south_meadow 55.0 -0.32177994 6970.0
BANDPICKUP BandPickup_b4_candy_stockcamp_hedge 300.0 6.20066 5690.0
BANDPICKUP BandPickup_b4_candy_stormtrail_rain_crag -450.0 -0.47554964 5222.0
BANDPICKUP BandPickup_b4_candy_watchtower_spur_corner -331.0 -2.574247 6580.0
BANDPICKUP BandPickup_b4_candy_wind_ridge_crest 465.0 -4.498503 5899.2
BANDPICKUP BandPickup_b4_candy_wind_ridge_saddle 343.26794 0.42743647 6096.0
BANDPICKUP BandPickup_b4_mushroom_speed_wind_ridge 443.25 2.7449155 5988.0313
BANDPICKUP BandPickup_b4_mushroom_stamina_night_pocket -262.0 -4.013433 5252.0
BANDPICKUP BandPickup_b4_mushroom_wild_broken_tower 62.0 0.3528781 6778.0
BANDPICKUP BandPickup_b4_potion_before_halder 75.0 -0.49954867 5510.0
BANDPICKUP BandPickup_b4_potion_before_ridge_climb -30.0 8.39652 6325.0
BANDPICKUP BandPickup_b4_potion_oldgrowth_swing -248.0 2.5880523 4928.0
