DRIFT peer 0 asked (-23.88, 2.23, -19.79) placed=creature stands at (-23.88, 2.23, -19.79)
DRIFT peer 0 t=10 own=(-23.73,2.33,-20.58) host_holds=(-23.72,2.33,-20.58) host_net=(-18.81,2.20,-17.20) own_moved=0.81 host_gap=0.81
DRIFT peer 0 t=20 own=(-23.39,1.20,-20.75) host_holds=(-23.39,1.20,-20.75) host_net=(-18.81,2.20,-17.20) own_moved=1.49 host_gap=1.49
DRIFT peer 0 t=30 own=(-23.39,1.20,-20.75) host_holds=(-23.39,1.20,-20.75) host_net=(-18.81,2.20,-17.20) own_moved=1.49 host_gap=1.49
DRIFT peer 0 t=40 own=(-23.39,1.20,-20.75) host_holds=(-23.39,1.20,-20.75) host_net=(-18.81,2.20,-17.20) own_moved=1.49 host_gap=1.49
DRIFT peer 0 t=50 own=(-23.39,1.20,-20.75) host_holds=(-23.39,1.20,-20.75) host_net=(-18.81,2.20,-17.20) own_moved=1.49 host_gap=1.49
DRIFT peer 1 asked (-25.38, 2.23, -20.98) placed=creature stands at (-25.38, 2.23, -20.98)
DRIFT peer 1 t=10 own=(-24.52,1.39,-20.98) host_holds=(-18.81,2.20,-17.20) host_net=(-24.52,1.51,-20.98) own_moved=1.20 host_gap=7.58
DRIFT peer 1 t=20 own=(-24.52,1.20,-20.98) host_holds=(-24.52,4.64,-20.98) host_net=(-24.52,1.20,-20.98) own_moved=1.34 host_gap=2.57
DRIFT peer 1 t=30 own=(-24.52,1.20,-20.98) host_holds=(-24.52,4.64,-20.98) host_net=(-24.52,1.20,-20.98) own_moved=1.34 host_gap=2.57
DRIFT peer 1 t=40 own=(-24.52,1.20,-20.98) host_holds=(-24.52,4.64,-20.98) host_net=(-24.52,1.20,-20.98) own_moved=1.34 host_gap=2.57
DRIFT peer 1 t=50 own=(-24.52,1.20,-20.98) host_holds=(-24.52,4.64,-20.98) host_net=(-24.52,1.20,-20.98) own_moved=1.34 host_gap=2.57
