t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.72,2026-08-31 12:52:26,0.00,0.00,0.00,0.0,grandpas_village,0.00,,21.241,4.668,0.00,,title
0.87,2026-08-31 12:52:26,0.00,0.00,0.00,0.0,grandpas_village,0.00,,21.241,4.668,0.00,,title
1.38,2026-08-31 12:52:56,-25.40,4.93,-15.60,0.0,grandpas_village,8.02,clear,15.691,10.909,0.00,,locked
1.88,2026-08-31 12:52:57,-25.40,4.93,-15.60,0.0,grandpas_village,8.04,clear,12.772,1.801,0.00,,locked
2.38,2026-08-31 12:52:57,-25.40,4.93,-15.60,0.0,grandpas_village,8.06,clear,12.772,1.801,0.00,,locked
2.88,2026-08-31 12:52:58,-25.40,4.93,-15.60,0.0,grandpas_village,8.08,clear,14.231,1.880,0.00,,locked
3.38,2026-08-31 12:52:58,-25.40,4.93,-15.60,0.0,grandpas_village,8.10,clear,14.231,1.880,0.00,,world
3.88,2026-08-31 12:52:59,-25.40,4.93,-15.60,0.0,grandpas_village,8.12,clear,14.578,2.702,0.00,,world
4.38,2026-08-31 12:52:59,-25.40,4.93,-15.60,0.0,grandpas_village,8.14,clear,14.578,2.702,0.00,,world
4.88,2026-08-31 12:53:00,-25.40,4.93,-15.60,0.0,grandpas_village,8.16,clear,13.954,2.878,0.00,,world
5.38,2026-08-31 12:53:00,-25.40,4.93,-15.60,0.0,grandpas_village,8.18,clear,13.954,2.878,0.00,,world
5.88,2026-08-31 12:53:01,-25.40,4.93,-15.60,0.0,grandpas_village,8.20,clear,13.757,2.114,0.00,,world
6.38,2026-08-31 12:53:01,-25.40,4.93,-15.60,0.0,grandpas_village,8.22,clear,13.757,2.114,0.00,,world
6.88,2026-08-31 12:53:02,-25.40,4.93,-15.60,0.0,grandpas_village,8.24,clear,14.270,2.727,0.00,,world
7.38,2026-08-31 12:53:02,-25.40,4.93,-15.60,0.0,grandpas_village,8.26,clear,14.270,2.727,0.00,,world
7.88,2026-08-31 12:53:03,-25.40,4.93,-15.60,0.0,grandpas_village,8.28,clear,13.799,2.173,0.00,,world
8.38,2026-08-31 12:53:03,-25.40,4.93,-15.60,0.0,grandpas_village,8.30,clear,13.799,2.173,0.00,,world
8.88,2026-08-31 12:53:04,-25.40,4.93,-15.60,0.0,grandpas_village,8.32,clear,14.254,3.038,0.00,,world
