t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.73,2026-08-31 12:44:38,0.00,0.00,0.00,0.0,grandpas_village,0.00,,98.682,4.170,0.00,,title
0.88,2026-08-31 12:44:38,0.00,0.00,0.00,0.0,grandpas_village,0.00,,98.682,4.170,0.00,,title
1.58,2026-08-31 12:45:13,18.90,0.17,12.65,25.1,grandpas_village,8.02,clear,15.207,12.617,0.00,6.93,world
2.08,2026-08-31 12:45:14,18.90,0.17,12.65,25.1,grandpas_village,8.04,clear,14.737,356.644,0.00,6.93,world
2.58,2026-08-31 12:45:14,18.90,0.17,12.65,25.1,grandpas_village,8.06,clear,14.737,356.644,0.00,6.93,world
3.08,2026-08-31 12:45:15,18.90,0.17,12.65,25.1,grandpas_village,8.08,clear,15.225,5.254,0.00,6.93,world
3.58,2026-08-31 12:45:15,18.90,0.17,12.65,25.1,grandpas_village,8.10,clear,15.225,5.254,0.00,6.93,world
4.10,2026-08-31 12:45:16,18.90,0.17,12.65,25.1,grandpas_village,8.12,clear,17.104,5.348,0.00,6.93,world
4.60,2026-08-31 12:45:16,18.90,0.17,12.65,25.1,grandpas_village,8.14,clear,17.104,5.348,0.00,6.93,world
5.10,2026-08-31 12:45:17,18.90,0.17,12.65,25.1,grandpas_village,8.16,clear,13.833,4.779,0.00,6.93,world
5.60,2026-08-31 12:45:17,18.90,0.17,12.65,25.1,grandpas_village,8.18,clear,13.833,4.779,0.00,6.93,world
6.10,2026-08-31 12:45:18,18.90,0.17,12.65,25.1,grandpas_village,8.20,clear,15.208,5.494,0.00,6.93,world
6.60,2026-08-31 12:45:18,18.90,0.17,12.65,25.1,grandpas_village,8.22,clear,15.208,5.494,0.00,6.93,world
7.10,2026-08-31 12:45:19,18.90,0.17,12.65,25.1,grandpas_village,8.24,clear,15.192,5.084,0.00,6.93,world
7.60,2026-08-31 12:45:19,18.90,0.17,12.65,25.1,grandpas_village,8.26,clear,15.192,5.084,0.00,6.93,world
8.10,2026-08-31 12:45:20,18.90,0.17,12.65,25.1,grandpas_village,8.28,clear,15.000,6.148,0.00,6.93,world
8.60,2026-08-31 12:45:20,18.90,0.17,12.65,25.1,grandpas_village,8.30,clear,15.000,6.148,0.00,6.93,world
9.10,2026-08-31 12:45:21,18.90,0.17,12.65,25.1,grandpas_village,8.32,clear,16.201,5.395,0.00,6.93,world
9.60,2026-08-31 12:45:21,18.90,0.17,12.65,25.1,grandpas_village,8.34,clear,16.201,5.395,0.00,6.93,world
10.10,2026-08-31 12:45:22,18.90,0.17,12.65,25.1,grandpas_village,8.36,clear,16.546,5.174,0.00,6.93,world
10.60,2026-08-31 12:45:22,18.90,0.17,12.65,25.1,grandpas_village,8.38,clear,16.546,5.174,0.00,6.93,world
11.10,2026-08-31 12:45:23,18.90,0.17,12.65,25.1,grandpas_village,8.40,clear,20.059,5.995,0.00,6.93,world
