t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.75,2026-08-30 22:04:59,0.00,0.00,0.00,0.0,grandpas_village,0.00,,0.260,10.772,0.00,,title
0.90,2026-08-30 22:04:59,0.00,0.00,0.00,0.0,grandpas_village,0.00,,0.260,10.772,0.00,,title
1.67,2026-08-30 22:05:44,12.29,0.90,-10.18,-85.5,grandpas_village,8.02,clear,19.176,13.863,0.00,9.66,world
2.18,2026-08-30 22:05:45,12.29,0.90,-10.18,-85.5,grandpas_village,8.04,clear,19.450,416.954,0.00,9.66,world
2.68,2026-08-30 22:05:45,12.29,0.90,-10.18,-85.5,grandpas_village,8.06,clear,19.450,416.954,0.00,9.66,world
3.18,2026-08-30 22:05:46,12.29,0.90,-10.18,-85.5,grandpas_village,8.08,clear,18.629,4.886,0.00,9.66,world
3.68,2026-08-30 22:05:46,12.29,0.90,-10.18,-85.5,grandpas_village,8.10,clear,18.629,4.886,0.00,9.66,world
4.18,2026-08-30 22:05:47,12.29,0.90,-10.18,-85.5,grandpas_village,8.12,clear,18.315,6.066,0.00,9.66,world
4.68,2026-08-30 22:05:47,12.29,0.90,-10.18,-85.5,grandpas_village,8.14,clear,18.315,6.066,0.00,9.66,world
5.18,2026-08-30 22:05:48,12.29,0.90,-10.18,-85.5,grandpas_village,8.16,clear,18.430,5.780,0.00,9.66,world
5.68,2026-08-30 22:05:48,12.29,0.90,-10.18,-85.5,grandpas_village,8.18,clear,18.430,5.780,0.00,9.66,world
6.18,2026-08-30 22:05:49,12.29,0.90,-10.18,-85.5,grandpas_village,8.20,clear,18.170,6.528,0.00,9.66,world
6.68,2026-08-30 22:05:49,12.29,0.90,-10.18,-85.5,grandpas_village,8.22,clear,18.170,6.528,0.00,9.66,world
7.18,2026-08-30 22:05:50,12.29,0.90,-10.18,-85.5,grandpas_village,8.24,clear,17.692,5.893,0.00,9.66,world
7.68,2026-08-30 22:05:50,12.29,0.90,-10.18,-85.5,grandpas_village,8.26,clear,17.692,5.893,0.00,9.66,world
8.18,2026-08-30 22:05:51,12.29,0.90,-10.18,-85.5,grandpas_village,8.28,clear,17.828,5.842,0.00,9.66,world
8.68,2026-08-30 22:05:51,12.29,0.90,-10.18,-85.5,grandpas_village,8.30,clear,17.828,5.842,0.00,9.66,world
9.18,2026-08-30 22:05:52,12.29,0.90,-10.18,-85.5,grandpas_village,8.32,clear,17.701,5.703,0.00,9.66,world
9.68,2026-08-30 22:05:52,12.29,0.90,-10.18,-85.5,grandpas_village,8.34,clear,17.701,5.703,0.00,9.66,world
10.18,2026-08-30 22:05:53,12.29,0.90,-10.18,-85.5,grandpas_village,8.36,clear,17.911,6.074,0.00,9.66,world
10.68,2026-08-30 22:05:53,12.29,0.90,-10.18,-85.5,grandpas_village,8.38,clear,17.911,6.074,0.00,9.66,world
11.18,2026-08-30 22:05:54,12.29,0.90,-10.18,-85.5,grandpas_village,8.40,clear,18.251,6.299,0.00,9.66,world
11.68,2026-08-30 22:05:54,12.29,0.90,-10.18,-85.5,grandpas_village,8.42,clear,18.251,6.299,0.00,9.66,world
12.18,2026-08-30 22:05:55,12.29,0.90,-10.18,-85.5,grandpas_village,8.44,clear,24.173,7.611,0.00,9.66,world
12.68,2026-08-30 22:05:55,12.29,0.90,-10.18,-85.5,grandpas_village,8.46,clear,24.173,7.611,0.00,9.66,world
13.18,2026-08-30 22:05:56,12.29,0.90,-10.18,-85.5,grandpas_village,8.48,clear,23.620,6.842,0.00,9.66,world
13.68,2026-08-30 22:05:56,12.29,0.90,-10.18,-85.5,grandpas_village,8.50,clear,23.620,6.842,0.00,9.66,world
14.18,2026-08-30 22:05:57,12.29,0.90,-10.18,-85.5,grandpas_village,8.52,clear,22.191,7.707,0.00,9.66,world
14.68,2026-08-30 22:05:57,12.29,0.90,-10.18,-85.5,grandpas_village,8.54,clear,22.191,7.707,0.00,9.66,world
15.18,2026-08-30 22:05:58,12.29,0.90,-10.18,-85.5,grandpas_village,8.56,clear,23.054,7.452,0.00,9.66,world
15.68,2026-08-30 22:05:58,12.29,0.90,-10.18,-85.5,grandpas_village,8.58,clear,23.054,7.452,0.00,9.66,world
16.18,2026-08-30 22:05:59,12.29,0.90,-10.18,-85.5,grandpas_village,8.60,clear,23.232,6.037,0.00,9.66,world
16.68,2026-08-30 22:05:59,12.29,0.90,-10.18,-85.5,grandpas_village,8.62,clear,23.232,6.037,0.00,9.66,world
17.18,2026-08-30 22:06:00,12.29,0.90,-10.18,-85.5,grandpas_village,8.64,clear,17.320,8.279,0.00,9.66,world
17.68,2026-08-30 22:06:00,12.29,0.90,-10.18,-85.5,grandpas_village,8.66,clear,17.320,8.279,0.00,9.66,world
18.18,2026-08-30 22:06:01,12.29,0.90,-10.18,-85.5,grandpas_village,8.68,clear,22.313,7.362,0.00,9.66,world
18.68,2026-08-30 22:06:01,12.29,0.90,-10.18,-85.5,grandpas_village,8.70,clear,22.313,7.362,0.00,9.66,world
19.18,2026-08-30 22:06:02,12.29,0.90,-10.18,-85.5,grandpas_village,8.72,clear,17.760,6.460,0.00,9.66,world
19.68,2026-08-30 22:06:02,12.29,0.90,-10.18,-85.5,grandpas_village,8.74,clear,17.760,6.460,0.00,9.66,world
20.18,2026-08-30 22:06:03,12.29,0.90,-10.18,-85.5,grandpas_village,8.76,clear,18.049,6.713,0.00,9.66,world
20.68,2026-08-30 22:06:03,12.29,0.90,-10.18,-85.5,grandpas_village,8.78,clear,18.049,6.713,0.00,9.66,world
21.18,2026-08-30 22:06:04,12.29,0.90,-10.18,-85.5,grandpas_village,8.80,clear,17.981,5.432,0.00,9.66,world
21.68,2026-08-30 22:06:04,12.29,0.90,-10.18,-85.5,grandpas_village,8.82,clear,17.981,5.432,0.00,9.66,world
22.18,2026-08-30 22:06:05,12.29,0.90,-10.18,-85.5,grandpas_village,8.84,clear,17.592,6.146,0.00,9.66,world
22.68,2026-08-30 22:06:05,12.29,0.90,-10.18,-85.5,grandpas_village,8.86,clear,17.592,6.146,0.00,9.66,world
23.18,2026-08-30 22:06:06,12.29,0.90,-10.18,-85.5,grandpas_village,8.88,clear,17.114,5.853,0.00,9.66,world
23.68,2026-08-30 22:06:06,12.29,0.90,-10.18,-85.5,grandpas_village,8.90,clear,17.114,5.853,0.00,9.66,world
24.18,2026-08-30 22:06:07,12.29,0.90,-10.18,-85.5,grandpas_village,8.92,clear,18.005,6.335,0.00,9.66,world
24.68,2026-08-30 22:06:07,12.29,0.90,-10.18,-85.5,grandpas_village,8.94,clear,18.005,6.335,0.00,9.66,world
25.18,2026-08-30 22:06:08,12.29,0.90,-10.18,-85.5,grandpas_village,8.96,clear,18.611,6.843,0.00,9.66,world
25.68,2026-08-30 22:06:08,12.29,0.90,-10.18,-85.5,grandpas_village,8.98,clear,18.611,6.843,0.00,9.66,world
26.18,2026-08-30 22:06:09,12.29,0.90,-10.18,-85.5,grandpas_village,9.00,clear,17.911,5.706,0.00,9.66,world
26.68,2026-08-30 22:06:09,12.29,0.90,-10.18,-85.5,grandpas_village,9.02,clear,17.911,5.706,0.00,9.66,world
27.18,2026-08-30 22:06:10,12.29,0.90,-10.18,-85.5,grandpas_village,9.04,clear,17.371,5.456,0.00,9.66,world
27.68,2026-08-30 22:06:10,12.29,0.90,-10.18,-85.5,grandpas_village,9.06,clear,17.371,5.456,0.00,9.66,world
28.18,2026-08-30 22:06:11,12.29,0.90,-10.18,-85.5,grandpas_village,9.08,clear,17.708,5.882,0.00,9.66,world
28.68,2026-08-30 22:06:11,12.29,0.90,-10.18,-85.5,grandpas_village,9.10,clear,17.708,5.882,0.00,9.66,world
29.18,2026-08-30 22:06:12,12.29,0.90,-10.18,-85.5,grandpas_village,9.12,clear,17.674,5.735,0.00,9.66,world
29.68,2026-08-30 22:06:12,12.29,0.90,-10.18,-85.5,grandpas_village,9.14,clear,17.674,5.735,0.00,9.66,world
30.18,2026-08-30 22:06:13,12.29,0.90,-10.18,-85.5,grandpas_village,9.16,clear,17.475,6.223,0.00,9.66,world
30.68,2026-08-30 22:06:13,12.29,0.90,-10.18,-85.5,grandpas_village,9.18,clear,17.475,6.223,0.00,9.66,world
31.18,2026-08-30 22:06:14,12.29,0.90,-10.18,-85.5,grandpas_village,9.20,clear,18.334,6.043,0.00,9.66,world
31.68,2026-08-30 22:06:14,12.29,0.90,-10.18,-85.5,grandpas_village,9.22,clear,18.334,6.043,0.00,9.66,world
32.20,2026-08-30 22:06:15,12.29,0.90,-10.18,-85.5,grandpas_village,9.24,clear,17.527,6.170,0.00,9.66,world
32.70,2026-08-30 22:06:15,12.29,0.90,-10.18,-85.5,grandpas_village,9.26,clear,17.527,6.170,0.00,9.66,world
33.20,2026-08-30 22:06:16,12.29,0.90,-10.18,-85.5,grandpas_village,9.28,clear,18.009,6.077,0.00,9.66,world
33.70,2026-08-30 22:06:16,12.29,0.90,-10.18,-85.5,grandpas_village,9.30,clear,18.009,6.077,0.00,9.66,world
34.20,2026-08-30 22:06:17,12.29,0.90,-10.18,-85.5,grandpas_village,9.32,clear,17.533,5.943,0.00,9.66,world
