t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.75,2026-08-30 22:38:03,0.00,0.00,0.00,0.0,grandpas_village,0.00,,32.139,10.490,0.00,,title
0.90,2026-08-30 22:38:03,0.00,0.00,0.00,0.0,grandpas_village,0.00,,32.139,10.490,0.00,,title
1.62,2026-08-30 22:38:44,12.29,0.90,-10.18,-85.5,grandpas_village,8.02,clear,18.412,14.175,0.00,9.66,world
2.12,2026-08-30 22:38:44,12.29,0.90,-10.18,-85.5,grandpas_village,8.04,clear,17.698,401.266,0.00,9.66,world
2.62,2026-08-30 22:38:45,12.29,0.90,-10.18,-85.5,grandpas_village,8.06,clear,18.892,4.688,0.00,9.66,world
3.12,2026-08-30 22:38:45,12.29,0.90,-10.18,-85.5,grandpas_village,8.08,clear,18.892,4.688,0.00,9.66,world
3.62,2026-08-30 22:38:46,12.29,0.90,-10.18,-85.5,grandpas_village,8.10,clear,16.360,5.206,0.00,9.66,world
4.13,2026-08-30 22:38:46,12.29,0.90,-10.18,-85.5,grandpas_village,8.12,clear,16.360,5.206,0.00,9.66,world
4.63,2026-08-30 22:38:47,12.29,0.90,-10.18,-85.5,grandpas_village,8.14,clear,16.339,5.044,0.00,9.66,world
5.13,2026-08-30 22:38:47,12.29,0.90,-10.18,-85.5,grandpas_village,8.16,clear,16.339,5.044,0.00,9.66,world
5.63,2026-08-30 22:38:48,12.29,0.90,-10.18,-85.5,grandpas_village,8.18,clear,16.552,5.234,0.00,9.66,world
6.13,2026-08-30 22:38:48,12.29,0.90,-10.18,-85.5,grandpas_village,8.20,clear,16.552,5.234,0.00,9.66,world
6.63,2026-08-30 22:38:49,12.29,0.90,-10.18,-85.5,grandpas_village,8.22,clear,16.157,5.231,0.00,9.66,world
7.13,2026-08-30 22:38:49,12.29,0.90,-10.18,-85.5,grandpas_village,8.24,clear,16.157,5.231,0.00,9.66,world
7.63,2026-08-30 22:38:50,12.29,0.90,-10.18,-85.5,grandpas_village,8.26,clear,16.158,5.051,0.00,9.66,world
8.13,2026-08-30 22:38:50,12.29,0.90,-10.18,-85.5,grandpas_village,8.28,clear,16.158,5.051,0.00,9.66,world
8.63,2026-08-30 22:38:51,12.29,0.90,-10.18,-85.5,grandpas_village,8.30,clear,16.186,5.324,0.00,9.66,world
9.13,2026-08-30 22:38:51,12.29,0.90,-10.18,-85.5,grandpas_village,8.32,clear,16.186,5.324,0.00,9.66,world
9.63,2026-08-30 22:38:52,12.29,0.90,-10.18,-85.5,grandpas_village,8.34,clear,16.633,5.633,0.00,9.66,world
10.13,2026-08-30 22:38:52,12.29,0.90,-10.18,-85.5,grandpas_village,8.36,clear,16.633,5.633,0.00,9.66,world
10.63,2026-08-30 22:38:53,12.29,0.90,-10.18,-85.5,grandpas_village,8.38,clear,17.373,5.450,0.00,9.66,world
11.13,2026-08-30 22:38:53,12.29,0.90,-10.18,-85.5,grandpas_village,8.40,clear,17.373,5.450,0.00,9.66,world
11.63,2026-08-30 22:38:54,12.29,0.90,-10.18,-85.5,grandpas_village,8.42,clear,16.318,5.559,0.00,9.66,world
12.13,2026-08-30 22:38:54,12.29,0.90,-10.18,-85.5,grandpas_village,8.44,clear,16.318,5.559,0.00,9.66,world
12.63,2026-08-30 22:38:55,12.29,0.90,-10.18,-85.5,grandpas_village,8.46,clear,17.390,6.856,0.00,9.66,world
13.13,2026-08-30 22:38:55,12.29,0.90,-10.18,-85.5,grandpas_village,8.48,clear,17.390,6.856,0.00,9.66,world
13.63,2026-08-30 22:38:56,12.29,0.90,-10.18,-85.5,grandpas_village,8.50,clear,16.986,5.655,0.00,9.66,world
14.13,2026-08-30 22:38:56,12.29,0.90,-10.18,-85.5,grandpas_village,8.52,clear,16.986,5.655,0.00,9.66,world
14.63,2026-08-30 22:38:57,12.29,0.90,-10.18,-85.5,grandpas_village,8.54,clear,16.664,5.999,0.00,9.66,world
15.13,2026-08-30 22:38:57,12.29,0.90,-10.18,-85.5,grandpas_village,8.56,clear,16.664,5.999,0.00,9.66,world
15.63,2026-08-30 22:38:58,12.29,0.90,-10.18,-85.5,grandpas_village,8.58,clear,16.371,5.090,0.00,9.66,world
16.13,2026-08-30 22:38:58,12.29,0.90,-10.18,-85.5,grandpas_village,8.60,clear,16.371,5.090,0.00,9.66,world
16.63,2026-08-30 22:38:59,12.29,0.90,-10.18,-85.5,grandpas_village,8.62,clear,16.691,5.332,0.00,9.66,world
17.13,2026-08-30 22:38:59,12.29,0.90,-10.18,-85.5,grandpas_village,8.64,clear,16.691,5.332,0.00,9.66,world
17.63,2026-08-30 22:39:00,12.29,0.90,-10.18,-85.5,grandpas_village,8.66,clear,16.048,5.492,0.00,9.66,world
18.13,2026-08-30 22:39:00,12.29,0.90,-10.18,-85.5,grandpas_village,8.68,clear,16.048,5.492,0.00,9.66,world
18.63,2026-08-30 22:39:01,12.29,0.90,-10.18,-85.5,grandpas_village,8.70,clear,21.026,5.875,0.00,9.66,world
19.13,2026-08-30 22:39:01,12.29,0.90,-10.18,-85.5,grandpas_village,8.72,clear,21.026,5.875,0.00,9.66,world
19.63,2026-08-30 22:39:02,12.29,0.90,-10.18,-85.5,grandpas_village,8.74,clear,17.168,5.713,0.00,9.66,world
20.13,2026-08-30 22:39:02,12.29,0.90,-10.18,-85.5,grandpas_village,8.76,clear,17.168,5.713,0.00,9.66,world
20.63,2026-08-30 22:39:03,12.29,0.90,-10.18,-85.5,grandpas_village,8.78,clear,16.839,5.846,0.00,9.66,world
21.13,2026-08-30 22:39:03,12.29,0.90,-10.18,-85.5,grandpas_village,8.80,clear,16.839,5.846,0.00,9.66,world
21.63,2026-08-30 22:39:04,12.29,0.90,-10.18,-85.5,grandpas_village,8.82,clear,17.539,5.793,0.00,9.66,world
22.13,2026-08-30 22:39:04,12.29,0.90,-10.18,-85.5,grandpas_village,8.84,clear,17.539,5.793,0.00,9.66,world
22.63,2026-08-30 22:39:05,12.29,0.90,-10.18,-85.5,grandpas_village,8.86,clear,16.973,5.573,0.00,9.66,world
23.13,2026-08-30 22:39:05,12.29,0.90,-10.18,-85.5,grandpas_village,8.88,clear,16.973,5.573,0.00,9.66,world
23.63,2026-08-30 22:39:06,12.29,0.90,-10.18,-85.5,grandpas_village,8.90,clear,16.961,6.152,0.00,9.66,world
24.13,2026-08-30 22:39:06,12.29,0.90,-10.18,-85.5,grandpas_village,8.92,clear,16.961,6.152,0.00,9.66,world
24.63,2026-08-30 22:39:07,12.29,0.90,-10.18,-85.5,grandpas_village,8.94,clear,17.228,6.160,0.00,9.66,world
25.13,2026-08-30 22:39:07,12.29,0.90,-10.18,-85.5,grandpas_village,8.96,clear,17.228,6.160,0.00,9.66,world
25.63,2026-08-30 22:39:08,12.29,0.90,-10.18,-85.5,grandpas_village,8.98,clear,17.126,5.678,0.00,9.66,world
26.13,2026-08-30 22:39:08,12.29,0.90,-10.18,-85.5,grandpas_village,9.00,clear,17.126,5.678,0.00,9.66,world
26.63,2026-08-30 22:39:09,12.29,0.90,-10.18,-85.5,grandpas_village,9.02,clear,20.069,6.095,0.00,9.66,world
27.13,2026-08-30 22:39:09,12.29,0.90,-10.18,-85.5,grandpas_village,9.04,clear,20.069,6.095,0.00,9.66,world
27.63,2026-08-30 22:39:10,12.29,0.90,-10.18,-85.5,grandpas_village,9.06,clear,19.407,5.582,0.00,9.66,world
28.13,2026-08-30 22:39:10,12.29,0.90,-10.18,-85.5,grandpas_village,9.08,clear,19.407,5.582,0.00,9.66,world
28.63,2026-08-30 22:39:11,12.29,0.90,-10.18,-85.5,grandpas_village,9.10,clear,22.299,5.709,0.00,9.66,world
29.13,2026-08-30 22:39:11,12.29,0.90,-10.18,-85.5,grandpas_village,9.12,clear,22.299,5.709,0.00,9.66,world
29.63,2026-08-30 22:39:12,12.29,0.90,-10.18,-85.5,grandpas_village,9.14,clear,17.615,5.682,0.00,9.66,world
30.13,2026-08-30 22:39:12,12.29,0.90,-10.18,-85.5,grandpas_village,9.16,clear,17.615,5.682,0.00,9.66,world
30.63,2026-08-30 22:39:13,12.29,0.90,-10.18,-85.5,grandpas_village,9.18,clear,18.660,5.444,0.00,9.66,world
31.13,2026-08-30 22:39:13,12.29,0.90,-10.18,-85.5,grandpas_village,9.20,clear,18.660,5.444,0.00,9.66,world
31.63,2026-08-30 22:39:14,12.29,0.90,-10.18,-85.5,grandpas_village,9.22,clear,21.557,6.428,0.00,9.66,world
32.13,2026-08-30 22:39:14,12.29,0.90,-10.18,-85.5,grandpas_village,9.24,clear,21.557,6.428,0.00,9.66,world
32.63,2026-08-30 22:39:15,12.29,0.90,-10.18,-85.5,grandpas_village,9.26,clear,17.057,6.317,0.00,9.66,world
33.13,2026-08-30 22:39:15,12.29,0.90,-10.18,-85.5,grandpas_village,9.28,clear,17.057,6.317,0.00,9.66,world
33.63,2026-08-30 22:39:16,12.29,0.90,-10.18,-85.5,grandpas_village,9.30,clear,18.183,5.269,0.00,9.66,world
34.13,2026-08-30 22:39:16,12.29,0.90,-10.18,-85.5,grandpas_village,9.32,clear,18.183,5.269,0.00,9.66,world
34.63,2026-08-30 22:39:17,12.29,0.90,-10.18,-85.5,grandpas_village,9.34,clear,17.487,5.720,0.00,9.66,world
35.13,2026-08-30 22:39:17,12.29,0.90,-10.18,-85.5,grandpas_village,9.36,clear,17.487,5.720,0.00,9.66,world
35.63,2026-08-30 22:39:18,12.29,0.90,-10.18,-85.5,grandpas_village,9.38,clear,22.392,6.403,0.00,9.66,world
36.13,2026-08-30 22:39:18,12.29,0.90,-10.18,-85.5,grandpas_village,9.40,clear,22.392,6.403,0.00,9.66,world
36.63,2026-08-30 22:39:19,12.29,0.90,-10.18,-85.5,grandpas_village,9.42,clear,16.011,5.327,0.00,9.66,world
37.13,2026-08-30 22:39:19,12.29,0.90,-10.18,-85.5,grandpas_village,9.44,clear,16.011,5.327,0.00,9.66,world
37.63,2026-08-30 22:39:20,12.29,0.90,-10.18,-85.5,grandpas_village,9.46,clear,16.585,5.370,0.00,9.66,world
38.13,2026-08-30 22:39:20,12.29,0.90,-10.18,-85.5,grandpas_village,9.48,clear,16.585,5.370,0.00,9.66,world
38.63,2026-08-30 22:39:21,12.29,0.90,-10.18,-85.5,grandpas_village,9.50,clear,16.825,6.055,0.00,9.66,world
39.13,2026-08-30 22:39:21,12.29,0.90,-10.18,-85.5,grandpas_village,9.52,clear,16.825,6.055,0.00,9.66,world
39.63,2026-08-30 22:39:22,12.29,0.90,-10.18,-85.5,grandpas_village,9.54,clear,17.275,6.782,0.00,9.66,world
40.13,2026-08-30 22:39:22,12.29,0.90,-10.18,-85.5,grandpas_village,9.56,clear,17.275,6.782,0.00,9.66,world
