t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.72,2026-08-30 23:05:07,0.00,0.00,0.00,0.0,grandpas_village,0.00,,30.469,4.211,0.00,,title
0.87,2026-08-30 23:05:07,0.00,0.00,0.00,0.0,grandpas_village,0.00,,30.469,4.211,0.00,,title
1.65,2026-08-30 23:05:46,18.88,0.18,12.61,25.1,grandpas_village,8.02,clear,17.544,12.252,0.00,6.90,world
2.15,2026-08-30 23:05:46,18.88,0.18,12.61,25.1,grandpas_village,8.04,clear,18.857,396.092,0.00,6.90,world
2.65,2026-08-30 23:05:46,18.88,0.18,12.61,25.1,grandpas_village,8.06,clear,17.482,4.472,0.00,6.90,world
3.15,2026-08-30 23:05:47,18.88,0.18,12.61,25.1,grandpas_village,8.08,clear,17.482,4.472,0.00,6.90,world
3.65,2026-08-30 23:05:47,18.88,0.18,12.61,25.1,grandpas_village,8.10,clear,16.532,4.662,0.00,6.90,world
4.15,2026-08-30 23:05:48,18.88,0.18,12.61,25.1,grandpas_village,8.12,clear,16.532,4.662,0.00,6.90,world
4.65,2026-08-30 23:05:48,18.88,0.18,12.61,25.1,grandpas_village,8.14,clear,16.415,4.342,0.00,6.90,world
5.15,2026-08-30 23:05:49,18.88,0.18,12.61,25.1,grandpas_village,8.16,clear,16.415,4.342,0.00,6.90,world
5.65,2026-08-30 23:05:49,18.88,0.18,12.61,25.1,grandpas_village,8.18,clear,15.375,4.556,0.00,6.90,world
6.15,2026-08-30 23:05:50,18.88,0.18,12.61,25.1,grandpas_village,8.20,clear,15.375,4.556,0.00,6.90,world
6.65,2026-08-30 23:05:50,18.88,0.18,12.61,25.1,grandpas_village,8.22,clear,14.783,4.203,0.00,6.90,world
7.15,2026-08-30 23:05:51,18.88,0.18,12.61,25.1,grandpas_village,8.24,clear,14.783,4.203,0.00,6.90,world
7.65,2026-08-30 23:05:51,18.88,0.18,12.61,25.1,grandpas_village,8.26,clear,19.262,5.212,0.00,6.90,world
8.15,2026-08-30 23:05:52,18.88,0.18,12.61,25.1,grandpas_village,8.28,clear,19.262,5.212,0.00,6.90,world
8.65,2026-08-30 23:05:52,18.88,0.18,12.61,25.1,grandpas_village,8.30,clear,16.199,4.524,0.00,6.90,world
9.15,2026-08-30 23:05:53,18.88,0.18,12.61,25.1,grandpas_village,8.32,clear,16.199,4.524,0.00,6.90,world
9.65,2026-08-30 23:05:53,18.88,0.18,12.61,25.1,grandpas_village,8.34,clear,16.250,4.399,0.00,6.90,world
10.15,2026-08-30 23:05:54,18.88,0.18,12.61,25.1,grandpas_village,8.36,clear,16.250,4.399,0.00,6.90,world
10.65,2026-08-30 23:05:54,18.88,0.18,12.61,25.1,grandpas_village,8.38,clear,16.242,4.234,0.00,6.90,world
11.15,2026-08-30 23:05:55,18.88,0.18,12.61,25.1,grandpas_village,8.40,clear,16.242,4.234,0.00,6.90,world
11.65,2026-08-30 23:05:55,18.88,0.18,12.61,25.1,grandpas_village,8.42,clear,16.308,5.202,0.00,6.90,world
