t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.75,2026-08-31 01:43:46,0.00,0.00,0.00,0.0,grandpas_village,0.00,,0.341,6.153,0.00,,title
0.90,2026-08-31 01:43:46,0.00,0.00,0.00,0.0,grandpas_village,0.00,,0.341,6.153,0.00,,title
1.50,2026-08-31 01:44:32,-25.40,4.93,-15.60,0.0,grandpas_village,8.02,clear,37052.481,4793.505,0.00,,locked
2.00,2026-08-31 01:44:33,-25.40,4.93,-15.60,0.0,grandpas_village,8.04,clear,37052.481,4793.505,0.00,,locked
2.50,2026-08-31 01:44:33,-25.40,4.93,-15.60,0.0,grandpas_village,8.06,clear,23.527,3.323,0.00,,locked
3.00,2026-08-31 01:44:34,-25.40,4.93,-15.60,0.0,grandpas_village,8.08,clear,23.527,3.323,0.00,,locked
3.50,2026-08-31 01:44:34,-25.40,4.93,-15.60,0.0,grandpas_village,8.10,clear,23.317,4.320,0.00,,world
4.00,2026-08-31 01:44:35,-25.40,4.93,-15.60,0.0,grandpas_village,8.12,clear,23.317,4.320,0.00,,world
4.50,2026-08-31 01:44:35,-25.40,4.93,-15.60,0.0,grandpas_village,8.14,clear,20.049,3.529,0.00,,world
5.00,2026-08-31 01:44:36,-25.40,4.93,-15.60,0.0,grandpas_village,8.16,clear,20.049,3.529,0.00,,world
5.50,2026-08-31 01:44:36,-25.40,4.93,-15.60,0.0,grandpas_village,8.18,clear,22.007,3.317,0.00,,world
6.00,2026-08-31 01:44:37,-25.40,4.93,-15.60,0.0,grandpas_village,8.20,clear,22.007,3.317,0.00,,world
6.50,2026-08-31 01:44:37,-25.40,4.93,-15.60,0.0,grandpas_village,8.22,clear,28.164,5.075,0.00,,world
7.00,2026-08-31 01:44:38,-25.40,4.93,-15.60,0.0,grandpas_village,8.24,clear,28.164,5.075,0.00,,world
7.50,2026-08-31 01:44:38,-25.40,4.93,-15.60,0.0,grandpas_village,8.26,clear,20.401,3.958,0.00,,world
8.00,2026-08-31 01:44:39,-25.40,4.93,-15.60,0.0,grandpas_village,8.28,clear,20.401,3.958,0.00,,world
8.50,2026-08-31 01:44:39,-25.40,4.93,-15.60,0.0,grandpas_village,8.30,clear,22.216,3.616,0.00,,world
9.00,2026-08-31 01:44:40,-25.40,4.93,-15.60,0.0,grandpas_village,8.32,clear,22.216,3.616,0.00,,world
9.50,2026-08-31 01:44:40,-25.40,4.93,-15.60,0.0,grandpas_village,8.34,clear,21.277,4.347,0.00,,world
10.00,2026-08-31 01:44:41,-25.40,4.93,-15.60,0.0,grandpas_village,8.36,clear,21.277,4.347,0.00,,world
10.50,2026-08-31 01:44:41,-25.40,4.93,-15.60,0.0,grandpas_village,8.38,clear,21.967,3.565,0.00,,world
