t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.75,2026-08-31 00:20:00,0.00,0.00,0.00,0.0,grandpas_village,0.00,,0.313,6.242,0.00,,title
0.90,2026-08-31 00:20:00,0.00,0.00,0.00,0.0,grandpas_village,0.00,,0.313,6.242,0.00,,title
1.68,2026-08-31 00:21:20,18.88,0.18,12.61,25.1,grandpas_village,8.02,clear,22.380,15.909,0.00,6.90,world
2.20,2026-08-31 00:21:21,18.88,0.18,12.61,25.1,grandpas_village,8.04,clear,28.871,534.590,0.00,6.90,world
2.70,2026-08-31 00:21:21,18.88,0.18,12.61,25.1,grandpas_village,8.06,clear,28.871,534.590,0.00,6.90,world
3.20,2026-08-31 00:21:22,18.88,0.18,12.61,25.1,grandpas_village,8.08,clear,24.152,9.244,0.00,6.90,world
3.70,2026-08-31 00:21:22,18.88,0.18,12.61,25.1,grandpas_village,8.10,clear,24.152,9.244,0.00,6.90,world
4.20,2026-08-31 00:21:23,18.88,0.18,12.61,25.1,grandpas_village,8.12,clear,23.163,10.662,0.00,6.90,world
4.70,2026-08-31 00:21:23,18.88,0.18,12.61,25.1,grandpas_village,8.14,clear,23.163,10.662,0.00,6.90,world
5.20,2026-08-31 00:21:24,18.88,0.18,12.61,25.1,grandpas_village,8.16,clear,23.672,10.082,0.00,6.90,world
5.70,2026-08-31 00:21:24,18.88,0.18,12.61,25.1,grandpas_village,8.18,clear,23.672,10.082,0.00,6.90,world
6.20,2026-08-31 00:21:25,18.88,0.18,12.61,25.1,grandpas_village,8.20,clear,30.130,10.378,0.00,6.90,world
6.70,2026-08-31 00:21:25,18.88,0.18,12.61,25.1,grandpas_village,8.22,clear,30.130,10.378,0.00,6.90,world
7.20,2026-08-31 00:21:26,18.88,0.18,12.61,25.1,grandpas_village,8.24,clear,23.278,10.234,0.00,6.90,world
7.70,2026-08-31 00:21:26,18.88,0.18,12.61,25.1,grandpas_village,8.26,clear,23.278,10.234,0.00,6.90,world
8.20,2026-08-31 00:21:27,18.88,0.18,12.61,25.1,grandpas_village,8.28,clear,22.773,9.629,0.00,6.90,world
8.70,2026-08-31 00:21:27,18.88,0.18,12.61,25.1,grandpas_village,8.30,clear,22.773,9.629,0.00,6.90,world
9.20,2026-08-31 00:21:28,18.88,0.18,12.61,25.1,grandpas_village,8.32,clear,24.662,11.971,0.00,6.90,world
9.70,2026-08-31 00:21:28,18.88,0.18,12.61,25.1,grandpas_village,8.34,clear,24.662,11.971,0.00,6.90,world
10.20,2026-08-31 00:21:29,18.88,0.18,12.61,25.1,grandpas_village,8.36,clear,23.956,11.315,0.00,6.90,world
10.70,2026-08-31 00:21:29,18.88,0.18,12.61,25.1,grandpas_village,8.38,clear,23.956,11.315,0.00,6.90,world
11.20,2026-08-31 00:21:30,18.88,0.18,12.61,25.1,grandpas_village,8.40,clear,22.747,11.102,0.00,6.90,world
11.70,2026-08-31 00:21:30,18.88,0.18,12.61,25.1,grandpas_village,8.42,clear,22.747,11.102,0.00,6.90,world
12.20,2026-08-31 00:21:31,18.88,0.18,12.61,25.1,grandpas_village,8.44,clear,23.283,10.398,0.00,6.90,world
12.70,2026-08-31 00:21:31,18.88,0.18,12.61,25.1,grandpas_village,8.46,clear,23.283,10.398,0.00,6.90,world
13.20,2026-08-31 00:21:32,18.88,0.18,12.61,25.1,grandpas_village,8.48,clear,23.171,11.047,0.00,6.90,world
13.70,2026-08-31 00:21:32,18.88,0.18,12.61,25.1,grandpas_village,8.50,clear,23.171,11.047,0.00,6.90,world
14.20,2026-08-31 00:21:33,18.88,0.18,12.61,25.1,grandpas_village,8.52,clear,23.178,11.033,0.00,6.90,world
14.70,2026-08-31 00:21:33,18.88,0.18,12.61,25.1,grandpas_village,8.54,clear,23.178,11.033,0.00,6.90,world
15.20,2026-08-31 00:21:34,18.88,0.18,12.61,25.1,grandpas_village,8.56,clear,22.451,7.698,0.00,6.90,world
15.70,2026-08-31 00:21:34,18.88,0.18,12.61,25.1,grandpas_village,8.58,clear,22.451,7.698,0.00,6.90,world
16.20,2026-08-31 00:21:35,18.88,0.18,12.61,25.1,grandpas_village,8.60,clear,22.948,7.724,0.00,6.90,world
16.70,2026-08-31 00:21:35,18.88,0.18,12.61,25.1,grandpas_village,8.62,clear,22.948,7.724,0.00,6.90,world
17.20,2026-08-31 00:21:36,18.88,0.18,12.61,25.1,grandpas_village,8.64,clear,30.817,11.376,0.00,6.90,world
17.70,2026-08-31 00:21:36,18.88,0.18,12.61,25.1,grandpas_village,8.66,clear,30.817,11.376,0.00,6.90,world
18.20,2026-08-31 00:21:37,18.88,0.18,12.61,25.1,grandpas_village,8.68,clear,22.475,9.906,0.00,6.90,world
18.70,2026-08-31 00:21:37,18.88,0.18,12.61,25.1,grandpas_village,8.70,clear,22.475,9.906,0.00,6.90,world
19.20,2026-08-31 00:21:38,18.88,0.18,12.61,25.1,grandpas_village,8.72,clear,21.426,7.801,0.00,6.90,world
19.70,2026-08-31 00:21:38,18.88,0.18,12.61,25.1,grandpas_village,8.74,clear,21.426,7.801,0.00,6.90,world
20.20,2026-08-31 00:21:39,18.88,0.18,12.61,25.1,grandpas_village,8.76,clear,23.829,17.913,0.00,6.90,world
20.70,2026-08-31 00:21:39,18.88,0.18,12.61,25.1,grandpas_village,8.78,clear,23.829,17.913,0.00,6.90,world
21.20,2026-08-31 00:21:40,18.88,0.18,12.61,25.1,grandpas_village,8.80,clear,22.844,9.662,0.00,6.90,world
21.70,2026-08-31 00:21:40,18.88,0.18,12.61,25.1,grandpas_village,8.82,clear,22.844,9.662,0.00,6.90,world
22.20,2026-08-31 00:21:41,18.88,0.18,12.61,25.1,grandpas_village,8.84,clear,26.862,9.560,0.00,6.90,world
22.70,2026-08-31 00:21:41,18.88,0.18,12.61,25.1,grandpas_village,8.86,clear,26.862,9.560,0.00,6.90,world
23.20,2026-08-31 00:21:42,18.88,0.18,12.61,25.1,grandpas_village,8.88,clear,30.238,13.058,0.00,6.90,world
23.70,2026-08-31 00:21:42,18.88,0.18,12.61,25.1,grandpas_village,8.90,clear,30.238,13.058,0.00,6.90,world
24.20,2026-08-31 00:21:43,18.88,0.18,12.61,25.1,grandpas_village,8.92,clear,22.776,8.508,0.00,6.90,world
24.70,2026-08-31 00:21:43,18.88,0.18,12.61,25.1,grandpas_village,8.94,clear,22.776,8.508,0.00,6.90,world
25.20,2026-08-31 00:21:44,18.88,0.18,12.61,25.1,grandpas_village,8.96,clear,22.223,9.856,0.00,6.90,world
25.70,2026-08-31 00:21:44,18.88,0.18,12.61,25.1,grandpas_village,8.98,clear,22.223,9.856,0.00,6.90,world
26.20,2026-08-31 00:21:45,18.88,0.18,12.61,25.1,grandpas_village,9.00,clear,23.830,8.283,0.00,6.90,world
26.70,2026-08-31 00:21:45,18.88,0.18,12.61,25.1,grandpas_village,9.02,clear,23.830,8.283,0.00,6.90,world
27.20,2026-08-31 00:21:46,18.88,0.18,12.61,25.1,grandpas_village,9.04,clear,22.739,8.749,0.00,6.90,world
27.70,2026-08-31 00:21:46,18.88,0.18,12.61,25.1,grandpas_village,9.06,clear,22.739,8.749,0.00,6.90,world
