t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.73,2026-08-31 02:53:54,0.00,0.00,0.00,0.0,grandpas_village,0.00,,0.389,5.941,0.00,,title
0.88,2026-08-31 02:53:54,0.00,0.00,0.00,0.0,grandpas_village,0.00,,0.389,5.941,0.00,,title
1.68,2026-08-31 02:54:44,-14.70,1.36,4.63,0.0,grandpas_village,8.03,clear,23.708,147.142,0.00,,world
2.20,2026-08-31 02:54:45,-14.70,1.36,4.63,-0.0,grandpas_village,8.05,clear,25.965,4.360,0.00,,world
2.70,2026-08-31 02:54:45,-14.70,1.36,4.63,0.0,grandpas_village,8.07,clear,25.965,4.360,0.00,,world
3.20,2026-08-31 02:54:46,-14.70,1.36,4.63,0.0,grandpas_village,8.09,clear,23.338,5.093,0.00,,world
3.70,2026-08-31 02:54:46,-14.70,1.36,4.63,0.0,grandpas_village,8.11,clear,23.338,5.093,0.00,,world
4.20,2026-08-31 02:54:47,-14.70,1.36,4.63,0.0,grandpas_village,8.13,clear,23.792,4.338,0.00,,world
4.70,2026-08-31 02:54:47,-14.70,1.36,4.63,0.0,grandpas_village,8.15,clear,23.792,4.338,0.00,,world
5.20,2026-08-31 02:54:48,-14.70,1.36,4.63,0.0,grandpas_village,8.17,clear,22.482,4.227,0.00,,world
5.70,2026-08-31 02:54:48,-14.70,1.36,4.63,0.0,grandpas_village,8.19,clear,22.482,4.227,0.00,,world
6.20,2026-08-31 02:54:49,-14.70,1.36,4.63,0.0,grandpas_village,8.21,clear,23.021,3.993,0.00,,world
6.70,2026-08-31 02:54:49,-14.70,1.36,4.63,0.0,grandpas_village,8.23,clear,23.021,3.993,0.00,,world
7.20,2026-08-31 02:54:50,-14.70,1.36,4.63,0.0,grandpas_village,8.25,clear,23.265,4.136,0.00,,world
7.70,2026-08-31 02:54:50,-14.70,1.36,4.63,0.0,grandpas_village,8.27,clear,23.265,4.136,0.00,,world
8.20,2026-08-31 02:54:51,-14.70,1.36,4.63,0.0,grandpas_village,8.29,clear,23.034,4.495,0.00,,world
8.70,2026-08-31 02:54:51,-14.70,1.36,4.63,0.0,grandpas_village,8.31,clear,23.034,4.495,0.00,,world
9.20,2026-08-31 02:54:52,-14.70,1.36,4.63,0.0,grandpas_village,8.33,clear,23.354,4.472,0.00,,world
9.70,2026-08-31 02:54:52,-14.70,1.36,4.63,0.0,grandpas_village,8.35,clear,23.354,4.472,0.00,,world
10.20,2026-08-31 02:54:53,-14.70,1.36,4.63,0.0,grandpas_village,8.37,clear,25.871,5.439,0.00,,world
10.70,2026-08-31 02:54:53,-14.70,1.36,4.63,0.0,grandpas_village,8.39,clear,25.871,5.439,0.00,,world
11.20,2026-08-31 02:54:54,-14.70,1.36,4.63,0.0,grandpas_village,8.41,clear,24.463,4.718,0.00,,world
11.70,2026-08-31 02:54:54,-14.70,1.36,4.63,0.0,grandpas_village,8.43,clear,24.463,4.718,0.00,,world
