t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
101.01,2026-08-28 00:12:24,-25.40,4.93,-15.60,0.0,grandpas_village,9.36,clear,5.600,2.370,0.00,13.70,world
101.53,2026-08-28 00:12:25,-25.40,4.93,-15.60,0.0,grandpas_village,9.38,clear,5.493,6.199,0.00,13.70,world
102.05,2026-08-28 00:12:25,-25.40,4.93,-15.60,0.0,grandpas_village,9.40,clear,5.493,6.199,0.00,13.70,world
102.56,2026-08-28 00:12:26,-25.40,4.93,-15.60,0.0,grandpas_village,9.42,clear,6.347,6.722,0.00,13.70,world
103.06,2026-08-28 00:12:27,-25.40,4.93,-15.60,0.0,grandpas_village,9.44,clear,6.347,6.722,0.00,13.70,world
103.58,2026-08-28 00:12:27,-25.40,4.93,-15.60,0.0,grandpas_village,9.46,clear,5.918,5.702,0.00,13.70,world
104.10,2026-08-28 00:12:28,-25.40,4.93,-15.60,0.0,grandpas_village,9.48,clear,5.918,5.702,0.00,13.70,world
104.61,2026-08-28 00:12:28,-25.40,4.93,-15.60,0.0,grandpas_village,9.51,clear,5.650,6.970,0.00,13.70,world
105.13,2026-08-28 00:12:29,-25.40,4.93,-15.60,0.0,grandpas_village,9.53,clear,5.838,6.343,0.00,13.70,world
105.64,2026-08-28 00:12:29,-25.40,4.93,-15.60,0.0,grandpas_village,9.55,clear,5.838,6.343,0.00,13.70,world
106.16,2026-08-28 00:12:30,-25.40,4.93,-15.60,0.0,grandpas_village,9.57,clear,6.057,5.781,0.00,13.70,world
106.67,2026-08-28 00:12:30,-25.40,4.93,-15.60,0.0,grandpas_village,9.59,clear,6.057,5.781,0.00,13.70,world
107.17,2026-08-28 00:12:31,-25.40,4.93,-15.60,0.0,grandpas_village,9.61,clear,6.101,5.867,0.00,13.70,world
107.69,2026-08-28 00:12:31,-25.40,4.93,-15.60,0.0,grandpas_village,9.63,clear,6.101,5.867,0.00,13.70,world
108.21,2026-08-28 00:12:32,-25.40,4.93,-15.60,0.0,grandpas_village,9.65,clear,5.531,6.099,0.00,13.70,world
108.73,2026-08-28 00:12:32,-25.40,4.93,-15.60,0.0,grandpas_village,9.67,clear,5.531,6.099,0.00,13.70,world
109.24,2026-08-28 00:12:33,-25.40,4.93,-15.60,0.0,grandpas_village,9.69,clear,5.098,6.187,0.00,13.70,world
109.76,2026-08-28 00:12:33,-25.40,4.93,-15.60,0.0,grandpas_village,9.71,clear,5.098,6.187,0.00,13.70,world
110.27,2026-08-28 00:12:34,-25.40,4.93,-15.60,0.0,grandpas_village,9.73,clear,5.240,5.858,0.00,13.70,world
110.78,2026-08-28 00:12:34,-25.40,4.93,-15.60,0.0,grandpas_village,9.75,clear,5.240,5.858,0.00,13.70,world
111.28,2026-08-28 00:12:35,-25.40,4.93,-15.60,0.0,grandpas_village,9.77,clear,6.639,5.557,0.00,13.70,world
111.79,2026-08-28 00:12:35,-25.40,4.93,-15.60,0.0,grandpas_village,9.79,clear,6.639,5.557,0.00,13.70,world
112.29,2026-08-28 00:12:36,-25.40,4.93,-15.60,0.0,grandpas_village,9.81,clear,6.311,5.851,0.00,13.70,world
112.81,2026-08-28 00:12:36,-25.40,4.93,-15.60,0.0,grandpas_village,9.83,clear,6.311,5.851,0.00,13.70,world
113.33,2026-08-28 00:12:37,-25.40,4.93,-15.60,0.0,grandpas_village,9.85,clear,7.030,5.963,0.00,13.70,world
113.85,2026-08-28 00:12:37,-25.40,4.93,-15.60,0.0,grandpas_village,9.87,clear,7.030,5.963,0.00,13.70,world
114.36,2026-08-28 00:12:38,-25.40,4.93,-15.60,0.0,grandpas_village,9.90,clear,5.694,6.206,0.00,13.70,world
114.88,2026-08-28 00:12:38,-25.40,4.93,-15.60,0.0,grandpas_village,9.92,clear,5.694,6.206,0.00,13.70,world
115.39,2026-08-28 00:12:39,-25.40,4.93,-15.60,0.0,grandpas_village,9.94,clear,5.322,6.289,0.00,13.70,world
115.89,2026-08-28 00:12:39,-25.40,4.93,-15.60,0.0,grandpas_village,9.96,clear,5.322,6.289,0.00,13.70,world
116.41,2026-08-28 00:12:40,-25.40,4.93,-15.60,0.0,grandpas_village,9.98,clear,6.545,6.339,0.00,13.70,world
116.93,2026-08-28 00:12:40,-25.40,4.93,-15.60,0.0,grandpas_village,10.00,clear,6.545,6.339,0.00,13.70,world
117.45,2026-08-28 00:12:41,-25.40,4.93,-15.60,0.0,grandpas_village,10.02,clear,5.174,5.626,0.00,13.70,world
117.96,2026-08-28 00:12:41,-25.40,4.93,-15.60,0.0,grandpas_village,10.04,clear,5.174,5.626,0.00,13.70,world
118.48,2026-08-28 00:12:42,-25.40,4.93,-15.60,0.0,grandpas_village,10.06,clear,5.230,6.173,0.00,13.70,world
119.00,2026-08-28 00:12:42,-25.40,4.93,-15.60,0.0,grandpas_village,10.08,clear,5.230,6.173,0.00,13.70,world
119.51,2026-08-28 00:12:43,-25.40,4.93,-15.60,0.0,grandpas_village,10.10,clear,8.407,8.168,0.00,13.70,world
120.01,2026-08-28 00:12:43,-25.40,4.93,-15.60,0.0,grandpas_village,10.12,clear,8.407,8.168,0.00,13.70,world
120.53,2026-08-28 00:12:44,-25.40,4.93,-15.60,0.0,grandpas_village,10.14,clear,5.007,5.585,0.00,13.70,world
121.05,2026-08-28 00:12:44,-25.40,4.93,-15.60,0.0,grandpas_village,10.16,clear,5.007,5.585,0.00,13.70,world
121.56,2026-08-28 00:12:45,-25.40,4.93,-15.60,0.0,grandpas_village,10.18,clear,7.118,5.739,0.00,13.70,world
122.08,2026-08-28 00:12:46,-25.40,4.93,-15.60,0.0,grandpas_village,10.20,clear,7.118,5.739,0.00,13.70,world
122.59,2026-08-28 00:12:46,-25.40,4.93,-15.60,0.0,grandpas_village,10.22,clear,5.755,6.130,0.00,13.70,world
123.10,2026-08-28 00:12:47,-25.40,4.93,-15.60,0.0,grandpas_village,10.25,clear,5.755,6.130,0.00,13.70,world
123.60,2026-08-28 00:12:47,-25.40,4.93,-15.60,0.0,grandpas_village,10.27,clear,8.155,6.244,0.00,13.70,world
124.12,2026-08-28 00:12:48,-25.40,4.93,-15.60,0.0,grandpas_village,10.29,clear,6.041,5.533,0.00,13.70,world
124.64,2026-08-28 00:12:48,-25.40,4.93,-15.60,0.0,grandpas_village,10.31,clear,6.041,5.533,0.00,13.70,world
125.16,2026-08-28 00:12:49,-25.40,4.93,-15.60,0.0,grandpas_village,10.33,clear,5.242,5.849,0.00,13.70,world
125.67,2026-08-28 00:12:49,-25.40,4.93,-15.60,0.0,grandpas_village,10.35,clear,5.242,5.849,0.00,13.70,world
126.18,2026-08-28 00:12:50,-25.40,4.93,-15.60,0.0,grandpas_village,10.37,clear,8.475,5.885,0.00,13.70,world
126.68,2026-08-28 00:12:50,-25.40,4.93,-15.60,0.0,grandpas_village,10.39,clear,8.475,5.885,0.00,13.70,world
127.19,2026-08-28 00:12:51,-25.40,4.93,-15.60,0.0,grandpas_village,10.41,clear,7.168,7.484,0.00,13.70,world
127.71,2026-08-28 00:12:51,-25.40,4.93,-15.60,0.0,grandpas_village,10.43,clear,7.168,7.484,0.00,13.70,world
128.22,2026-08-28 00:12:52,-25.40,4.93,-15.60,0.0,grandpas_village,10.45,clear,6.466,7.137,0.00,13.70,world
128.73,2026-08-28 00:12:52,-25.40,4.93,-15.60,0.0,grandpas_village,10.47,clear,6.466,7.137,0.00,13.70,world
129.23,2026-08-28 00:12:53,-25.40,4.93,-15.60,0.0,grandpas_village,10.49,clear,6.036,13.729,0.00,13.70,world
129.75,2026-08-28 00:12:53,-25.40,4.93,-15.60,0.0,grandpas_village,10.51,clear,6.036,13.729,0.00,13.70,world
130.27,2026-08-28 00:12:54,-25.40,4.93,-15.60,0.0,grandpas_village,10.53,clear,7.001,6.198,0.00,13.70,world
130.77,2026-08-28 00:12:54,-25.40,4.93,-15.60,0.0,grandpas_village,10.55,clear,7.001,6.198,0.00,13.70,world
131.27,2026-08-28 00:12:55,-25.40,4.93,-15.60,0.0,grandpas_village,10.57,clear,6.158,5.907,0.00,13.70,world
131.78,2026-08-28 00:12:55,-25.40,4.93,-15.60,0.0,grandpas_village,10.59,clear,6.158,5.907,0.00,13.70,world
132.29,2026-08-28 00:12:56,-25.40,4.93,-15.60,0.0,grandpas_village,10.61,clear,6.956,5.986,0.00,13.70,world
132.81,2026-08-28 00:12:56,-25.40,4.93,-15.60,0.0,grandpas_village,10.63,clear,6.956,5.986,0.00,13.70,world
133.32,2026-08-28 00:12:57,-25.40,4.93,-15.60,0.0,grandpas_village,10.65,clear,5.355,6.016,0.00,13.70,world
133.84,2026-08-28 00:12:57,-25.40,4.93,-15.60,0.0,grandpas_village,10.67,clear,5.355,6.016,0.00,13.70,world
134.36,2026-08-28 00:12:58,-25.40,4.93,-15.60,0.0,grandpas_village,10.70,clear,5.761,6.785,0.00,13.70,world
134.88,2026-08-28 00:12:58,-25.40,4.93,-15.60,0.0,grandpas_village,10.72,clear,5.761,6.785,0.00,13.70,world
135.39,2026-08-28 00:12:59,-25.40,4.93,-15.60,0.0,grandpas_village,10.74,clear,4.730,6.216,0.00,13.70,world
135.90,2026-08-28 00:12:59,-25.40,4.93,-15.60,0.0,grandpas_village,10.76,clear,4.730,6.216,0.00,13.70,world
136.41,2026-08-28 00:13:00,-25.40,4.93,-15.60,0.0,grandpas_village,10.78,clear,4.883,6.211,0.00,13.70,world
136.92,2026-08-28 00:13:00,-25.40,4.93,-15.60,0.0,grandpas_village,10.80,clear,4.883,6.211,0.00,13.70,world
137.44,2026-08-28 00:13:01,-25.40,4.93,-15.60,0.0,grandpas_village,10.82,clear,6.624,5.807,0.00,13.70,world
137.96,2026-08-28 00:13:01,-25.40,4.93,-15.60,0.0,grandpas_village,10.84,clear,6.624,5.807,0.00,13.70,world
138.48,2026-08-28 00:13:02,-25.40,4.93,-15.60,0.0,grandpas_village,10.86,clear,4.855,5.832,0.00,13.70,world
138.98,2026-08-28 00:13:02,-25.40,4.93,-15.60,0.0,grandpas_village,10.88,clear,4.855,5.832,0.00,13.70,world
139.49,2026-08-28 00:13:03,-25.40,4.93,-15.60,0.0,grandpas_village,10.90,clear,5.961,6.028,0.00,13.70,world
140.00,2026-08-28 00:13:03,-25.40,4.93,-15.60,0.0,grandpas_village,10.92,clear,5.961,6.028,0.00,13.70,world
140.51,2026-08-28 00:13:04,-25.40,4.93,-15.60,0.0,grandpas_village,10.94,clear,5.243,6.099,0.00,13.70,world
141.01,2026-08-28 00:13:04,-25.40,4.93,-15.60,0.0,grandpas_village,10.96,clear,5.243,6.099,0.00,13.70,world
141.51,2026-08-28 00:13:05,-25.40,4.93,-15.60,0.0,grandpas_village,10.98,clear,5.184,5.797,0.00,13.70,world
142.03,2026-08-28 00:13:05,-25.40,4.93,-15.60,0.0,grandpas_village,11.00,clear,5.184,5.797,0.00,13.70,world
142.54,2026-08-28 00:13:06,-25.40,4.93,-15.60,0.0,grandpas_village,11.02,clear,6.514,5.906,0.00,13.70,world
143.05,2026-08-28 00:13:06,-25.40,4.93,-15.60,0.0,grandpas_village,11.04,clear,6.514,5.906,0.00,13.70,world
143.56,2026-08-28 00:13:07,-25.40,4.93,-15.60,0.0,grandpas_village,11.06,clear,5.630,5.906,0.00,13.70,world
144.07,2026-08-28 00:13:08,-25.40,4.93,-15.60,0.0,grandpas_village,11.08,clear,5.630,5.906,0.00,13.70,world
144.59,2026-08-28 00:13:08,-25.40,4.93,-15.60,0.0,grandpas_village,11.10,clear,5.577,5.899,0.00,13.70,world
145.11,2026-08-28 00:13:09,-25.40,4.93,-15.60,0.0,grandpas_village,11.13,clear,5.577,5.899,0.00,13.70,world
145.62,2026-08-28 00:13:09,-25.40,4.93,-15.60,0.0,grandpas_village,11.15,clear,5.878,5.912,0.00,13.70,world
146.12,2026-08-28 00:13:10,-25.40,4.93,-15.60,0.0,grandpas_village,11.17,clear,5.024,5.974,0.00,13.70,world
146.64,2026-08-28 00:13:10,-25.40,4.93,-15.60,0.0,grandpas_village,11.19,clear,5.024,5.974,0.00,13.70,world
147.16,2026-08-28 00:13:11,-25.40,4.93,-15.60,0.0,grandpas_village,11.21,clear,4.908,6.409,0.00,13.70,world
147.68,2026-08-28 00:13:11,-25.40,4.93,-15.60,0.0,grandpas_village,11.23,clear,4.908,6.409,0.00,13.70,world
148.19,2026-08-28 00:13:12,-25.40,4.93,-15.60,0.0,grandpas_village,11.25,clear,6.492,5.942,0.00,13.70,world
148.71,2026-08-28 00:13:12,-25.40,4.93,-15.60,0.0,grandpas_village,11.27,clear,6.492,5.942,0.00,13.70,world
149.23,2026-08-28 00:13:13,-25.40,4.93,-15.60,0.0,grandpas_village,11.29,clear,5.927,5.640,0.00,13.70,world
149.74,2026-08-28 00:13:13,-25.40,4.93,-15.60,0.0,grandpas_village,11.31,clear,5.927,5.640,0.00,13.70,world
150.24,2026-08-28 00:13:14,-25.40,4.93,-15.60,0.0,grandpas_village,11.33,clear,5.249,6.121,0.00,13.70,world
150.76,2026-08-28 00:13:14,-25.40,4.93,-15.60,0.0,grandpas_village,11.35,clear,5.249,6.121,0.00,13.70,world
151.28,2026-08-28 00:13:15,-25.40,4.93,-15.60,0.0,grandpas_village,11.37,clear,5.042,6.125,0.00,13.70,world
151.80,2026-08-28 00:13:15,-25.40,4.93,-15.60,0.0,grandpas_village,11.39,clear,5.042,6.125,0.00,13.70,world
152.31,2026-08-28 00:13:16,-25.40,4.93,-15.60,0.0,grandpas_village,11.41,clear,6.108,6.019,0.00,13.70,world
152.83,2026-08-28 00:13:16,-25.40,4.93,-15.60,0.0,grandpas_village,11.43,clear,6.108,6.019,0.00,13.70,world
153.34,2026-08-28 00:13:17,-25.40,4.93,-15.60,0.0,grandpas_village,11.45,clear,5.937,8.365,0.00,13.70,world
153.85,2026-08-28 00:13:17,-25.40,4.93,-15.60,0.0,grandpas_village,11.48,clear,5.937,8.365,0.00,13.70,world
154.36,2026-08-28 00:13:18,-25.40,4.93,-15.60,0.0,grandpas_village,11.50,clear,5.939,6.289,0.00,13.70,world
154.88,2026-08-28 00:13:18,-25.40,4.93,-15.60,0.0,grandpas_village,11.52,clear,5.939,6.289,0.00,13.70,world
155.39,2026-08-28 00:13:19,-25.40,4.93,-15.60,0.0,grandpas_village,11.54,clear,5.267,6.485,0.00,13.70,world
155.91,2026-08-28 00:13:19,-25.40,4.93,-15.60,0.0,grandpas_village,11.56,clear,5.267,6.485,0.00,13.70,world
156.43,2026-08-28 00:13:20,-25.40,4.93,-15.60,0.0,grandpas_village,11.58,clear,6.463,6.546,0.00,13.70,world
