t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.75,2026-08-31 23:06:30,0.00,0.00,0.00,0.0,grandpas_village,0.00,,0.356,6.871,0.00,,title
0.90,2026-08-31 23:06:30,0.00,0.00,0.00,0.0,grandpas_village,0.00,,0.356,6.871,0.00,,title
1.50,2026-08-31 23:07:26,-25.40,4.93,-15.60,0.0,grandpas_village,8.02,clear,21.885,16.104,0.00,,locked
2.00,2026-08-31 23:07:27,-25.40,4.93,-15.60,0.0,grandpas_village,8.04,clear,22.574,4.646,0.00,,locked
2.50,2026-08-31 23:07:27,-25.40,4.93,-15.60,0.0,grandpas_village,8.06,clear,22.574,4.646,0.00,,locked
3.00,2026-08-31 23:07:28,-25.40,4.93,-15.60,0.0,grandpas_village,8.08,clear,21.904,4.236,0.00,,locked
3.50,2026-08-31 23:07:28,-25.40,4.93,-15.60,0.0,grandpas_village,8.10,clear,21.904,4.236,0.00,,world
4.00,2026-08-31 23:07:29,-25.40,4.93,-15.60,0.0,grandpas_village,8.12,clear,27.972,4.645,0.00,,world
4.50,2026-08-31 23:07:29,-25.40,4.93,-15.60,0.0,grandpas_village,8.14,clear,27.972,4.645,0.00,,world
5.00,2026-08-31 23:07:30,-25.40,4.93,-15.60,0.0,grandpas_village,8.16,clear,29.394,5.119,0.00,,world
5.50,2026-08-31 23:07:30,-25.40,4.93,-15.60,0.0,grandpas_village,8.18,clear,29.394,5.119,0.00,,world
6.00,2026-08-31 23:07:31,-25.40,4.93,-15.60,0.0,grandpas_village,8.20,clear,24.162,4.662,0.00,,world
6.50,2026-08-31 23:07:31,-25.40,4.93,-15.60,0.0,grandpas_village,8.22,clear,24.162,4.662,0.00,,world
7.00,2026-08-31 23:07:32,-25.40,4.93,-15.60,0.0,grandpas_village,8.24,clear,22.801,4.882,0.00,,world
7.50,2026-08-31 23:07:32,-25.40,4.93,-15.60,0.0,grandpas_village,8.26,clear,22.801,4.882,0.00,,world
8.00,2026-08-31 23:07:33,-25.40,4.93,-15.60,0.0,grandpas_village,8.28,clear,23.263,4.938,0.00,,world
8.50,2026-08-31 23:07:33,-25.40,4.93,-15.60,0.0,grandpas_village,8.30,clear,23.263,4.938,0.00,,world
9.00,2026-08-31 23:07:34,-25.40,4.93,-15.60,0.0,grandpas_village,8.32,clear,23.369,5.256,0.00,,world
9.50,2026-08-31 23:07:34,-25.40,4.93,-15.60,0.0,grandpas_village,8.34,clear,23.369,5.256,0.00,,world
10.00,2026-08-31 23:07:35,-25.40,4.93,-15.60,0.0,grandpas_village,8.36,clear,21.550,4.773,0.00,,world
10.50,2026-08-31 23:07:35,-25.40,4.93,-15.60,0.0,grandpas_village,8.38,clear,21.550,4.773,0.00,,world
