t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.75,2026-09-01 22:15:57,0.00,0.00,0.00,0.0,grandpas_village,0.00,,0.369,3.985,0.00,,title
0.90,2026-09-01 22:15:57,0.00,0.00,0.00,0.0,grandpas_village,0.00,,58.469,0.977,0.00,,title
1.50,2026-09-01 22:17:55,-25.40,4.93,-15.60,0.0,grandpas_village,8.02,clear,22.446,2.791,0.00,,locked
2.00,2026-09-01 22:17:56,-25.40,4.93,-15.60,0.0,grandpas_village,8.04,clear,22.446,2.791,0.00,,locked
2.50,2026-09-01 22:17:56,-25.40,4.93,-15.60,0.0,grandpas_village,8.06,clear,22.934,3.471,0.00,,locked
3.00,2026-09-01 22:17:57,-25.40,4.93,-15.60,0.0,grandpas_village,8.08,clear,22.934,3.471,0.00,,locked
3.50,2026-09-01 22:17:57,-25.40,4.93,-15.60,0.0,grandpas_village,8.10,clear,23.127,3.574,0.00,,world
4.00,2026-09-01 22:17:58,-25.40,4.93,-15.60,0.0,grandpas_village,8.12,clear,23.127,3.574,0.00,,world
4.50,2026-09-01 22:17:58,-25.40,4.93,-15.60,0.0,grandpas_village,8.14,clear,23.635,4.594,0.00,,world
5.00,2026-09-01 22:17:59,-25.40,4.93,-15.60,0.0,grandpas_village,8.16,clear,23.635,4.594,0.00,,world
5.50,2026-09-01 22:17:59,-25.40,4.93,-15.60,0.0,grandpas_village,8.18,clear,24.082,4.441,0.00,,world
6.00,2026-09-01 22:18:00,-25.40,4.93,-15.60,0.0,grandpas_village,8.20,clear,24.082,4.441,0.00,,world
6.50,2026-09-01 22:18:00,-25.40,4.93,-15.60,0.0,grandpas_village,8.22,clear,29.293,4.801,0.00,,world
7.00,2026-09-01 22:18:01,-25.40,4.93,-15.60,0.0,grandpas_village,8.24,clear,29.293,4.801,0.00,,world
7.50,2026-09-01 22:18:01,-25.40,4.93,-15.60,0.0,grandpas_village,8.26,clear,21.559,4.038,0.00,,world
8.00,2026-09-01 22:18:02,-25.40,4.93,-15.60,0.0,grandpas_village,8.28,clear,21.559,4.038,0.00,,world
8.50,2026-09-01 22:18:02,-25.40,4.93,-15.60,0.0,grandpas_village,8.30,clear,27.382,28.088,0.00,,world
9.00,2026-09-01 22:18:03,-25.40,4.93,-15.60,0.0,grandpas_village,8.32,clear,27.382,28.088,0.00,,world
9.50,2026-09-01 22:18:03,-25.40,4.93,-15.60,0.0,grandpas_village,8.34,clear,24.327,5.350,0.00,,world
10.00,2026-09-01 22:18:04,-25.40,4.93,-15.60,0.0,grandpas_village,8.36,clear,24.327,5.350,0.00,,world
10.50,2026-09-01 22:18:04,-25.40,4.93,-15.60,0.0,grandpas_village,8.38,clear,28.727,4.933,0.00,,world
11.00,2026-09-01 22:18:05,-25.40,4.93,-15.60,0.0,grandpas_village,8.40,clear,28.727,4.933,0.00,,world
11.50,2026-09-01 22:18:05,-25.40,4.93,-15.60,0.0,grandpas_village,8.42,clear,27.780,5.083,0.00,,world
12.00,2026-09-01 22:18:06,-25.40,4.93,-15.60,0.0,grandpas_village,8.44,clear,27.780,5.083,0.00,,world
12.50,2026-09-01 22:18:06,-25.40,4.93,-15.60,0.0,grandpas_village,8.46,clear,27.780,5.083,0.00,,world
13.00,2026-09-01 22:18:07,-25.40,4.93,-15.60,0.0,grandpas_village,8.48,clear,23.250,4.086,0.00,,world
13.50,2026-09-01 22:18:07,-25.40,4.93,-15.60,0.0,grandpas_village,8.50,clear,26.004,35.591,0.00,,world
14.00,2026-09-01 22:18:08,-25.40,4.93,-15.60,0.0,grandpas_village,8.52,clear,26.004,35.591,0.00,,world
14.50,2026-09-01 22:18:08,-25.40,4.93,-15.60,0.0,grandpas_village,8.54,clear,25.108,4.946,0.00,,world
15.00,2026-09-01 22:18:09,-25.40,4.93,-15.60,0.0,grandpas_village,8.56,clear,25.108,4.946,0.00,,world
15.50,2026-09-01 22:18:09,-25.40,4.93,-15.60,0.0,grandpas_village,8.58,clear,25.108,4.946,0.00,,world
16.00,2026-09-01 22:18:10,-25.40,4.93,-15.60,0.0,grandpas_village,8.60,clear,25.334,5.103,0.00,,world
16.50,2026-09-01 22:18:10,-25.40,4.93,-15.60,0.0,grandpas_village,8.62,clear,21.215,3.983,0.00,,world
17.00,2026-09-01 22:18:11,-25.40,4.93,-15.60,0.0,grandpas_village,8.64,clear,21.215,3.983,0.00,,world
17.50,2026-09-01 22:18:11,-25.40,4.93,-15.60,0.0,grandpas_village,8.66,clear,21.973,4.800,0.00,,world
18.00,2026-09-01 22:18:12,-25.40,4.93,-15.60,0.0,grandpas_village,8.68,clear,21.973,4.800,0.00,,world
18.50,2026-09-01 22:18:12,-25.40,4.93,-15.60,0.0,grandpas_village,8.70,clear,23.248,5.439,0.00,,world
19.00,2026-09-01 22:18:13,-25.40,4.93,-15.60,0.0,grandpas_village,8.72,clear,23.248,5.439,0.00,,world
19.50,2026-09-01 22:18:13,-25.40,4.93,-15.60,0.0,grandpas_village,8.74,clear,24.575,5.588,0.00,,world
20.00,2026-09-01 22:18:14,-25.40,4.93,-15.60,0.0,grandpas_village,8.76,clear,24.575,5.588,0.00,,world
20.50,2026-09-01 22:18:14,-25.40,4.93,-15.60,0.0,grandpas_village,8.78,clear,24.575,5.588,0.00,,world
21.00,2026-09-01 22:18:15,-25.40,4.93,-15.60,0.0,grandpas_village,8.80,clear,26.782,5.667,0.00,,world
21.50,2026-09-01 22:18:15,-25.40,4.93,-15.60,0.0,grandpas_village,8.82,clear,29.739,6.120,0.00,,world
22.00,2026-09-01 22:18:16,-25.40,4.93,-15.60,0.0,grandpas_village,8.84,clear,29.739,6.120,0.00,,world
22.50,2026-09-01 22:18:16,-25.40,4.93,-15.60,0.0,grandpas_village,8.86,clear,25.433,4.325,0.00,,world
