t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.75,2026-09-01 22:49:41,0.00,0.00,0.00,0.0,grandpas_village,0.00,,0.481,20.503,0.00,,title
0.90,2026-09-01 22:49:41,0.00,0.00,0.00,0.0,grandpas_village,0.00,,58.397,0.913,0.00,,title
1.72,2026-09-01 22:50:51,12.20,0.90,-10.17,-85.6,grandpas_village,8.02,clear,23.674,17.973,0.00,9.74,world
2.22,2026-09-01 22:50:52,12.20,0.90,-10.17,-85.6,grandpas_village,8.04,clear,25.619,528.835,0.00,9.74,world
2.72,2026-09-01 22:50:52,12.20,0.90,-10.17,-85.6,grandpas_village,8.06,clear,25.619,528.835,0.00,9.74,world
3.22,2026-09-01 22:50:53,12.20,0.90,-10.17,-85.6,grandpas_village,8.08,clear,22.734,9.594,0.00,9.74,world
3.72,2026-09-01 22:50:53,12.20,0.90,-10.17,-85.6,grandpas_village,8.10,clear,22.734,9.594,0.00,9.74,world
4.22,2026-09-01 22:50:54,12.20,0.90,-10.17,-85.6,grandpas_village,8.12,clear,23.211,10.073,0.00,9.74,world
4.72,2026-09-01 22:50:54,12.20,0.90,-10.17,-85.6,grandpas_village,8.14,clear,23.211,10.073,0.00,9.74,world
5.22,2026-09-01 22:50:55,12.20,0.90,-10.17,-85.6,grandpas_village,8.16,clear,23.064,11.921,0.00,9.74,world
5.72,2026-09-01 22:50:55,12.20,0.90,-10.17,-85.6,grandpas_village,8.18,clear,23.064,11.921,0.00,9.74,world
6.22,2026-09-01 22:50:56,12.20,0.90,-10.17,-85.6,grandpas_village,8.20,clear,27.109,10.948,0.00,9.74,world
6.72,2026-09-01 22:50:56,12.20,0.90,-10.17,-85.6,grandpas_village,8.22,clear,27.109,10.948,0.00,9.74,world
7.22,2026-09-01 22:50:57,12.20,0.90,-10.17,-85.6,grandpas_village,8.24,clear,22.875,10.010,0.00,9.74,world
7.72,2026-09-01 22:50:57,12.20,0.90,-10.17,-85.6,grandpas_village,8.26,clear,22.875,10.010,0.00,9.74,world
8.22,2026-09-01 22:50:58,12.20,0.90,-10.17,-85.6,grandpas_village,8.28,clear,27.173,12.217,0.00,9.74,world
8.72,2026-09-01 22:50:58,12.20,0.90,-10.17,-85.6,grandpas_village,8.30,clear,27.173,12.217,0.00,9.74,world
9.22,2026-09-01 22:50:59,12.20,0.90,-10.17,-85.6,grandpas_village,8.32,clear,25.280,10.934,0.00,9.74,world
9.72,2026-09-01 22:50:59,12.20,0.90,-10.17,-85.6,grandpas_village,8.34,clear,25.280,10.934,0.00,9.74,world
10.22,2026-09-01 22:51:00,12.20,0.90,-10.17,-85.6,grandpas_village,8.36,clear,30.614,10.382,0.00,9.74,world
10.72,2026-09-01 22:51:00,12.20,0.90,-10.17,-85.6,grandpas_village,8.38,clear,30.614,10.382,0.00,9.74,world
11.22,2026-09-01 22:51:01,12.20,0.90,-10.17,-85.6,grandpas_village,8.40,clear,25.759,11.331,0.00,9.74,world
11.72,2026-09-01 22:51:01,12.20,0.90,-10.17,-85.6,grandpas_village,8.42,clear,25.759,11.331,0.00,9.74,world
12.22,2026-09-01 22:51:02,12.20,0.90,-10.17,-85.6,grandpas_village,8.44,clear,27.046,11.178,0.00,9.74,world
12.72,2026-09-01 22:51:02,12.20,0.90,-10.17,-85.6,grandpas_village,8.46,clear,27.046,11.178,0.00,9.74,world
13.22,2026-09-01 22:51:03,12.20,0.90,-10.17,-85.6,grandpas_village,8.48,clear,24.140,12.899,0.00,9.74,world
