t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.77,2026-09-02 05:34:15,0.00,0.00,0.00,0.0,grandpas_village,0.00,,32.538,10.878,0.00,,title
0.92,2026-09-02 05:34:15,0.00,0.00,0.00,0.0,grandpas_village,0.00,,32.538,10.878,0.00,,title
1.62,2026-09-02 05:39:25,12.33,0.90,-10.18,-85.6,grandpas_village,8.02,clear,14.174,1.908,0.00,9.63,world
2.12,2026-09-02 05:39:25,12.33,0.90,-10.18,-85.6,grandpas_village,8.04,clear,14.174,1.908,0.00,9.63,world
2.62,2026-09-02 05:39:26,12.33,0.90,-10.18,-85.6,grandpas_village,8.06,clear,13.662,337.629,0.00,9.63,world
3.12,2026-09-02 05:39:26,12.33,0.90,-10.18,-85.6,grandpas_village,8.08,clear,13.662,337.629,0.00,9.63,world
3.62,2026-09-02 05:39:27,12.33,0.90,-10.18,-85.6,grandpas_village,8.10,clear,14.237,4.740,0.00,9.63,world
4.13,2026-09-02 05:39:27,12.33,0.90,-10.18,-85.6,grandpas_village,8.12,clear,14.237,4.740,0.00,9.63,world
4.63,2026-09-02 05:39:28,12.33,0.90,-10.18,-85.6,grandpas_village,8.14,clear,13.972,4.235,0.00,9.63,world
5.13,2026-09-02 05:39:28,12.33,0.90,-10.18,-85.6,grandpas_village,8.16,clear,13.972,4.235,0.00,9.63,world
5.63,2026-09-02 05:39:29,12.33,0.90,-10.18,-85.6,grandpas_village,8.18,clear,13.953,4.637,0.00,9.63,world
6.13,2026-09-02 05:39:29,12.33,0.90,-10.18,-85.6,grandpas_village,8.20,clear,13.953,4.637,0.00,9.63,world
6.63,2026-09-02 05:39:30,12.33,0.90,-10.18,-85.6,grandpas_village,8.22,clear,16.097,5.181,0.00,9.63,world
7.13,2026-09-02 05:39:30,12.33,0.90,-10.18,-85.6,grandpas_village,8.24,clear,16.097,5.181,0.00,9.63,world
7.63,2026-09-02 05:39:31,12.33,0.90,-10.18,-85.6,grandpas_village,8.26,clear,15.395,4.872,0.00,9.63,world
8.13,2026-09-02 05:39:31,12.33,0.90,-10.18,-85.6,grandpas_village,8.28,clear,15.395,4.872,0.00,9.63,world
8.63,2026-09-02 05:39:32,12.33,0.90,-10.18,-85.6,grandpas_village,8.30,clear,14.389,4.970,0.00,9.63,world
9.13,2026-09-02 05:39:32,12.33,0.90,-10.18,-85.6,grandpas_village,8.32,clear,14.389,4.970,0.00,9.63,world
9.63,2026-09-02 05:39:33,12.33,0.90,-10.18,-85.6,grandpas_village,8.34,clear,15.342,5.195,0.00,9.63,world
10.13,2026-09-02 05:39:33,12.33,0.90,-10.18,-85.6,grandpas_village,8.36,clear,15.342,5.195,0.00,9.63,world
10.63,2026-09-02 05:39:34,12.33,0.90,-10.18,-85.6,grandpas_village,8.38,clear,16.070,5.277,0.00,9.63,world
11.13,2026-09-02 05:39:34,12.33,0.90,-10.18,-85.6,grandpas_village,8.40,clear,16.070,5.277,0.00,9.63,world
11.63,2026-09-02 05:39:35,12.33,0.90,-10.18,-85.6,grandpas_village,8.42,clear,15.648,4.681,0.00,9.63,world
12.13,2026-09-02 05:39:35,12.33,0.90,-10.18,-85.6,grandpas_village,8.44,clear,15.648,4.681,0.00,9.63,world
12.63,2026-09-02 05:39:36,12.33,0.90,-10.18,-85.6,grandpas_village,8.46,clear,14.376,4.903,0.00,9.63,world
13.13,2026-09-02 05:39:36,12.33,0.90,-10.18,-85.6,grandpas_village,8.48,clear,14.376,4.903,0.00,9.63,world
13.63,2026-09-02 05:39:37,12.33,0.90,-10.18,-85.6,grandpas_village,8.50,clear,14.095,4.832,0.00,9.63,world
14.13,2026-09-02 05:39:37,12.33,0.90,-10.18,-85.6,grandpas_village,8.52,clear,14.095,4.832,0.00,9.63,world
14.63,2026-09-02 05:39:38,12.33,0.90,-10.18,-85.6,grandpas_village,8.54,clear,13.905,5.064,0.00,9.63,world
15.13,2026-09-02 05:39:38,12.33,0.90,-10.18,-85.6,grandpas_village,8.56,clear,13.905,5.064,0.00,9.63,world
15.63,2026-09-02 05:39:39,12.33,0.90,-10.18,-85.6,grandpas_village,8.58,clear,14.278,4.743,0.00,9.63,world
16.13,2026-09-02 05:39:39,12.33,0.90,-10.18,-85.6,grandpas_village,8.60,clear,14.278,4.743,0.00,9.63,world
16.63,2026-09-02 05:39:40,12.33,0.90,-10.18,-85.6,grandpas_village,8.62,clear,15.182,5.579,0.00,9.63,world
17.13,2026-09-02 05:39:40,12.33,0.90,-10.18,-85.6,grandpas_village,8.64,clear,15.182,5.579,0.00,9.63,world
17.63,2026-09-02 05:39:41,12.33,0.90,-10.18,-85.6,grandpas_village,8.66,clear,15.960,6.691,0.00,9.63,world
18.13,2026-09-02 05:39:41,12.33,0.90,-10.18,-85.6,grandpas_village,8.68,clear,15.960,6.691,0.00,9.63,world
18.63,2026-09-02 05:39:42,12.33,0.90,-10.18,-85.6,grandpas_village,8.70,clear,20.454,6.492,0.00,9.63,world
19.13,2026-09-02 05:39:42,12.33,0.90,-10.18,-85.6,grandpas_village,8.72,clear,20.454,6.492,0.00,9.63,world
19.63,2026-09-02 05:39:43,12.33,0.90,-10.18,-85.6,grandpas_village,8.74,clear,14.414,5.822,0.00,9.63,world
20.13,2026-09-02 05:39:43,12.33,0.90,-10.18,-85.6,grandpas_village,8.76,clear,14.414,5.822,0.00,9.63,world
20.63,2026-09-02 05:39:44,12.33,0.90,-10.18,-85.6,grandpas_village,8.78,clear,14.270,5.009,0.00,9.63,world
