t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.73,2026-09-02 10:38:35,0.00,0.00,0.00,0.0,grandpas_village,0.00,,30.074,2.942,0.00,,title
0.88,2026-09-02 10:38:36,0.00,0.00,0.00,0.0,grandpas_village,0.00,,30.074,2.942,0.00,,title
1.62,2026-09-02 10:43:47,12.33,0.90,-10.18,-85.6,grandpas_village,8.02,clear,301888.829,5636.269,0.00,9.63,world
2.12,2026-09-02 10:43:48,12.33,0.90,-10.18,-85.6,grandpas_village,8.04,clear,17.020,381.229,0.00,9.63,world
2.62,2026-09-02 10:43:48,12.33,0.90,-10.18,-85.6,grandpas_village,8.06,clear,15.815,5.660,0.00,9.63,world
3.12,2026-09-02 10:43:49,12.33,0.90,-10.18,-85.6,grandpas_village,8.08,clear,15.815,5.660,0.00,9.63,world
3.62,2026-09-02 10:43:49,12.33,0.90,-10.18,-85.6,grandpas_village,8.10,clear,14.986,4.556,0.00,9.63,world
4.13,2026-09-02 10:43:50,12.33,0.90,-10.18,-85.6,grandpas_village,8.12,clear,14.986,4.556,0.00,9.63,world
4.63,2026-09-02 10:43:50,12.33,0.90,-10.18,-85.6,grandpas_village,8.14,clear,16.709,5.643,0.00,9.63,world
5.13,2026-09-02 10:43:51,12.33,0.90,-10.18,-85.6,grandpas_village,8.16,clear,16.709,5.643,0.00,9.63,world
5.63,2026-09-02 10:43:51,12.33,0.90,-10.18,-85.6,grandpas_village,8.18,clear,14.816,4.980,0.00,9.63,world
6.13,2026-09-02 10:43:52,12.33,0.90,-10.18,-85.6,grandpas_village,8.20,clear,14.816,4.980,0.00,9.63,world
6.63,2026-09-02 10:43:52,12.33,0.90,-10.18,-85.6,grandpas_village,8.22,clear,15.156,4.859,0.00,9.63,world
7.13,2026-09-02 10:43:53,12.33,0.90,-10.18,-85.6,grandpas_village,8.24,clear,15.156,4.859,0.00,9.63,world
