t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.75,2026-09-02 10:55:33,0.00,0.00,0.00,0.0,grandpas_village,0.00,,31.576,2.609,0.00,,title
0.90,2026-09-02 10:55:34,0.00,0.00,0.00,0.0,grandpas_village,0.00,,31.576,2.609,0.00,,title
1.62,2026-09-02 11:00:32,12.33,0.90,-10.18,-85.6,grandpas_village,8.02,clear,289862.895,4280.530,0.00,9.63,world
2.12,2026-09-02 11:00:32,12.33,0.90,-10.18,-85.6,grandpas_village,8.04,clear,16.715,377.456,0.00,9.63,world
2.62,2026-09-02 11:00:33,12.33,0.90,-10.18,-85.6,grandpas_village,8.06,clear,16.715,377.456,0.00,9.63,world
3.12,2026-09-02 11:00:33,12.33,0.90,-10.18,-85.6,grandpas_village,8.08,clear,18.623,4.638,0.00,9.63,world
3.62,2026-09-02 11:00:34,12.33,0.90,-10.18,-85.6,grandpas_village,8.10,clear,18.623,4.638,0.00,9.63,world
4.13,2026-09-02 11:00:34,12.33,0.90,-10.18,-85.6,grandpas_village,8.12,clear,19.776,7.053,0.00,9.63,world
4.63,2026-09-02 11:00:35,12.33,0.90,-10.18,-85.6,grandpas_village,8.14,clear,19.776,7.053,0.00,9.63,world
5.13,2026-09-02 11:00:35,12.33,0.90,-10.18,-85.6,grandpas_village,8.16,clear,15.801,4.601,0.00,9.63,world
5.63,2026-09-02 11:00:36,12.33,0.90,-10.18,-85.6,grandpas_village,8.18,clear,15.801,4.601,0.00,9.63,world
6.13,2026-09-02 11:00:36,12.33,0.90,-10.18,-85.6,grandpas_village,8.20,clear,17.391,6.682,0.00,9.63,world
6.63,2026-09-02 11:00:37,12.33,0.90,-10.18,-85.6,grandpas_village,8.22,clear,17.391,6.682,0.00,9.63,world
7.13,2026-09-02 11:00:37,12.33,0.90,-10.18,-85.6,grandpas_village,8.24,clear,15.914,5.352,0.00,9.63,world
7.63,2026-09-02 11:00:38,12.33,0.90,-10.18,-85.6,grandpas_village,8.26,clear,15.914,5.352,0.00,9.63,world
8.13,2026-09-02 11:00:38,12.33,0.90,-10.18,-85.6,grandpas_village,8.28,clear,17.910,6.300,0.00,9.63,world
8.63,2026-09-02 11:00:39,12.33,0.90,-10.18,-85.6,grandpas_village,8.30,clear,17.910,6.300,0.00,9.63,world
9.13,2026-09-02 11:00:39,12.33,0.90,-10.18,-85.6,grandpas_village,8.32,clear,15.217,5.559,0.00,9.63,world
9.63,2026-09-02 11:00:40,12.33,0.90,-10.18,-85.6,grandpas_village,8.34,clear,15.217,5.559,0.00,9.63,world
10.13,2026-09-02 11:00:40,12.33,0.90,-10.18,-85.6,grandpas_village,8.36,clear,17.596,4.875,0.00,9.63,world
10.63,2026-09-02 11:00:41,12.33,0.90,-10.18,-85.6,grandpas_village,8.38,clear,17.596,4.875,0.00,9.63,world
11.13,2026-09-02 11:00:41,12.33,0.90,-10.18,-85.6,grandpas_village,8.40,clear,14.655,5.068,0.00,9.63,world
11.63,2026-09-02 11:00:42,12.33,0.90,-10.18,-85.6,grandpas_village,8.42,clear,14.655,5.068,0.00,9.63,world
12.13,2026-09-02 11:00:42,12.33,0.90,-10.18,-85.6,grandpas_village,8.44,clear,20.362,5.602,0.00,9.63,world
12.63,2026-09-02 11:00:43,12.33,0.90,-10.18,-85.6,grandpas_village,8.46,clear,20.362,5.602,0.00,9.63,world
13.13,2026-09-02 11:00:43,12.33,0.90,-10.18,-85.6,grandpas_village,8.48,clear,15.541,6.101,0.00,9.63,world
13.63,2026-09-02 11:00:44,12.33,0.90,-10.18,-85.6,grandpas_village,8.50,clear,15.541,6.101,0.00,9.63,world
14.13,2026-09-02 11:00:44,12.33,0.90,-10.18,-85.6,grandpas_village,8.52,clear,15.323,6.098,0.00,9.63,world
14.63,2026-09-02 11:00:45,12.33,0.90,-10.18,-85.6,grandpas_village,8.54,clear,15.323,6.098,0.00,9.63,world
15.13,2026-09-02 11:00:45,12.33,0.90,-10.18,-85.6,grandpas_village,8.56,clear,15.271,5.491,0.00,9.63,world
15.63,2026-09-02 11:00:46,12.33,0.90,-10.18,-85.6,grandpas_village,8.58,clear,15.271,5.491,0.00,9.63,world
16.13,2026-09-02 11:00:46,12.33,0.90,-10.18,-85.6,grandpas_village,8.60,clear,15.613,5.071,0.00,9.63,world
