t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.73,2026-09-02 11:51:53,0.00,0.00,0.00,0.0,grandpas_village,0.00,,32.171,2.577,0.00,,title
0.88,2026-09-02 11:51:54,0.00,0.00,0.00,0.0,grandpas_village,0.00,,32.171,2.577,0.00,,title
1.58,2026-09-02 11:57:04,12.33,0.90,-10.18,-85.6,grandpas_village,8.02,clear,302610.636,3564.844,0.00,9.63,world
2.08,2026-09-02 11:57:04,12.33,0.90,-10.18,-85.6,grandpas_village,8.04,clear,16.950,388.174,0.00,9.63,world
2.58,2026-09-02 11:57:05,12.33,0.90,-10.18,-85.6,grandpas_village,8.06,clear,16.950,388.174,0.00,9.63,world
3.08,2026-09-02 11:57:05,12.33,0.90,-10.18,-85.6,grandpas_village,8.08,clear,14.567,4.290,0.00,9.63,world
3.58,2026-09-02 11:57:06,12.33,0.90,-10.18,-85.6,grandpas_village,8.10,clear,14.567,4.290,0.00,9.63,world
4.10,2026-09-02 11:57:06,12.33,0.90,-10.18,-85.6,grandpas_village,8.12,clear,15.159,4.395,0.00,9.63,world
4.60,2026-09-02 11:57:07,12.33,0.90,-10.18,-85.6,grandpas_village,8.14,clear,15.159,4.395,0.00,9.63,world
5.10,2026-09-02 11:57:07,12.33,0.90,-10.18,-85.6,grandpas_village,8.16,clear,15.377,41.096,0.00,9.63,world
5.60,2026-09-02 11:57:08,12.33,0.90,-10.18,-85.6,grandpas_village,8.18,clear,15.377,41.096,0.00,9.63,world
6.10,2026-09-02 11:57:08,12.33,0.90,-10.18,-85.6,grandpas_village,8.20,clear,14.442,6.437,0.00,9.63,world
6.60,2026-09-02 11:57:09,12.33,0.90,-10.18,-85.6,grandpas_village,8.22,clear,14.442,6.437,0.00,9.63,world
7.10,2026-09-02 11:57:09,12.33,0.90,-10.18,-85.6,grandpas_village,8.24,clear,14.010,5.409,0.00,9.63,world
7.60,2026-09-02 11:57:10,12.33,0.90,-10.18,-85.6,grandpas_village,8.26,clear,14.010,5.409,0.00,9.63,world
8.10,2026-09-02 11:57:10,12.33,0.90,-10.18,-85.6,grandpas_village,8.28,clear,16.125,5.631,0.00,9.63,world
8.60,2026-09-02 11:57:11,12.33,0.90,-10.18,-85.6,grandpas_village,8.30,clear,16.125,5.631,0.00,9.63,world
9.10,2026-09-02 11:57:11,12.33,0.90,-10.18,-85.6,grandpas_village,8.32,clear,14.267,5.057,0.00,9.63,world
9.60,2026-09-02 11:57:12,12.33,0.90,-10.18,-85.6,grandpas_village,8.34,clear,14.267,5.057,0.00,9.63,world
