t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.75,2026-09-02 12:26:48,0.00,0.00,0.00,0.0,grandpas_village,0.00,,0.258,14.384,0.00,,title
0.90,2026-09-02 12:26:48,0.00,0.00,0.00,0.0,grandpas_village,0.00,,0.258,14.384,0.00,,title
1.62,2026-09-02 12:32:05,12.33,0.90,-10.18,-85.6,grandpas_village,8.02,clear,16.336,12.855,0.00,9.63,world
2.12,2026-09-02 12:32:05,12.33,0.90,-10.18,-85.6,grandpas_village,8.04,clear,16.336,12.855,0.00,9.63,world
2.62,2026-09-02 12:32:06,12.33,0.90,-10.18,-85.6,grandpas_village,8.06,clear,18.566,384.794,0.00,9.63,world
3.12,2026-09-02 12:32:06,12.33,0.90,-10.18,-85.6,grandpas_village,8.08,clear,18.566,384.794,0.00,9.63,world
3.62,2026-09-02 12:32:07,12.33,0.90,-10.18,-85.6,grandpas_village,8.10,clear,15.649,5.351,0.00,9.63,world
4.13,2026-09-02 12:32:07,12.33,0.90,-10.18,-85.6,grandpas_village,8.12,clear,15.649,5.351,0.00,9.63,world
4.63,2026-09-02 12:32:08,12.33,0.90,-10.18,-85.6,grandpas_village,8.14,clear,16.702,4.978,0.00,9.63,world
5.13,2026-09-02 12:32:08,12.33,0.90,-10.18,-85.6,grandpas_village,8.16,clear,16.702,4.978,0.00,9.63,world
5.63,2026-09-02 12:32:09,12.33,0.90,-10.18,-85.6,grandpas_village,8.18,clear,14.757,5.356,0.00,9.63,world
6.13,2026-09-02 12:32:09,12.33,0.90,-10.18,-85.6,grandpas_village,8.20,clear,14.757,5.356,0.00,9.63,world
6.63,2026-09-02 12:32:10,12.33,0.90,-10.18,-85.6,grandpas_village,8.22,clear,15.681,5.594,0.00,9.63,world
7.13,2026-09-02 12:32:10,12.33,0.90,-10.18,-85.6,grandpas_village,8.24,clear,15.681,5.594,0.00,9.63,world
7.63,2026-09-02 12:32:11,12.33,0.90,-10.18,-85.6,grandpas_village,8.26,clear,15.486,5.585,0.00,9.63,world
8.13,2026-09-02 12:32:11,12.33,0.90,-10.18,-85.6,grandpas_village,8.28,clear,15.486,5.585,0.00,9.63,world
8.63,2026-09-02 12:32:12,12.33,0.90,-10.18,-85.6,grandpas_village,8.30,clear,20.797,21.934,0.00,9.63,world
9.13,2026-09-02 12:32:12,12.33,0.90,-10.18,-85.6,grandpas_village,8.32,clear,20.797,21.934,0.00,9.63,world
9.63,2026-09-02 12:32:13,12.33,0.90,-10.18,-85.6,grandpas_village,8.34,clear,19.348,5.393,0.00,9.63,world
10.13,2026-09-02 12:32:13,12.33,0.90,-10.18,-85.6,grandpas_village,8.36,clear,19.348,5.393,0.00,9.63,world
10.63,2026-09-02 12:32:14,12.33,0.90,-10.18,-85.6,grandpas_village,8.38,clear,14.216,4.738,0.00,9.63,world
11.13,2026-09-02 12:32:14,12.33,0.90,-10.18,-85.6,grandpas_village,8.40,clear,14.216,4.738,0.00,9.63,world
11.63,2026-09-02 12:32:15,12.33,0.90,-10.18,-85.6,grandpas_village,8.42,clear,14.512,6.528,0.00,9.63,world
12.13,2026-09-02 12:32:15,12.33,0.90,-10.18,-85.6,grandpas_village,8.44,clear,14.512,6.528,0.00,9.63,world
12.63,2026-09-02 12:32:16,12.33,0.90,-10.18,-85.6,grandpas_village,8.46,clear,15.466,5.536,0.00,9.63,world
13.13,2026-09-02 12:32:16,12.33,0.90,-10.18,-85.6,grandpas_village,8.48,clear,15.466,5.536,0.00,9.63,world
13.63,2026-09-02 12:32:17,12.33,0.90,-10.18,-85.6,grandpas_village,8.50,clear,17.659,6.685,0.00,9.63,world
14.13,2026-09-02 12:32:17,12.33,0.90,-10.18,-85.6,grandpas_village,8.52,clear,17.659,6.685,0.00,9.63,world
14.63,2026-09-02 12:32:18,12.33,0.90,-10.18,-85.6,grandpas_village,8.54,clear,15.769,6.271,0.00,9.63,world
15.13,2026-09-02 12:32:18,12.33,0.90,-10.18,-85.6,grandpas_village,8.56,clear,15.769,6.271,0.00,9.63,world
15.63,2026-09-02 12:32:19,12.33,0.90,-10.18,-85.6,grandpas_village,8.58,clear,20.824,7.727,0.00,9.63,world
16.13,2026-09-02 12:32:19,12.33,0.90,-10.18,-85.6,grandpas_village,8.60,clear,20.824,7.727,0.00,9.63,world
16.63,2026-09-02 12:32:20,12.33,0.90,-10.18,-85.6,grandpas_village,8.62,clear,19.281,6.615,0.00,9.63,world
17.13,2026-09-02 12:32:20,12.33,0.90,-10.18,-85.6,grandpas_village,8.64,clear,19.281,6.615,0.00,9.63,world
17.63,2026-09-02 12:32:21,12.33,0.90,-10.18,-85.6,grandpas_village,8.66,clear,16.990,7.383,0.00,9.63,world
18.13,2026-09-02 12:32:21,12.33,0.90,-10.18,-85.6,grandpas_village,8.68,clear,16.990,7.383,0.00,9.63,world
18.63,2026-09-02 12:32:22,12.33,0.90,-10.18,-85.6,grandpas_village,8.70,clear,17.781,6.193,0.00,9.63,world
19.13,2026-09-02 12:32:22,12.33,0.90,-10.18,-85.6,grandpas_village,8.72,clear,17.781,6.193,0.00,9.63,world
19.63,2026-09-02 12:32:23,12.33,0.90,-10.18,-85.6,grandpas_village,8.74,clear,18.075,5.954,0.00,9.63,world
20.13,2026-09-02 12:32:23,12.33,0.90,-10.18,-85.6,grandpas_village,8.76,clear,18.075,5.954,0.00,9.63,world
20.63,2026-09-02 12:32:24,12.33,0.90,-10.18,-85.6,grandpas_village,8.78,clear,21.985,7.803,0.00,9.63,world
21.13,2026-09-02 12:32:24,12.33,0.90,-10.18,-85.6,grandpas_village,8.80,clear,21.985,7.803,0.00,9.63,world
21.63,2026-09-02 12:32:25,12.33,0.90,-10.18,-85.6,grandpas_village,8.82,clear,15.958,5.814,0.00,9.63,world
22.13,2026-09-02 12:32:25,12.33,0.90,-10.18,-85.6,grandpas_village,8.84,clear,15.958,5.814,0.00,9.63,world
22.63,2026-09-02 12:32:26,12.33,0.90,-10.18,-85.6,grandpas_village,8.86,clear,17.551,5.846,0.00,9.63,world
23.13,2026-09-02 12:32:26,12.33,0.90,-10.18,-85.6,grandpas_village,8.88,clear,17.551,5.846,0.00,9.63,world
23.63,2026-09-02 12:32:27,12.33,0.90,-10.18,-85.6,grandpas_village,8.90,clear,18.093,6.285,0.00,9.63,world
24.13,2026-09-02 12:32:27,12.33,0.90,-10.18,-85.6,grandpas_village,8.92,clear,18.093,6.285,0.00,9.63,world
24.63,2026-09-02 12:32:28,12.33,0.90,-10.18,-85.6,grandpas_village,8.94,clear,14.950,5.624,0.00,9.63,world
25.13,2026-09-02 12:32:28,12.33,0.90,-10.18,-85.6,grandpas_village,8.96,clear,14.950,5.624,0.00,9.63,world
25.63,2026-09-02 12:32:29,12.33,0.90,-10.18,-85.6,grandpas_village,8.98,clear,16.050,6.931,0.00,9.63,world
