t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.75,2026-09-02 13:45:22,0.00,0.00,0.00,0.0,grandpas_village,0.00,,29.151,12.868,0.00,,title
0.90,2026-09-02 13:45:22,0.00,0.00,0.00,0.0,grandpas_village,0.00,,29.151,12.868,0.00,,title
1.63,2026-09-02 13:50:40,12.33,0.90,-10.18,-85.6,grandpas_village,8.02,clear,19.452,13.326,0.00,9.63,world
2.13,2026-09-02 13:50:40,12.33,0.90,-10.18,-85.6,grandpas_village,8.04,clear,19.452,13.326,0.00,9.63,world
2.63,2026-09-02 13:50:41,12.33,0.90,-10.18,-85.6,grandpas_village,8.06,clear,16.434,387.591,0.00,9.63,world
3.13,2026-09-02 13:50:41,12.33,0.90,-10.18,-85.6,grandpas_village,8.08,clear,16.434,387.591,0.00,9.63,world
3.63,2026-09-02 13:50:42,12.33,0.90,-10.18,-85.6,grandpas_village,8.10,clear,14.778,5.115,0.00,9.63,world
4.13,2026-09-02 13:50:42,12.33,0.90,-10.18,-85.6,grandpas_village,8.12,clear,14.778,5.115,0.00,9.63,world
4.63,2026-09-02 13:50:43,12.33,0.90,-10.18,-85.6,grandpas_village,8.14,clear,17.835,5.221,0.00,9.63,world
5.13,2026-09-02 13:50:43,12.33,0.90,-10.18,-85.6,grandpas_village,8.16,clear,17.835,5.221,0.00,9.63,world
5.63,2026-09-02 13:50:44,12.33,0.90,-10.18,-85.6,grandpas_village,8.18,clear,15.179,5.249,0.00,9.63,world
6.13,2026-09-02 13:50:44,12.33,0.90,-10.18,-85.6,grandpas_village,8.20,clear,15.179,5.249,0.00,9.63,world
6.63,2026-09-02 13:50:45,12.33,0.90,-10.18,-85.6,grandpas_village,8.22,clear,17.885,5.344,0.00,9.63,world
7.13,2026-09-02 13:50:45,12.33,0.90,-10.18,-85.6,grandpas_village,8.24,clear,17.885,5.344,0.00,9.63,world
