t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.75,2026-09-02 15:05:04,0.00,0.00,0.00,0.0,grandpas_village,0.00,,34.019,12.372,0.00,,title
0.90,2026-09-02 15:05:04,0.00,0.00,0.00,0.0,grandpas_village,0.00,,34.019,12.372,0.00,,title
1.62,2026-09-02 15:06:13,12.33,0.90,-10.18,-85.6,grandpas_village,8.02,clear,16.565,14.938,0.00,9.63,world
2.12,2026-09-02 15:06:14,12.33,0.90,-10.18,-85.6,grandpas_village,8.04,clear,18.894,344.231,0.00,9.63,world
2.62,2026-09-02 15:06:14,12.33,0.90,-10.18,-85.6,grandpas_village,8.06,clear,18.894,344.231,0.00,9.63,world
3.12,2026-09-02 15:06:15,12.33,0.90,-10.18,-85.6,grandpas_village,8.08,clear,16.227,5.573,0.00,9.63,world
3.62,2026-09-02 15:06:15,12.33,0.90,-10.18,-85.6,grandpas_village,8.10,clear,16.227,5.573,0.00,9.63,world
4.13,2026-09-02 15:06:16,12.33,0.90,-10.18,-85.6,grandpas_village,8.12,clear,15.762,4.686,0.00,9.63,world
4.63,2026-09-02 15:06:16,12.33,0.90,-10.18,-85.6,grandpas_village,8.14,clear,15.762,4.686,0.00,9.63,world
5.13,2026-09-02 15:06:17,12.33,0.90,-10.18,-85.6,grandpas_village,8.16,clear,20.190,5.063,0.00,9.63,world
5.63,2026-09-02 15:06:17,12.33,0.90,-10.18,-85.6,grandpas_village,8.18,clear,20.190,5.063,0.00,9.63,world
6.13,2026-09-02 15:06:18,12.33,0.90,-10.18,-85.6,grandpas_village,8.20,clear,19.697,7.819,0.00,9.63,world
6.63,2026-09-02 15:06:18,12.33,0.90,-10.18,-85.6,grandpas_village,8.22,clear,19.697,7.819,0.00,9.63,world
7.13,2026-09-02 15:06:19,12.33,0.90,-10.18,-85.6,grandpas_village,8.24,clear,19.172,5.983,0.00,9.63,world
7.63,2026-09-02 15:06:19,12.33,0.90,-10.18,-85.6,grandpas_village,8.26,clear,19.172,5.983,0.00,9.63,world
8.13,2026-09-02 15:06:20,12.33,0.90,-10.18,-85.6,grandpas_village,8.28,clear,16.222,5.816,0.00,9.63,world
