t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.75,2026-09-02 15:24:30,0.00,0.00,0.00,0.0,grandpas_village,0.00,,34.516,10.948,0.00,,title
0.90,2026-09-02 15:24:30,0.00,0.00,0.00,0.0,grandpas_village,0.00,,34.516,10.948,0.00,,title
1.63,2026-09-02 15:25:14,12.33,0.90,-10.18,-85.6,grandpas_village,8.02,clear,18.536,16.515,0.00,9.63,world
2.13,2026-09-02 15:25:15,12.33,0.90,-10.18,-85.6,grandpas_village,8.04,clear,17.704,407.205,0.00,9.63,world
2.63,2026-09-02 15:25:15,12.33,0.90,-10.18,-85.6,grandpas_village,8.06,clear,17.704,407.205,0.00,9.63,world
3.13,2026-09-02 15:25:16,12.33,0.90,-10.18,-85.6,grandpas_village,8.08,clear,17.803,7.133,0.00,9.63,world
3.63,2026-09-02 15:25:16,12.33,0.90,-10.18,-85.6,grandpas_village,8.10,clear,17.803,7.133,0.00,9.63,world
4.13,2026-09-02 15:25:17,12.33,0.90,-10.18,-85.6,grandpas_village,8.12,clear,18.643,11.591,0.00,9.63,world
4.63,2026-09-02 15:25:17,12.33,0.90,-10.18,-85.6,grandpas_village,8.14,clear,18.643,11.591,0.00,9.63,world
5.13,2026-09-02 15:25:18,12.33,0.90,-10.18,-85.6,grandpas_village,8.16,clear,16.180,5.573,0.00,9.63,world
5.63,2026-09-02 15:25:18,12.33,0.90,-10.18,-85.6,grandpas_village,8.18,clear,16.180,5.573,0.00,9.63,world
6.13,2026-09-02 15:25:19,12.33,0.90,-10.18,-85.6,grandpas_village,8.20,clear,15.871,6.149,0.00,9.63,world
6.63,2026-09-02 15:25:19,12.33,0.90,-10.18,-85.6,grandpas_village,8.22,clear,15.871,6.149,0.00,9.63,world
7.13,2026-09-02 15:25:20,12.33,0.90,-10.18,-85.6,grandpas_village,8.24,clear,15.891,5.595,0.00,9.63,world
7.63,2026-09-02 15:25:20,12.33,0.90,-10.18,-85.6,grandpas_village,8.26,clear,15.891,5.595,0.00,9.63,world
8.13,2026-09-02 15:25:21,12.33,0.90,-10.18,-85.6,grandpas_village,8.28,clear,17.349,6.821,0.00,9.63,world
8.63,2026-09-02 15:25:21,12.33,0.90,-10.18,-85.6,grandpas_village,8.30,clear,17.349,6.821,0.00,9.63,world
9.13,2026-09-02 15:25:22,12.33,0.90,-10.18,-85.6,grandpas_village,8.32,clear,15.234,5.398,0.00,9.63,world
9.63,2026-09-02 15:25:22,12.33,0.90,-10.18,-85.6,grandpas_village,8.34,clear,15.234,5.398,0.00,9.63,world
10.13,2026-09-02 15:25:23,12.33,0.90,-10.18,-85.6,grandpas_village,8.36,clear,17.063,22.564,0.00,9.63,world
10.63,2026-09-02 15:25:23,12.33,0.90,-10.18,-85.6,grandpas_village,8.38,clear,17.063,22.564,0.00,9.63,world
11.13,2026-09-02 15:25:24,12.33,0.90,-10.18,-85.6,grandpas_village,8.40,clear,18.562,6.211,0.00,9.63,world
11.63,2026-09-02 15:25:24,12.33,0.90,-10.18,-85.6,grandpas_village,8.42,clear,18.562,6.211,0.00,9.63,world
12.13,2026-09-02 15:25:25,12.33,0.90,-10.18,-85.6,grandpas_village,8.44,clear,20.427,6.385,0.00,9.63,world
12.63,2026-09-02 15:25:25,12.33,0.90,-10.18,-85.6,grandpas_village,8.46,clear,20.427,6.385,0.00,9.63,world
13.13,2026-09-02 15:25:26,12.33,0.90,-10.18,-85.6,grandpas_village,8.48,clear,16.245,6.395,0.00,9.63,world
13.63,2026-09-02 15:25:26,12.33,0.90,-10.18,-85.6,grandpas_village,8.50,clear,16.245,6.395,0.00,9.63,world
14.13,2026-09-02 15:25:27,12.33,0.90,-10.18,-85.6,grandpas_village,8.52,clear,16.245,6.395,0.00,9.63,world
14.63,2026-09-02 15:25:27,12.33,0.90,-10.18,-85.6,grandpas_village,8.54,clear,21.752,23.958,0.00,9.63,world
15.13,2026-09-02 15:25:28,12.33,0.90,-10.18,-85.6,grandpas_village,8.56,clear,21.696,9.870,0.00,9.63,world
15.63,2026-09-02 15:25:28,12.33,0.90,-10.18,-85.6,grandpas_village,8.58,clear,21.696,9.870,0.00,9.63,world
16.13,2026-09-02 15:25:29,12.33,0.90,-10.18,-85.6,grandpas_village,8.60,clear,19.013,32.713,0.00,9.63,world
16.63,2026-09-02 15:25:29,12.33,0.90,-10.18,-85.6,grandpas_village,8.62,clear,19.013,32.713,0.00,9.63,world
17.13,2026-09-02 15:25:30,12.33,0.90,-10.18,-85.6,grandpas_village,8.64,clear,21.894,6.763,0.00,9.63,world
17.63,2026-09-02 15:25:30,12.33,0.90,-10.18,-85.6,grandpas_village,8.66,clear,21.894,6.763,0.00,9.63,world
18.13,2026-09-02 15:25:31,12.33,0.90,-10.18,-85.6,grandpas_village,8.68,clear,18.828,20.892,0.00,9.63,world
18.63,2026-09-02 15:25:31,12.33,0.90,-10.18,-85.6,grandpas_village,8.70,clear,18.828,20.892,0.00,9.63,world
19.13,2026-09-02 15:25:32,12.33,0.90,-10.18,-85.6,grandpas_village,8.72,clear,16.894,12.707,0.00,9.63,world
19.63,2026-09-02 15:25:32,12.33,0.90,-10.18,-85.6,grandpas_village,8.74,clear,16.894,12.707,0.00,9.63,world
20.13,2026-09-02 15:25:33,12.33,0.90,-10.18,-85.6,grandpas_village,8.76,clear,19.304,7.745,0.00,9.63,world
20.63,2026-09-02 15:25:33,12.33,0.90,-10.18,-85.6,grandpas_village,8.78,clear,19.304,7.745,0.00,9.63,world
21.13,2026-09-02 15:25:34,12.33,0.90,-10.18,-85.6,grandpas_village,8.80,clear,18.123,7.001,0.00,9.63,world
21.63,2026-09-02 15:25:34,12.33,0.90,-10.18,-85.6,grandpas_village,8.82,clear,18.123,7.001,0.00,9.63,world
22.13,2026-09-02 15:25:35,12.33,0.90,-10.18,-85.6,grandpas_village,8.84,clear,15.302,5.974,0.00,9.63,world
22.63,2026-09-02 15:25:35,12.33,0.90,-10.18,-85.6,grandpas_village,8.86,clear,15.302,5.974,0.00,9.63,world
23.13,2026-09-02 15:25:36,12.33,0.90,-10.18,-85.6,grandpas_village,8.88,clear,15.893,5.958,0.00,9.63,world
23.63,2026-09-02 15:25:36,12.33,0.90,-10.18,-85.6,grandpas_village,8.90,clear,15.893,5.958,0.00,9.63,world
