t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.75,2026-09-02 16:17:05,0.00,0.00,0.00,0.0,grandpas_village,0.00,,28.714,11.646,0.00,,title
0.90,2026-09-02 16:17:05,0.00,0.00,0.00,0.0,grandpas_village,0.00,,28.714,11.646,0.00,,title
1.67,2026-09-02 16:17:47,12.33,0.90,-10.18,-85.6,grandpas_village,8.01,clear,16.839,14.213,0.00,9.63,world
2.18,2026-09-02 16:17:48,12.33,0.90,-10.18,-85.6,grandpas_village,8.04,clear,17.221,369.268,0.00,9.63,world
2.68,2026-09-02 16:17:48,12.33,0.90,-10.18,-85.6,grandpas_village,8.06,clear,17.221,369.268,0.00,9.63,world
3.18,2026-09-02 16:17:49,12.33,0.90,-10.18,-85.6,grandpas_village,8.08,clear,16.534,5.070,0.00,9.63,world
3.68,2026-09-02 16:17:49,12.33,0.90,-10.18,-85.6,grandpas_village,8.10,clear,16.534,5.070,0.00,9.63,world
4.18,2026-09-02 16:17:50,12.33,0.90,-10.18,-85.6,grandpas_village,8.12,clear,17.628,42.748,0.00,9.63,world
4.68,2026-09-02 16:17:50,12.33,0.90,-10.18,-85.6,grandpas_village,8.14,clear,17.628,42.748,0.00,9.63,world
5.18,2026-09-02 16:17:51,12.33,0.90,-10.18,-85.6,grandpas_village,8.16,clear,15.623,29.744,0.00,9.63,world
5.68,2026-09-02 16:17:51,12.33,0.90,-10.18,-85.6,grandpas_village,8.18,clear,15.623,29.744,0.00,9.63,world
6.18,2026-09-02 16:17:52,12.33,0.90,-10.18,-85.6,grandpas_village,8.20,clear,17.373,6.097,0.00,9.63,world
6.68,2026-09-02 16:17:52,12.33,0.90,-10.18,-85.6,grandpas_village,8.22,clear,17.373,6.097,0.00,9.63,world
7.18,2026-09-02 16:17:53,12.33,0.90,-10.18,-85.6,grandpas_village,8.24,clear,17.132,4.745,0.00,9.63,world
7.68,2026-09-02 16:17:53,12.33,0.90,-10.18,-85.6,grandpas_village,8.26,clear,17.132,4.745,0.00,9.63,world
8.18,2026-09-02 16:17:54,12.33,0.90,-10.18,-85.6,grandpas_village,8.28,clear,15.794,4.981,0.00,9.63,world
8.68,2026-09-02 16:17:54,12.33,0.90,-10.18,-85.6,grandpas_village,8.30,clear,15.794,4.981,0.00,9.63,world
9.18,2026-09-02 16:17:55,12.33,0.90,-10.18,-85.6,grandpas_village,8.32,clear,15.312,5.083,0.00,9.63,world
9.68,2026-09-02 16:17:55,12.33,0.90,-10.18,-85.6,grandpas_village,8.34,clear,15.312,5.083,0.00,9.63,world
10.18,2026-09-02 16:17:56,12.33,0.90,-10.18,-85.6,grandpas_village,8.36,clear,15.779,35.369,0.00,9.63,world
10.68,2026-09-02 16:17:56,12.33,0.90,-10.18,-85.6,grandpas_village,8.38,clear,15.779,35.369,0.00,9.63,world
