t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.73,2026-09-02 16:36:21,0.00,0.00,0.00,0.0,grandpas_village,0.00,,29.116,11.873,0.00,,title
0.88,2026-09-02 16:36:21,0.00,0.00,0.00,0.0,grandpas_village,0.00,,29.116,11.873,0.00,,title
1.62,2026-09-02 16:37:03,12.33,0.90,-10.18,-85.6,grandpas_village,8.02,clear,14.871,2.015,0.00,9.63,world
2.12,2026-09-02 16:37:03,12.33,0.90,-10.18,-85.6,grandpas_village,8.04,clear,14.871,2.015,0.00,9.63,world
2.62,2026-09-02 16:37:03,12.33,0.90,-10.18,-85.6,grandpas_village,8.06,clear,19.327,369.773,0.00,9.63,world
3.12,2026-09-02 16:37:04,12.33,0.90,-10.18,-85.6,grandpas_village,8.08,clear,19.327,369.773,0.00,9.63,world
3.62,2026-09-02 16:37:04,12.33,0.90,-10.18,-85.6,grandpas_village,8.10,clear,19.774,22.076,0.00,9.63,world
4.13,2026-09-02 16:37:05,12.33,0.90,-10.18,-85.6,grandpas_village,8.12,clear,19.774,22.076,0.00,9.63,world
4.63,2026-09-02 16:37:05,12.33,0.90,-10.18,-85.6,grandpas_village,8.14,clear,19.196,6.684,0.00,9.63,world
5.13,2026-09-02 16:37:06,12.33,0.90,-10.18,-85.6,grandpas_village,8.16,clear,19.196,6.684,0.00,9.63,world
5.63,2026-09-02 16:37:06,12.33,0.90,-10.18,-85.6,grandpas_village,8.18,clear,15.435,5.189,0.00,9.63,world
6.13,2026-09-02 16:37:07,12.33,0.90,-10.18,-85.6,grandpas_village,8.20,clear,15.435,5.189,0.00,9.63,world
6.63,2026-09-02 16:37:07,12.33,0.90,-10.18,-85.6,grandpas_village,8.22,clear,15.271,5.416,0.00,9.63,world
7.13,2026-09-02 16:37:08,12.33,0.90,-10.18,-85.6,grandpas_village,8.24,clear,15.271,5.416,0.00,9.63,world
7.63,2026-09-02 16:37:08,12.33,0.90,-10.18,-85.6,grandpas_village,8.26,clear,15.300,7.375,0.00,9.63,world
8.13,2026-09-02 16:37:09,12.33,0.90,-10.18,-85.6,grandpas_village,8.28,clear,15.300,7.375,0.00,9.63,world
8.63,2026-09-02 16:37:09,12.33,0.90,-10.18,-85.6,grandpas_village,8.30,clear,15.836,5.473,0.00,9.63,world
9.13,2026-09-02 16:37:10,12.33,0.90,-10.18,-85.6,grandpas_village,8.32,clear,15.836,5.473,0.00,9.63,world
9.63,2026-09-02 16:37:10,12.33,0.90,-10.18,-85.6,grandpas_village,8.34,clear,16.725,6.708,0.00,9.63,world
10.13,2026-09-02 16:37:11,12.33,0.90,-10.18,-85.6,grandpas_village,8.36,clear,16.725,6.708,0.00,9.63,world
10.63,2026-09-02 16:37:11,12.33,0.90,-10.18,-85.6,grandpas_village,8.38,clear,15.985,5.519,0.00,9.63,world
11.13,2026-09-02 16:37:12,12.33,0.90,-10.18,-85.6,grandpas_village,8.40,clear,15.985,5.519,0.00,9.63,world
11.63,2026-09-02 16:37:12,12.33,0.90,-10.18,-85.6,grandpas_village,8.42,clear,16.239,6.062,0.00,9.63,world
12.13,2026-09-02 16:37:13,12.33,0.90,-10.18,-85.6,grandpas_village,8.44,clear,16.239,6.062,0.00,9.63,world
12.63,2026-09-02 16:37:13,12.33,0.90,-10.18,-85.6,grandpas_village,8.46,clear,14.771,5.492,0.00,9.63,world
13.13,2026-09-02 16:37:14,12.33,0.90,-10.18,-85.6,grandpas_village,8.48,clear,14.771,5.492,0.00,9.63,world
13.63,2026-09-02 16:37:14,12.33,0.90,-10.18,-85.6,grandpas_village,8.50,clear,19.058,6.129,0.00,9.63,world
14.13,2026-09-02 16:37:15,12.33,0.90,-10.18,-85.6,grandpas_village,8.52,clear,19.058,6.129,0.00,9.63,world
14.63,2026-09-02 16:37:15,12.33,0.90,-10.18,-85.6,grandpas_village,8.54,clear,18.243,11.262,0.00,9.63,world
15.13,2026-09-02 16:37:16,12.33,0.90,-10.18,-85.6,grandpas_village,8.56,clear,18.243,11.262,0.00,9.63,world
15.63,2026-09-02 16:37:17,12.33,0.90,-10.18,-85.6,grandpas_village,8.58,clear,17.643,5.637,0.00,9.63,world
16.13,2026-09-02 16:37:17,12.33,0.90,-10.18,-85.6,grandpas_village,8.60,clear,17.643,5.637,0.00,9.63,world
16.63,2026-09-02 16:37:18,12.33,0.90,-10.18,-85.6,grandpas_village,8.62,clear,18.453,6.145,0.00,9.63,world
17.13,2026-09-02 16:37:18,12.33,0.90,-10.18,-85.6,grandpas_village,8.64,clear,18.453,6.145,0.00,9.63,world
17.63,2026-09-02 16:37:18,12.33,0.90,-10.18,-85.6,grandpas_village,8.66,clear,17.295,5.504,0.00,9.63,world
18.13,2026-09-02 16:37:19,12.33,0.90,-10.18,-85.6,grandpas_village,8.68,clear,17.295,5.504,0.00,9.63,world
18.63,2026-09-02 16:37:19,12.33,0.90,-10.18,-85.6,grandpas_village,8.70,clear,18.057,7.794,0.00,9.63,world
19.13,2026-09-02 16:37:20,12.33,0.90,-10.18,-85.6,grandpas_village,8.72,clear,18.057,7.794,0.00,9.63,world
19.63,2026-09-02 16:37:20,12.33,0.90,-10.18,-85.6,grandpas_village,8.74,clear,15.861,5.753,0.00,9.63,world
20.13,2026-09-02 16:37:21,12.33,0.90,-10.18,-85.6,grandpas_village,8.76,clear,15.861,5.753,0.00,9.63,world
20.63,2026-09-02 16:37:21,12.33,0.90,-10.18,-85.6,grandpas_village,8.78,clear,16.114,6.289,0.00,9.63,world
21.13,2026-09-02 16:37:22,12.33,0.90,-10.18,-85.6,grandpas_village,8.80,clear,16.114,6.289,0.00,9.63,world
21.63,2026-09-02 16:37:22,12.33,0.90,-10.18,-85.6,grandpas_village,8.82,clear,17.076,5.321,0.00,9.63,world
22.13,2026-09-02 16:37:23,12.33,0.90,-10.18,-85.6,grandpas_village,8.84,clear,17.076,5.321,0.00,9.63,world
22.63,2026-09-02 16:37:23,12.33,0.90,-10.18,-85.6,grandpas_village,8.86,clear,16.217,5.072,0.00,9.63,world
23.13,2026-09-02 16:37:24,12.33,0.90,-10.18,-85.6,grandpas_village,8.88,clear,16.217,5.072,0.00,9.63,world
23.63,2026-09-02 16:37:24,12.33,0.90,-10.18,-85.6,grandpas_village,8.90,clear,16.358,4.980,0.00,9.63,world
24.13,2026-09-02 16:37:25,12.33,0.90,-10.18,-85.6,grandpas_village,8.92,clear,16.358,4.980,0.00,9.63,world
24.63,2026-09-02 16:37:26,12.33,0.90,-10.18,-85.6,grandpas_village,8.94,clear,16.721,5.192,0.00,9.63,world
25.13,2026-09-02 16:37:26,12.33,0.90,-10.18,-85.6,grandpas_village,8.96,clear,16.721,5.192,0.00,9.63,world
25.63,2026-09-02 16:37:26,12.33,0.90,-10.18,-85.6,grandpas_village,8.98,clear,17.383,8.115,0.00,9.63,world
26.13,2026-09-02 16:37:27,12.33,0.90,-10.18,-85.6,grandpas_village,9.00,clear,17.383,8.115,0.00,9.63,world
26.63,2026-09-02 16:37:27,12.33,0.90,-10.18,-85.6,grandpas_village,9.02,clear,16.392,25.760,0.00,9.63,world
27.13,2026-09-02 16:37:28,12.33,0.90,-10.18,-85.6,grandpas_village,9.04,clear,16.392,25.760,0.00,9.63,world
