t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
1.13,2026-09-07 04:56:23,0.00,0.00,0.00,0.0,grandpas_village,0.00,,82.617,0.135,0.00,,title
1.82,2026-09-07 04:56:24,0.00,0.00,0.00,0.0,grandpas_village,0.00,,4.282,1.140,0.00,,title
2.32,2026-09-07 04:56:25,0.00,0.00,0.00,0.0,grandpas_village,0.00,,4.752,0.633,0.00,,title
2.82,2026-09-07 04:56:26,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.609,0.629,0.00,,title
3.32,2026-09-07 04:56:27,0.00,0.00,0.00,0.0,grandpas_village,0.00,,7.013,0.640,0.00,,title
3.82,2026-09-07 04:56:28,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.423,0.566,0.00,,title
4.32,2026-09-07 04:56:29,0.00,0.00,0.00,0.0,grandpas_village,0.00,,4.206,0.409,0.00,,title
4.82,2026-09-07 04:56:30,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.581,1.575,0.00,,title
5.32,2026-09-07 04:56:31,0.00,0.00,0.00,0.0,grandpas_village,0.00,,4.004,0.402,0.00,,title
5.82,2026-09-07 04:56:32,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.292,0.493,0.00,,title
6.32,2026-09-07 04:56:33,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.215,0.489,0.00,,title
6.82,2026-09-07 04:56:34,0.00,0.00,0.00,0.0,grandpas_village,0.00,,4.476,0.447,0.00,,title
7.32,2026-09-07 04:56:35,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.782,0.664,0.00,,title
7.82,2026-09-07 04:56:36,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.654,0.466,0.00,,title
8.32,2026-09-07 04:56:37,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.186,0.566,0.00,,title
8.82,2026-09-07 04:56:38,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.840,0.563,0.00,,title
9.32,2026-09-07 04:56:39,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.840,0.563,0.00,,title
9.82,2026-09-07 04:56:40,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.458,0.545,0.00,,title
10.32,2026-09-07 04:56:40,0.00,0.00,0.00,0.0,grandpas_village,0.00,,5.128,0.495,0.00,,title
10.82,2026-09-07 04:56:41,0.00,0.00,0.00,0.0,grandpas_village,0.00,,5.029,0.525,0.00,,title
11.32,2026-09-07 04:56:42,0.00,0.00,0.00,0.0,grandpas_village,0.00,,4.501,0.562,0.00,,title
11.82,2026-09-07 04:56:43,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.708,0.644,0.00,,title
12.32,2026-09-07 04:56:44,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.798,0.505,0.00,,title
12.82,2026-09-07 04:56:45,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.101,0.528,0.00,,title
13.32,2026-09-07 04:56:46,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.101,0.528,0.00,,title
13.82,2026-09-07 04:56:47,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.254,1.296,0.00,,title
14.32,2026-09-07 04:56:47,0.00,0.00,0.00,0.0,grandpas_village,0.00,,4.952,0.549,0.00,,title
14.82,2026-09-07 04:56:48,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.833,0.549,0.00,,title
15.32,2026-09-07 04:56:49,0.00,0.00,0.00,0.0,grandpas_village,0.00,,4.295,0.632,0.00,,title
15.82,2026-09-07 04:56:50,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.144,0.641,0.00,,title
16.32,2026-09-07 04:56:51,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.960,0.543,0.00,,title
16.82,2026-09-07 04:56:52,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.595,1.442,0.00,,title
17.32,2026-09-07 04:56:53,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.595,1.442,0.00,,title
17.82,2026-09-07 04:56:53,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.765,0.536,0.00,,title
