t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
1.13,2026-09-07 05:13:15,0.00,0.00,0.00,0.0,grandpas_village,0.00,,68.417,0.145,0.00,,title
1.82,2026-09-07 05:13:16,0.00,0.00,0.00,0.0,grandpas_village,0.00,,5.889,0.622,0.00,,title
2.32,2026-09-07 05:13:17,0.00,0.00,0.00,0.0,grandpas_village,0.00,,5.323,0.541,0.00,,title
2.82,2026-09-07 05:13:18,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.815,0.529,0.00,,title
3.32,2026-09-07 05:13:19,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.815,0.529,0.00,,title
3.82,2026-09-07 05:13:19,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.941,0.689,0.00,,title
4.32,2026-09-07 05:13:20,0.00,0.00,0.00,0.0,grandpas_village,0.00,,4.883,0.618,0.00,,title
4.82,2026-09-07 05:13:21,0.00,0.00,0.00,0.0,grandpas_village,0.00,,2.992,16.213,0.00,,title
5.32,2026-09-07 05:13:22,0.00,0.00,0.00,0.0,grandpas_village,0.00,,2.883,0.654,0.00,,title
5.82,2026-09-07 05:13:23,0.00,0.00,0.00,0.0,grandpas_village,0.00,,2.883,0.654,0.00,,title
6.32,2026-09-07 05:13:24,0.00,0.00,0.00,0.0,grandpas_village,0.00,,2.973,0.517,0.00,,title
6.82,2026-09-07 05:13:24,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.437,0.527,0.00,,title
7.32,2026-09-07 05:13:25,0.00,0.00,0.00,0.0,grandpas_village,0.00,,5.310,0.455,0.00,,title
7.82,2026-09-07 05:13:26,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.182,0.445,0.00,,title
8.32,2026-09-07 05:13:27,0.00,0.00,0.00,0.0,grandpas_village,0.00,,4.500,0.498,0.00,,title
8.82,2026-09-07 05:13:28,0.00,0.00,0.00,0.0,grandpas_village,0.00,,4.500,0.498,0.00,,title
9.32,2026-09-07 05:13:29,0.00,0.00,0.00,0.0,grandpas_village,0.00,,4.915,0.613,0.00,,title
9.82,2026-09-07 05:13:29,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.466,0.469,0.00,,title
10.32,2026-09-07 05:13:30,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.867,0.604,0.00,,title
10.82,2026-09-07 05:13:31,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.686,0.547,0.00,,title
11.32,2026-09-07 05:13:32,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.686,0.547,0.00,,title
11.82,2026-09-07 05:13:33,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.759,0.539,0.00,,title
12.32,2026-09-07 05:13:33,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.900,0.498,0.00,,title
12.82,2026-09-07 05:13:34,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.458,0.624,0.00,,title
13.32,2026-09-07 05:13:35,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.071,0.485,0.00,,title
13.82,2026-09-07 05:13:36,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.061,10.415,0.00,,title
14.32,2026-09-07 05:13:37,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.061,10.415,0.00,,title
14.82,2026-09-07 05:13:38,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.185,0.828,0.00,,title
15.32,2026-09-07 05:13:38,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.221,0.542,0.00,,title
15.82,2026-09-07 05:13:39,0.00,0.00,0.00,0.0,grandpas_village,0.00,,4.126,0.451,0.00,,title
16.32,2026-09-07 05:13:40,0.00,0.00,0.00,0.0,grandpas_village,0.00,,4.398,0.478,0.00,,title
16.82,2026-09-07 05:13:41,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.072,0.555,0.00,,title
17.32,2026-09-07 05:13:42,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.072,0.555,0.00,,title
17.82,2026-09-07 05:13:42,0.00,0.00,0.00,0.0,grandpas_village,0.00,,2.965,0.606,0.00,,title
18.32,2026-09-07 05:13:43,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.060,0.605,0.00,,title
18.82,2026-09-07 05:13:44,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.010,0.472,0.00,,title
19.32,2026-09-07 05:13:45,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.025,0.475,0.00,,title
19.82,2026-09-07 05:13:46,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.025,0.475,0.00,,title
20.32,2026-09-07 05:13:47,0.00,0.00,0.00,0.0,grandpas_village,0.00,,5.130,0.553,0.00,,title
20.82,2026-09-07 05:13:47,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.000,0.550,0.00,,title
21.32,2026-09-07 05:13:48,0.00,0.00,0.00,0.0,grandpas_village,0.00,,4.488,0.492,0.00,,title
21.82,2026-09-07 05:13:49,0.00,0.00,0.00,0.0,grandpas_village,0.00,,5.248,0.550,0.00,,title
22.32,2026-09-07 05:13:50,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.532,0.409,0.00,,title
22.82,2026-09-07 05:13:51,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.532,0.409,0.00,,title
23.32,2026-09-07 05:13:52,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.091,0.841,0.00,,title
23.82,2026-09-07 05:13:52,0.00,0.00,0.00,0.0,grandpas_village,0.00,,4.465,0.468,0.00,,title
24.32,2026-09-07 05:13:53,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.391,0.630,0.00,,title
24.82,2026-09-07 05:13:54,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.219,0.473,0.00,,title
25.32,2026-09-07 05:13:55,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.219,0.473,0.00,,title
25.82,2026-09-07 05:13:56,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.712,0.611,0.00,,title
26.32,2026-09-07 05:13:56,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.041,0.798,0.00,,title
26.82,2026-09-07 05:13:57,0.00,0.00,0.00,0.0,grandpas_village,0.00,,4.094,0.547,0.00,,title
27.32,2026-09-07 05:13:58,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.444,0.882,0.00,,title
27.82,2026-09-07 05:13:59,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.072,0.729,0.00,,title
28.32,2026-09-07 05:14:00,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.072,0.729,0.00,,title
28.82,2026-09-07 05:14:01,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.098,0.630,0.00,,title
29.32,2026-09-07 05:14:01,0.00,0.00,0.00,0.0,grandpas_village,0.00,,4.358,0.542,0.00,,title
