t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
1.13,2026-09-07 05:18:41,0.00,0.00,0.00,0.0,grandpas_village,0.00,,58.243,0.253,0.00,,title
1.82,2026-09-07 05:18:42,0.00,0.00,0.00,0.0,grandpas_village,0.00,,2.872,0.605,0.00,,title
2.32,2026-09-07 05:18:43,0.00,0.00,0.00,0.0,grandpas_village,0.00,,2.872,0.605,0.00,,title
2.82,2026-09-07 05:18:44,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.765,0.411,0.00,,title
3.32,2026-09-07 05:18:45,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.289,0.485,0.00,,title
3.82,2026-09-07 05:18:45,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.677,0.604,0.00,,title
4.32,2026-09-07 05:18:46,0.00,0.00,0.00,0.0,grandpas_village,0.00,,2.770,0.308,0.00,,title
4.82,2026-09-07 05:18:47,0.00,0.00,0.00,0.0,grandpas_village,0.00,,2.770,0.308,0.00,,title
5.32,2026-09-07 05:18:48,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.140,0.733,0.00,,title
5.82,2026-09-07 05:18:48,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.169,0.356,0.00,,title
6.32,2026-09-07 05:18:49,0.00,0.00,0.00,0.0,grandpas_village,0.00,,4.739,0.303,0.00,,title
6.82,2026-09-07 05:18:50,0.00,0.00,0.00,0.0,grandpas_village,0.00,,2.852,0.623,0.00,,title
7.32,2026-09-07 05:18:51,0.00,0.00,0.00,0.0,grandpas_village,0.00,,2.852,0.623,0.00,,title
7.82,2026-09-07 05:18:52,0.00,0.00,0.00,0.0,grandpas_village,0.00,,2.425,0.415,0.00,,title
8.32,2026-09-07 05:18:52,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.072,0.338,0.00,,title
8.82,2026-09-07 05:18:53,0.00,0.00,0.00,0.0,grandpas_village,0.00,,2.997,0.611,0.00,,title
9.32,2026-09-07 05:18:54,0.00,0.00,0.00,0.0,grandpas_village,0.00,,2.997,0.611,0.00,,title
9.82,2026-09-07 05:18:55,0.00,0.00,0.00,0.0,grandpas_village,0.00,,2.300,0.318,0.00,,title
10.32,2026-09-07 05:18:55,0.00,0.00,0.00,0.0,grandpas_village,0.00,,2.581,0.289,0.00,,title
10.82,2026-09-07 05:18:56,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.443,0.543,0.00,,title
11.32,2026-09-07 05:18:57,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.443,0.543,0.00,,title
11.82,2026-09-07 05:18:58,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.272,0.373,0.00,,title
12.32,2026-09-07 05:18:59,0.00,0.00,0.00,0.0,grandpas_village,0.00,,2.762,0.302,0.00,,title
12.82,2026-09-07 05:18:59,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.201,0.307,0.00,,title
13.32,2026-09-07 05:19:00,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.222,0.705,0.00,,title
13.82,2026-09-07 05:19:01,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.222,0.705,0.00,,title
14.32,2026-09-07 05:19:02,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.232,0.400,0.00,,title
14.82,2026-09-07 05:19:02,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.537,0.311,0.00,,title
15.32,2026-09-07 05:19:03,0.00,0.00,0.00,0.0,grandpas_village,0.00,,2.711,0.345,0.00,,title
15.82,2026-09-07 05:19:04,0.00,0.00,0.00,0.0,grandpas_village,0.00,,2.711,0.345,0.00,,title
16.32,2026-09-07 05:19:05,0.00,0.00,0.00,0.0,grandpas_village,0.00,,6.032,0.407,0.00,,title
16.82,2026-09-07 05:19:05,0.00,0.00,0.00,0.0,grandpas_village,0.00,,2.234,0.310,0.00,,title
17.32,2026-09-07 05:19:06,0.00,0.00,0.00,0.0,grandpas_village,0.00,,2.477,0.410,0.00,,title
17.82,2026-09-07 05:19:07,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.419,0.360,0.00,,title
18.32,2026-09-07 05:19:08,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.419,0.360,0.00,,title
18.82,2026-09-07 05:19:09,0.00,0.00,0.00,0.0,grandpas_village,0.00,,2.560,0.446,0.00,,title
19.32,2026-09-07 05:19:09,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.347,0.338,0.00,,title
19.82,2026-09-07 05:19:10,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.106,0.453,0.00,,title
20.32,2026-09-07 05:19:11,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.106,0.453,0.00,,title
