t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
1.13,2026-09-07 05:24:18,0.00,0.00,0.00,0.0,grandpas_village,0.00,,69.704,0.134,0.00,,title
1.82,2026-09-07 05:24:19,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.122,1.033,0.00,,title
2.32,2026-09-07 05:24:20,0.00,0.00,0.00,0.0,grandpas_village,0.00,,4.472,0.726,0.00,,title
2.82,2026-09-07 05:24:21,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.738,0.472,0.00,,title
3.32,2026-09-07 05:24:21,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.738,0.472,0.00,,title
3.82,2026-09-07 05:24:22,0.00,0.00,0.00,0.0,grandpas_village,0.00,,4.741,0.549,0.00,,title
4.32,2026-09-07 05:24:23,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.354,0.644,0.00,,title
4.82,2026-09-07 05:24:24,0.00,0.00,0.00,0.0,grandpas_village,0.00,,2.597,0.905,0.00,,title
5.32,2026-09-07 05:24:25,0.00,0.00,0.00,0.0,grandpas_village,0.00,,2.597,0.905,0.00,,title
5.82,2026-09-07 05:24:25,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.633,0.457,0.00,,title
6.32,2026-09-07 05:24:26,0.00,0.00,0.00,0.0,grandpas_village,0.00,,2.720,0.404,0.00,,title
6.82,2026-09-07 05:24:27,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.033,0.417,0.00,,title
7.32,2026-09-07 05:24:28,0.00,0.00,0.00,0.0,grandpas_village,0.00,,4.064,0.408,0.00,,title
7.82,2026-09-07 05:24:29,0.00,0.00,0.00,0.0,grandpas_village,0.00,,4.064,0.408,0.00,,title
8.32,2026-09-07 05:24:29,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.326,0.398,0.00,,title
8.82,2026-09-07 05:24:30,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.211,0.392,0.00,,title
9.32,2026-09-07 05:24:31,0.00,0.00,0.00,0.0,grandpas_village,0.00,,2.463,0.305,0.00,,title
9.82,2026-09-07 05:24:32,0.00,0.00,0.00,0.0,grandpas_village,0.00,,2.463,0.305,0.00,,title
10.32,2026-09-07 05:24:32,0.00,0.00,0.00,0.0,grandpas_village,0.00,,2.232,0.395,0.00,,title
10.82,2026-09-07 05:24:33,0.00,0.00,0.00,0.0,grandpas_village,0.00,,2.702,0.525,0.00,,title
11.32,2026-09-07 05:24:34,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.203,0.613,0.00,,title
11.82,2026-09-07 05:24:35,0.00,0.00,0.00,0.0,grandpas_village,0.00,,2.795,0.309,0.00,,title
12.32,2026-09-07 05:24:36,0.00,0.00,0.00,0.0,grandpas_village,0.00,,2.795,0.309,0.00,,title
12.82,2026-09-07 05:24:36,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.189,0.405,0.00,,title
13.32,2026-09-07 05:24:37,0.00,0.00,0.00,0.0,grandpas_village,0.00,,2.709,0.357,0.00,,title
13.82,2026-09-07 05:24:38,0.00,0.00,0.00,0.0,grandpas_village,0.00,,2.422,0.725,0.00,,title
14.32,2026-09-07 05:24:39,0.00,0.00,0.00,0.0,grandpas_village,0.00,,2.422,0.725,0.00,,title
14.82,2026-09-07 05:24:39,0.00,0.00,0.00,0.0,grandpas_village,0.00,,2.707,0.395,0.00,,title
15.32,2026-09-07 05:24:40,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.256,0.380,0.00,,title
15.82,2026-09-07 05:24:41,0.00,0.00,0.00,0.0,grandpas_village,0.00,,2.591,0.403,0.00,,title
16.32,2026-09-07 05:24:42,0.00,0.00,0.00,0.0,grandpas_village,0.00,,2.881,0.412,0.00,,title
16.82,2026-09-07 05:24:43,0.00,0.00,0.00,0.0,grandpas_village,0.00,,2.881,0.412,0.00,,title
17.32,2026-09-07 05:24:43,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.417,0.349,0.00,,title
17.82,2026-09-07 05:24:44,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.025,0.679,0.00,,title
18.32,2026-09-07 05:24:45,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.679,0.318,0.00,,title
18.82,2026-09-07 05:24:46,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.679,0.318,0.00,,title
19.32,2026-09-07 05:24:46,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.123,0.408,0.00,,title
19.82,2026-09-07 05:24:47,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.397,0.402,0.00,,title
20.32,2026-09-07 05:24:48,0.00,0.00,0.00,0.0,grandpas_village,0.00,,2.998,0.338,0.00,,title
20.82,2026-09-07 05:24:49,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.277,0.315,0.00,,title
21.32,2026-09-07 05:24:50,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.277,0.315,0.00,,title
21.82,2026-09-07 05:24:50,0.00,0.00,0.00,0.0,grandpas_village,0.00,,2.583,0.402,0.00,,title
22.32,2026-09-07 05:24:51,0.00,0.00,0.00,0.0,grandpas_village,0.00,,2.893,0.317,0.00,,title
22.82,2026-09-07 05:24:52,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.182,0.625,0.00,,title
23.32,2026-09-07 05:24:53,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.233,0.471,0.00,,title
23.82,2026-09-07 05:24:54,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.233,0.471,0.00,,title
24.32,2026-09-07 05:24:54,0.00,0.00,0.00,0.0,grandpas_village,0.00,,4.267,0.549,0.00,,title
24.82,2026-09-07 05:24:55,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.226,0.421,0.00,,title
25.32,2026-09-07 05:24:56,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.027,0.548,0.00,,title
25.82,2026-09-07 05:24:57,0.00,0.00,0.00,0.0,grandpas_village,0.00,,3.027,0.548,0.00,,title
26.32,2026-09-07 05:24:57,0.00,0.00,0.00,0.0,grandpas_village,0.00,,2.399,0.654,0.00,,title
