t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.75,2026-08-31 00:11:23,0.00,0.00,0.00,0.0,grandpas_village,0.00,,28.318,2.918,0.00,,title
0.90,2026-08-31 00:11:23,0.00,0.00,0.00,0.0,grandpas_village,0.00,,28.318,2.918,0.00,,title
1.60,2026-08-31 00:12:27,8.00,18.55,7508.00,180.0,corridor,8.02,clear,17.916,19.371,0.00,,world
2.10,2026-08-31 00:12:27,8.00,9.12,7508.00,180.0,corridor,8.04,clear,17.916,19.371,0.00,,world
2.60,2026-08-31 00:12:28,8.00,-5.05,7508.00,180.0,corridor,8.06,clear,18.153,4.907,0.00,,world
3.10,2026-08-31 00:12:28,8.00,-3.07,7508.00,180.0,corridor,8.08,clear,18.153,4.907,0.00,,world
3.60,2026-08-31 00:12:29,8.00,-5.05,7508.00,180.0,corridor,8.10,clear,16.685,4.074,0.00,,world
4.10,2026-08-31 00:12:29,8.00,-5.05,7508.00,180.0,corridor,8.12,clear,16.685,4.074,0.00,,world
4.60,2026-08-31 00:12:30,8.00,-5.05,7508.00,180.0,corridor,8.14,clear,16.213,4.191,0.00,,world
5.10,2026-08-31 00:12:30,8.00,-5.05,7508.00,180.0,corridor,8.16,clear,16.213,4.191,0.00,,world
5.60,2026-08-31 00:12:31,8.00,-5.05,7508.00,180.0,corridor,8.18,clear,16.922,5.977,0.00,,world
6.10,2026-08-31 00:12:31,8.00,-5.05,7508.00,180.0,corridor,8.20,clear,16.922,5.977,0.00,,world
6.60,2026-08-31 00:12:32,8.00,-5.05,7508.00,180.0,corridor,8.22,clear,16.761,5.353,0.00,,world
7.10,2026-08-31 00:12:32,8.00,-5.05,7508.00,180.0,corridor,8.24,clear,16.761,5.353,0.00,,world
7.60,2026-08-31 00:12:33,8.00,-5.05,7508.00,180.0,corridor,8.26,clear,16.243,5.670,0.00,,world
8.10,2026-08-31 00:12:33,8.00,-5.05,7508.00,180.0,corridor,8.28,clear,16.243,5.670,0.00,,world
8.60,2026-08-31 00:12:34,8.00,-5.05,7508.00,180.0,corridor,8.30,clear,18.184,5.511,0.00,,world
9.10,2026-08-31 00:12:34,8.00,-5.05,7508.00,180.0,corridor,8.32,clear,18.184,5.511,0.00,,world
9.60,2026-08-31 00:12:35,8.00,-5.05,7508.00,180.0,corridor,8.34,clear,19.051,6.216,0.00,,world
10.10,2026-08-31 00:12:35,8.00,-5.05,7508.00,180.0,corridor,8.36,clear,19.051,6.216,0.00,,world
10.60,2026-08-31 00:12:36,8.00,-5.05,7508.00,180.0,corridor,8.38,clear,17.701,5.770,0.00,,world
11.10,2026-08-31 00:12:36,8.00,-5.05,7508.00,180.0,corridor,8.40,clear,17.701,5.770,0.00,,world
11.60,2026-08-31 00:12:37,8.00,-5.05,7508.00,180.0,corridor,8.42,clear,16.994,5.285,0.00,,world
12.10,2026-08-31 00:12:37,8.00,-5.05,7508.00,180.0,corridor,8.44,clear,16.994,5.285,0.00,,world
12.60,2026-08-31 00:12:38,8.00,-5.05,7508.00,180.0,corridor,8.46,clear,15.983,7.019,0.00,,world
13.10,2026-08-31 00:12:38,8.00,-5.05,7508.00,180.0,corridor,8.48,clear,15.983,7.019,0.00,,world
13.60,2026-08-31 00:12:39,8.00,-5.05,7508.00,180.0,corridor,8.50,clear,16.419,8.717,0.00,,world
14.10,2026-08-31 00:12:39,8.00,-5.05,7508.00,180.0,corridor,8.52,clear,16.419,8.717,0.00,,world
14.60,2026-08-31 00:12:40,8.00,-5.05,7508.00,180.0,corridor,8.54,clear,16.240,5.079,0.00,,world
15.10,2026-08-31 00:12:40,8.00,-5.05,7508.00,180.0,corridor,8.56,clear,16.240,5.079,0.00,,world
15.60,2026-08-31 00:12:41,8.00,-5.05,7508.00,180.0,corridor,8.58,clear,16.532,5.930,0.00,,world
16.10,2026-08-31 00:12:41,8.00,-5.05,7508.00,180.0,corridor,8.60,clear,16.532,5.930,0.00,,world
16.60,2026-08-31 00:12:42,8.00,-5.05,7508.00,180.0,corridor,8.62,clear,16.309,6.536,0.00,,world
17.10,2026-08-31 00:12:42,8.00,-5.05,7508.00,180.0,corridor,8.64,clear,16.309,6.536,0.00,,world
17.60,2026-08-31 00:12:43,8.00,-5.05,7508.00,180.0,corridor,8.66,clear,16.217,5.705,0.00,,world
