t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.75,2026-08-31 01:30:21,0.00,0.00,0.00,0.0,grandpas_village,0.00,,39.401,3.048,0.00,,title
0.90,2026-08-31 01:30:21,0.00,0.00,0.00,0.0,grandpas_village,0.00,,39.401,3.048,0.00,,title
1.62,2026-08-31 01:30:59,8.00,18.38,7508.00,180.0,corridor,8.02,clear,21.306,20.446,0.00,,world
2.12,2026-08-31 01:31:00,8.00,8.66,7508.00,180.0,corridor,8.04,clear,18.449,3.450,0.00,,world
2.62,2026-08-31 01:31:00,8.00,-5.05,7508.00,180.0,corridor,8.06,clear,18.449,3.450,0.00,,world
3.12,2026-08-31 01:31:01,8.00,-3.07,7508.00,180.0,corridor,8.08,clear,17.423,7.856,0.00,,world
3.62,2026-08-31 01:31:01,8.00,-5.05,7508.00,180.0,corridor,8.10,clear,17.423,7.856,0.00,,world
4.13,2026-08-31 01:31:02,8.00,-5.05,7508.00,180.0,corridor,8.12,clear,16.583,4.461,0.00,,world
4.63,2026-08-31 01:31:02,8.00,-5.05,7508.00,180.0,corridor,8.14,clear,16.583,4.461,0.00,,world
5.13,2026-08-31 01:31:03,8.00,-5.05,7508.00,180.0,corridor,8.16,clear,15.899,5.273,0.00,,world
5.63,2026-08-31 01:31:03,8.00,-5.05,7508.00,180.0,corridor,8.18,clear,15.899,5.273,0.00,,world
6.13,2026-08-31 01:31:04,8.00,-5.05,7508.00,180.0,corridor,8.20,clear,15.805,5.159,0.00,,world
6.63,2026-08-31 01:31:04,8.00,-5.05,7508.00,180.0,corridor,8.22,clear,15.805,5.159,0.00,,world
7.13,2026-08-31 01:31:05,8.00,-5.05,7508.00,180.0,corridor,8.24,clear,16.247,5.620,0.00,,world
7.63,2026-08-31 01:31:05,8.00,-5.05,7508.00,180.0,corridor,8.26,clear,16.247,5.620,0.00,,world
8.13,2026-08-31 01:31:06,8.00,-5.05,7508.00,180.0,corridor,8.28,clear,17.179,6.278,0.00,,world
8.63,2026-08-31 01:31:06,8.00,-5.05,7508.00,180.0,corridor,8.30,clear,17.179,6.278,0.00,,world
9.13,2026-08-31 01:31:07,8.00,-5.05,7508.00,180.0,corridor,8.32,clear,18.794,5.376,0.00,,world
9.63,2026-08-31 01:31:07,8.00,-5.05,7508.00,180.0,corridor,8.34,clear,18.794,5.376,0.00,,world
10.13,2026-08-31 01:31:08,8.00,-5.05,7508.00,180.0,corridor,8.36,clear,19.077,5.935,0.00,,world
10.63,2026-08-31 01:31:08,8.00,-5.05,7508.00,180.0,corridor,8.38,clear,19.077,5.935,0.00,,world
11.13,2026-08-31 01:31:09,8.00,-5.05,7508.00,180.0,corridor,8.40,clear,15.922,5.492,0.00,,world
11.63,2026-08-31 01:31:09,8.00,-5.05,7508.00,180.0,corridor,8.42,clear,15.922,5.492,0.00,,world
12.13,2026-08-31 01:31:10,8.00,-5.05,7508.00,180.0,corridor,8.44,clear,16.297,5.833,0.00,,world
12.63,2026-08-31 01:31:10,8.00,-5.05,7508.00,180.0,corridor,8.46,clear,16.297,5.833,0.00,,world
13.13,2026-08-31 01:31:11,8.00,-5.05,7508.00,180.0,corridor,8.48,clear,16.797,5.373,0.00,,world
13.63,2026-08-31 01:31:11,8.00,-5.05,7508.00,180.0,corridor,8.50,clear,16.797,5.373,0.00,,world
