t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.73,2026-08-31 02:24:30,0.00,0.00,0.00,0.0,grandpas_village,0.00,,0.334,3.961,0.00,,title
0.88,2026-08-31 02:24:31,0.00,0.00,0.00,0.0,grandpas_village,0.00,,0.334,3.961,0.00,,title
1.63,2026-08-31 02:25:09,-3.72,-5.36,7352.23,140.7,corridor,8.02,clear,19.959,21.656,0.00,34.85,world
2.13,2026-08-31 02:25:09,-3.72,-5.36,7352.23,140.7,corridor,8.04,clear,19.959,21.656,0.00,34.85,world
2.63,2026-08-31 02:25:09,-3.72,-5.36,7352.23,140.7,corridor,8.06,clear,21.602,404.170,0.00,34.85,world
3.13,2026-08-31 02:25:10,-3.72,-5.36,7352.23,140.7,corridor,8.08,clear,21.602,404.170,0.00,34.85,world
3.63,2026-08-31 02:25:10,-3.72,-5.36,7352.23,140.7,corridor,8.10,clear,19.574,6.549,0.00,34.85,world
4.13,2026-08-31 02:25:11,-3.72,-5.36,7352.23,140.7,corridor,8.12,clear,19.574,6.549,0.00,34.85,world
4.63,2026-08-31 02:25:11,-3.72,-5.36,7352.23,140.7,corridor,8.14,clear,20.903,12.712,0.00,34.85,world
5.13,2026-08-31 02:25:12,-3.72,-5.36,7352.23,140.7,corridor,8.16,clear,20.903,12.712,0.00,34.85,world
5.63,2026-08-31 02:25:12,-3.72,-5.36,7352.23,140.7,corridor,8.18,clear,20.112,7.263,0.00,34.85,world
6.13,2026-08-31 02:25:13,-3.72,-5.36,7352.23,140.7,corridor,8.20,clear,20.112,7.263,0.00,34.85,world
6.63,2026-08-31 02:25:13,-3.72,-5.36,7352.23,140.7,corridor,8.22,clear,20.092,7.297,0.00,34.85,world
7.13,2026-08-31 02:25:14,-3.72,-5.36,7352.23,140.7,corridor,8.24,clear,20.092,7.297,0.00,34.85,world
7.63,2026-08-31 02:25:14,-3.72,-5.36,7352.23,140.7,corridor,8.26,clear,19.715,6.469,0.00,34.85,world
8.13,2026-08-31 02:25:15,-3.72,-5.36,7352.23,140.7,corridor,8.28,clear,19.715,6.469,0.00,34.85,world
8.63,2026-08-31 02:25:15,-3.72,-5.36,7352.23,140.7,corridor,8.30,clear,19.326,7.011,0.00,34.85,world
9.13,2026-08-31 02:25:16,-3.72,-5.36,7352.23,140.7,corridor,8.32,clear,19.326,7.011,0.00,34.85,world
9.63,2026-08-31 02:25:16,-3.72,-5.36,7352.23,140.7,corridor,8.34,clear,18.869,6.524,0.00,34.85,world
10.13,2026-08-31 02:25:17,-3.72,-5.36,7352.23,140.7,corridor,8.36,clear,18.869,6.524,0.00,34.85,world
10.63,2026-08-31 02:25:17,-3.72,-5.36,7352.23,140.7,corridor,8.38,clear,18.586,6.760,0.00,34.85,world
11.13,2026-08-31 02:25:18,-3.72,-5.36,7352.23,140.7,corridor,8.40,clear,18.586,6.760,0.00,34.85,world
11.63,2026-08-31 02:25:18,-3.72,-5.36,7352.23,140.7,corridor,8.42,clear,18.042,6.930,0.00,34.85,world
12.13,2026-08-31 02:25:19,-3.72,-5.36,7352.23,140.7,corridor,8.44,clear,18.042,6.930,0.00,34.85,world
12.63,2026-08-31 02:25:19,-3.72,-5.36,7352.23,140.7,corridor,8.46,clear,19.669,6.575,0.00,34.85,world
13.13,2026-08-31 02:25:20,-3.72,-5.36,7352.23,140.7,corridor,8.48,clear,19.669,6.575,0.00,34.85,world
13.63,2026-08-31 02:25:20,-3.72,-5.36,7352.23,140.7,corridor,8.50,clear,17.941,7.254,0.00,34.85,world
14.13,2026-08-31 02:25:21,-3.72,-5.36,7352.23,140.7,corridor,8.52,clear,17.941,7.254,0.00,34.85,world
14.63,2026-08-31 02:25:21,-3.72,-5.36,7352.23,140.7,corridor,8.54,clear,20.004,6.136,0.00,34.85,world
15.13,2026-08-31 02:25:22,-3.72,-5.36,7352.23,140.7,corridor,8.56,clear,20.004,6.136,0.00,34.85,world
15.63,2026-08-31 02:25:22,-3.72,-5.36,7352.23,140.7,corridor,8.58,clear,18.257,7.578,0.00,34.85,world
16.13,2026-08-31 02:25:23,-3.72,-5.36,7352.23,140.7,corridor,8.60,clear,18.257,7.578,0.00,34.85,world
16.63,2026-08-31 02:25:23,-3.72,-5.36,7352.23,140.7,corridor,8.62,clear,19.364,8.042,0.00,34.85,world
17.13,2026-08-31 02:25:24,-3.72,-5.36,7352.23,140.7,corridor,8.64,clear,19.364,8.042,0.00,34.85,world
17.63,2026-08-31 02:25:24,-3.72,-5.36,7352.23,140.7,corridor,8.66,clear,17.773,5.902,0.00,34.85,world
18.13,2026-08-31 02:25:25,-3.72,-5.36,7352.23,140.7,corridor,8.68,clear,17.773,5.902,0.00,34.85,world
18.63,2026-08-31 02:25:25,-3.72,-5.36,7352.23,140.7,corridor,8.70,clear,18.011,6.119,0.00,34.85,world
19.13,2026-08-31 02:25:26,-3.72,-5.36,7352.23,140.7,corridor,8.72,clear,18.011,6.119,0.00,34.85,world
19.63,2026-08-31 02:25:26,-3.72,-5.36,7352.23,140.7,corridor,8.74,clear,17.665,5.835,0.00,34.85,world
20.13,2026-08-31 02:25:27,-3.72,-5.36,7352.23,140.7,corridor,8.76,clear,17.665,5.835,0.00,34.85,world
20.63,2026-08-31 02:25:27,-3.72,-5.36,7352.23,140.7,corridor,8.78,clear,17.559,7.134,0.00,34.85,world
21.13,2026-08-31 02:25:28,-3.72,-5.36,7352.23,140.7,corridor,8.80,clear,17.559,7.134,0.00,34.85,world
21.63,2026-08-31 02:25:28,-3.72,-5.36,7352.23,140.7,corridor,8.82,clear,18.322,5.714,0.00,34.85,world
22.13,2026-08-31 02:25:29,-3.72,-5.36,7352.23,140.7,corridor,8.84,clear,18.322,5.714,0.00,34.85,world
22.63,2026-08-31 02:25:29,-3.72,-5.36,7352.23,140.7,corridor,8.86,clear,17.510,6.097,0.00,34.85,world
23.13,2026-08-31 02:25:30,-3.72,-5.36,7352.23,140.7,corridor,8.88,clear,17.510,6.097,0.00,34.85,world
23.63,2026-08-31 02:25:30,-3.72,-5.36,7352.23,140.7,corridor,8.90,clear,17.377,6.137,0.00,34.85,world
24.13,2026-08-31 02:25:31,-3.72,-5.36,7352.23,140.7,corridor,8.92,clear,17.377,6.137,0.00,34.85,world
24.63,2026-08-31 02:25:31,-3.72,-5.36,7352.23,140.7,corridor,8.94,clear,18.656,6.660,0.00,34.85,world
25.13,2026-08-31 02:25:32,-3.72,-5.36,7352.23,140.7,corridor,8.96,clear,18.656,6.660,0.00,34.85,world
25.63,2026-08-31 02:25:32,-3.72,-5.36,7352.23,140.7,corridor,8.98,clear,18.449,7.383,0.00,34.85,world
26.13,2026-08-31 02:25:33,-3.72,-5.36,7352.23,140.7,corridor,9.00,clear,18.449,7.383,0.00,34.69,world
26.63,2026-08-31 02:25:33,-3.72,-5.36,7352.23,140.7,corridor,9.02,clear,19.259,6.451,0.00,33.95,world
27.13,2026-08-31 02:25:34,-3.72,-5.36,7352.23,140.7,corridor,9.04,clear,19.259,6.451,0.00,33.22,world
27.63,2026-08-31 02:25:34,-3.72,-5.36,7352.23,140.7,corridor,9.06,clear,18.520,6.591,0.00,33.10,world
28.13,2026-08-31 02:25:35,-3.72,-5.36,7352.23,140.7,corridor,9.08,clear,18.520,6.591,0.00,33.10,world
28.63,2026-08-31 02:25:35,-3.72,-5.36,7352.23,140.7,corridor,9.10,clear,18.333,18.036,0.00,33.10,world
29.13,2026-08-31 02:25:36,-3.72,-5.36,7352.23,140.7,corridor,9.12,clear,18.333,18.036,0.00,33.10,world
29.63,2026-08-31 02:25:36,-3.72,-5.36,7352.23,140.7,corridor,9.14,clear,18.091,6.427,0.00,33.10,world
30.13,2026-08-31 02:25:37,-3.72,-5.36,7352.23,140.7,corridor,9.16,clear,18.091,6.427,0.00,33.10,world
30.63,2026-08-31 02:25:37,-3.72,-5.36,7352.23,140.7,corridor,9.18,clear,20.729,6.818,0.00,33.10,world
31.13,2026-08-31 02:25:38,-3.72,-5.36,7352.23,140.7,corridor,9.20,clear,20.729,6.818,0.00,33.31,world
31.63,2026-08-31 02:25:38,-3.72,-5.36,7352.23,140.7,corridor,9.22,clear,18.164,6.020,0.00,33.75,world
32.13,2026-08-31 02:25:39,-3.72,-5.36,7352.23,140.7,corridor,9.24,clear,18.164,6.020,0.00,34.19,world
32.63,2026-08-31 02:25:39,-3.72,-5.36,7352.23,140.7,corridor,9.26,clear,19.669,7.512,0.00,34.62,world
33.13,2026-08-31 02:25:40,-3.72,-5.36,7352.23,140.7,corridor,9.28,clear,19.669,7.512,0.00,34.85,world
33.63,2026-08-31 02:25:40,-3.72,-5.36,7352.23,140.7,corridor,9.30,clear,18.594,9.248,0.00,34.85,world
34.13,2026-08-31 02:25:41,-3.72,-5.36,7352.23,140.7,corridor,9.32,clear,18.594,9.248,0.00,34.85,world
34.63,2026-08-31 02:25:41,-3.72,-5.36,7352.23,140.7,corridor,9.34,clear,19.624,6.673,0.00,34.85,world
35.13,2026-08-31 02:25:42,-3.72,-5.36,7352.23,140.7,corridor,9.36,clear,19.624,6.673,0.00,34.85,world
35.63,2026-08-31 02:25:42,-3.72,-5.36,7352.23,140.7,corridor,9.38,clear,18.464,6.973,0.00,34.85,world
36.13,2026-08-31 02:25:43,-3.72,-5.36,7352.23,140.7,corridor,9.40,clear,18.464,6.973,0.00,34.85,world
36.63,2026-08-31 02:25:43,-3.72,-5.36,7352.23,140.7,corridor,9.42,clear,18.524,7.058,0.00,34.85,world
37.13,2026-08-31 02:25:44,-3.72,-5.36,7352.23,140.7,corridor,9.44,clear,18.524,7.058,0.00,34.85,world
37.63,2026-08-31 02:25:44,-3.72,-5.36,7352.23,140.7,corridor,9.46,clear,19.590,6.946,0.00,34.85,world
38.13,2026-08-31 02:25:45,-3.72,-5.36,7352.23,140.7,corridor,9.48,clear,19.590,6.946,0.00,34.85,world
38.63,2026-08-31 02:25:45,-3.72,-5.36,7352.23,140.7,corridor,9.50,clear,21.258,7.258,0.00,34.85,world
39.13,2026-08-31 02:25:46,-3.72,-5.36,7352.23,140.7,corridor,9.52,clear,21.258,7.258,0.00,34.85,world
39.63,2026-08-31 02:25:46,-3.72,-5.36,7352.23,140.7,corridor,9.54,clear,17.683,6.154,0.00,34.85,world
40.13,2026-08-31 02:25:47,-3.72,-5.36,7352.23,140.7,corridor,9.56,clear,17.683,6.154,0.00,34.85,world
40.63,2026-08-31 02:25:47,-3.72,-5.36,7352.23,140.7,corridor,9.58,clear,18.505,6.242,0.00,34.85,world
41.13,2026-08-31 02:25:48,-3.72,-5.36,7352.23,140.7,corridor,9.60,clear,18.505,6.242,0.00,34.85,world
41.63,2026-08-31 02:25:48,-3.72,-5.36,7352.23,140.7,corridor,9.62,clear,18.347,6.781,0.00,34.85,world
42.13,2026-08-31 02:25:49,-3.72,-5.36,7352.23,140.7,corridor,9.64,clear,18.347,6.781,0.00,34.85,world
42.63,2026-08-31 02:25:49,-3.72,-5.36,7352.23,140.7,corridor,9.66,clear,18.531,6.070,0.00,34.85,world
43.13,2026-08-31 02:25:50,-3.72,-5.36,7352.23,140.7,corridor,9.68,clear,18.531,6.070,0.00,34.85,world
43.63,2026-08-31 02:25:50,-3.72,-5.36,7352.23,140.7,corridor,9.70,clear,18.929,5.830,0.00,34.85,world
44.13,2026-08-31 02:25:51,-3.72,-5.36,7352.23,140.7,corridor,9.72,clear,18.929,5.830,0.00,34.85,world
44.63,2026-08-31 02:25:51,-3.72,-5.36,7352.23,140.7,corridor,9.74,clear,18.452,6.542,0.00,34.85,world
45.13,2026-08-31 02:25:52,-3.72,-5.36,7352.23,140.7,corridor,9.76,clear,18.452,6.542,0.00,34.85,world
45.63,2026-08-31 02:25:52,-3.72,-5.36,7352.23,140.7,corridor,9.78,clear,18.286,6.092,0.00,34.85,world
46.13,2026-08-31 02:25:53,-3.72,-5.36,7352.23,140.7,corridor,9.80,clear,18.286,6.092,0.00,34.85,world
46.63,2026-08-31 02:25:53,-3.72,-5.36,7352.23,140.7,corridor,9.82,clear,17.815,6.881,0.00,34.85,world
47.13,2026-08-31 02:25:54,-3.72,-5.36,7352.23,140.7,corridor,9.84,clear,17.815,6.881,0.00,34.85,world
47.63,2026-08-31 02:25:54,-3.72,-5.36,7352.23,140.7,corridor,9.86,clear,19.329,7.102,0.00,34.85,world
48.13,2026-08-31 02:25:55,-3.72,-5.36,7352.23,140.7,corridor,9.88,clear,19.329,7.102,0.00,34.85,world
48.63,2026-08-31 02:25:55,-3.72,-5.36,7352.23,140.7,corridor,9.90,clear,21.751,8.749,0.00,34.85,world
49.13,2026-08-31 02:25:56,-3.72,-5.36,7352.23,140.7,corridor,9.92,clear,21.751,8.749,0.00,34.85,world
49.63,2026-08-31 02:25:56,-3.72,-5.36,7352.23,140.7,corridor,9.94,clear,17.891,6.156,0.00,34.85,world
50.13,2026-08-31 02:25:57,-3.72,-5.36,7352.23,140.7,corridor,9.96,clear,17.891,6.156,0.00,34.85,world
