t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.72,2026-08-31 05:07:17,0.00,0.00,0.00,0.0,grandpas_village,0.00,,0.241,3.129,0.00,,title
0.87,2026-08-31 05:07:17,0.00,0.00,0.00,0.0,grandpas_village,0.00,,0.241,3.129,0.00,,title
1.62,2026-08-31 05:13:07,-151.58,-1.91,4210.81,-176.9,the_long_water,8.02,clear,19.277,20.191,0.00,18.62,world
2.12,2026-08-31 05:13:07,-151.58,-1.91,4210.81,-176.9,the_long_water,8.04,clear,19.940,422.322,0.00,18.62,world
2.62,2026-08-31 05:13:08,-151.58,-1.91,4210.81,-176.9,the_long_water,8.06,clear,19.431,6.335,0.00,18.62,world
3.12,2026-08-31 05:13:08,-151.58,-1.91,4210.81,-176.9,the_long_water,8.08,clear,19.431,6.335,0.00,18.62,world
3.62,2026-08-31 05:13:09,-151.58,-1.91,4210.81,-176.9,the_long_water,8.10,clear,21.481,6.182,0.00,18.62,world
4.13,2026-08-31 05:13:09,-151.58,-1.91,4210.81,-176.9,the_long_water,8.12,clear,21.481,6.182,0.00,18.71,world
4.63,2026-08-31 05:13:10,-151.58,-1.91,4210.81,-176.9,the_long_water,8.14,clear,20.180,7.141,0.00,19.38,world
5.13,2026-08-31 05:13:10,-151.58,-1.91,4210.81,-176.9,the_long_water,8.16,clear,20.180,7.141,0.00,19.63,world
5.63,2026-08-31 05:13:11,-151.58,-1.91,4210.81,-176.9,the_long_water,8.18,clear,19.361,8.014,0.00,19.63,world
6.13,2026-08-31 05:13:11,-151.58,-1.91,4210.81,-176.9,the_long_water,8.20,clear,19.361,8.014,0.00,19.63,world
6.63,2026-08-31 05:13:12,-151.58,-1.91,4210.81,-176.9,the_long_water,8.22,clear,20.047,6.765,0.00,19.63,world
7.13,2026-08-31 05:13:12,-151.58,-1.91,4210.81,-176.9,the_long_water,8.24,clear,20.047,6.765,0.00,19.63,world
7.63,2026-08-31 05:13:13,-151.58,-1.91,4210.81,-176.9,the_long_water,8.26,clear,20.375,7.670,0.00,19.63,world
8.13,2026-08-31 05:13:13,-151.58,-1.91,4210.81,-176.9,the_long_water,8.28,clear,20.375,7.670,0.00,19.63,world
8.63,2026-08-31 05:13:14,-151.58,-1.91,4210.81,-176.9,the_long_water,8.30,clear,19.573,7.403,0.00,19.63,world
9.13,2026-08-31 05:13:14,-151.58,-1.91,4210.81,-176.9,the_long_water,8.32,clear,19.573,7.403,0.00,19.74,world
9.63,2026-08-31 05:13:15,-151.58,-1.91,4210.81,-176.9,the_long_water,8.34,clear,20.280,7.480,0.00,19.92,world
10.13,2026-08-31 05:13:15,-151.58,-1.91,4210.81,-176.9,the_long_water,8.36,clear,20.280,7.480,0.00,20.11,world
10.63,2026-08-31 05:13:16,-151.58,-1.91,4210.81,-176.9,the_long_water,8.38,clear,19.383,7.312,0.00,20.32,world
11.13,2026-08-31 05:13:16,-151.58,-1.91,4210.81,-176.9,the_long_water,8.40,clear,19.383,7.312,0.00,20.54,world
11.63,2026-08-31 05:13:17,-151.58,-1.91,4210.81,-176.9,the_long_water,8.42,clear,25.056,9.387,0.00,20.80,world
12.13,2026-08-31 05:13:17,-151.58,-1.91,4210.81,-176.9,the_long_water,8.44,clear,25.056,9.387,0.00,21.06,world
12.63,2026-08-31 05:13:18,-151.58,-1.91,4210.81,-176.9,the_long_water,8.46,clear,19.302,10.179,0.00,21.33,world
13.13,2026-08-31 05:13:18,-151.58,-1.91,4210.81,-176.9,the_long_water,8.48,clear,19.302,10.179,0.00,21.38,world
13.63,2026-08-31 05:13:19,-151.58,-1.91,4210.81,-176.9,the_long_water,8.50,clear,20.170,7.490,0.00,21.38,world
14.13,2026-08-31 05:13:19,-151.58,-1.91,4210.81,-176.9,the_long_water,8.52,clear,20.170,7.490,0.00,21.38,world
14.63,2026-08-31 05:13:20,-151.58,-1.91,4210.81,-176.9,the_long_water,8.54,clear,19.966,8.001,0.00,21.38,world
15.13,2026-08-31 05:13:20,-151.58,-1.91,4210.81,-176.9,the_long_water,8.56,clear,19.966,8.001,0.00,21.38,world
15.63,2026-08-31 05:13:21,-151.58,-1.91,4210.81,-176.9,the_long_water,8.58,clear,19.602,7.436,0.00,21.08,world
16.13,2026-08-31 05:13:21,-151.58,-1.91,4210.81,-176.9,the_long_water,8.60,clear,19.602,7.436,0.00,20.36,world
16.63,2026-08-31 05:13:22,-151.58,-1.91,4210.81,-176.9,the_long_water,8.62,clear,19.845,7.438,0.00,19.69,world
17.13,2026-08-31 05:13:22,-151.58,-1.91,4210.81,-176.9,the_long_water,8.64,clear,19.845,7.438,0.00,19.02,world
17.63,2026-08-31 05:13:23,-151.58,-1.91,4210.81,-176.9,the_long_water,8.66,clear,20.336,7.897,0.00,18.41,world
18.13,2026-08-31 05:13:23,-151.58,-1.91,4210.81,-176.9,the_long_water,8.68,clear,20.336,7.897,0.00,17.87,world
18.63,2026-08-31 05:13:24,-151.58,-1.91,4210.81,-176.9,the_long_water,8.70,clear,19.766,7.910,0.00,17.44,world
19.13,2026-08-31 05:13:24,-151.58,-1.91,4210.81,-176.9,the_long_water,8.72,clear,19.766,7.910,0.00,17.02,world
19.63,2026-08-31 05:13:25,-151.58,-1.91,4210.81,-176.9,the_long_water,8.74,clear,19.890,7.387,0.00,16.60,world
20.13,2026-08-31 05:13:25,-151.58,-1.91,4210.81,-176.9,the_long_water,8.76,clear,19.890,7.387,0.00,16.22,world
20.63,2026-08-31 05:13:26,-151.58,-1.91,4210.81,-176.9,the_long_water,8.78,clear,21.015,8.372,0.00,15.89,world
21.13,2026-08-31 05:13:26,-151.58,-1.91,4210.81,-176.9,the_long_water,8.80,clear,21.015,8.372,0.00,15.89,world
21.63,2026-08-31 05:13:27,-151.58,-1.91,4210.81,-176.9,the_long_water,8.82,clear,23.705,8.224,0.00,15.89,world
22.13,2026-08-31 05:13:27,-151.58,-1.91,4210.81,-176.9,the_long_water,8.84,clear,23.705,8.224,0.00,15.89,world
22.63,2026-08-31 05:13:28,-151.58,-1.91,4210.81,-176.9,the_long_water,8.86,clear,20.282,7.972,0.00,15.89,world
23.13,2026-08-31 05:13:28,-151.58,-1.91,4210.81,-176.9,the_long_water,8.88,clear,20.282,7.972,0.00,15.89,world
23.63,2026-08-31 05:13:29,-151.58,-1.91,4210.81,-176.9,the_long_water,8.90,clear,19.508,7.767,0.00,15.89,world
24.13,2026-08-31 05:13:29,-151.58,-1.91,4210.81,-176.9,the_long_water,8.92,clear,19.508,7.767,0.00,16.15,world
24.63,2026-08-31 05:13:30,-151.58,-1.91,4210.81,-176.9,the_long_water,8.94,clear,19.366,8.610,0.00,16.97,world
25.13,2026-08-31 05:13:30,-151.58,-1.91,4210.81,-176.9,the_long_water,8.96,clear,19.366,8.610,0.00,17.80,world
25.63,2026-08-31 05:13:31,-151.58,-1.91,4210.81,-176.9,the_long_water,8.98,clear,19.325,8.727,0.00,18.38,world
26.13,2026-08-31 05:13:31,-151.58,-1.91,4210.81,-176.9,the_long_water,9.00,clear,19.325,8.727,0.00,18.63,world
26.63,2026-08-31 05:13:32,-151.58,-1.91,4210.81,-176.9,the_long_water,9.02,clear,19.191,7.731,0.00,18.91,world
