t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.73,2026-08-31 06:20:51,0.00,0.00,0.00,0.0,grandpas_village,0.00,,0.234,2.960,0.00,,title
0.88,2026-08-31 06:20:51,0.00,0.00,0.00,0.0,grandpas_village,0.00,,0.234,2.960,0.00,,title
1.60,2026-08-31 06:26:44,1.17,-2.88,1337.71,-171.4,corridor,8.02,clear,18.056,15.633,0.00,26.96,world
2.10,2026-08-31 06:26:44,1.17,-2.88,1337.71,-171.4,corridor,8.04,clear,40.195,420.911,0.00,26.96,world
2.60,2026-08-31 06:26:45,1.17,-2.88,1337.71,-171.4,corridor,8.06,clear,40.195,420.911,0.00,26.96,world
3.10,2026-08-31 06:26:45,1.17,-2.88,1337.71,-171.4,corridor,8.08,clear,18.273,10.047,0.00,26.96,world
3.60,2026-08-31 06:26:46,1.17,-2.88,1337.71,-171.4,corridor,8.10,clear,18.273,10.047,0.00,26.96,world
4.10,2026-08-31 06:26:46,1.17,-2.88,1337.71,-171.4,corridor,8.12,clear,17.186,5.367,0.00,26.96,world
4.60,2026-08-31 06:26:47,1.17,-2.88,1337.71,-171.4,corridor,8.14,clear,17.186,5.367,0.00,26.96,world
5.10,2026-08-31 06:26:47,1.17,-2.88,1337.71,-171.4,corridor,8.16,clear,16.921,4.900,0.00,26.96,world
5.60,2026-08-31 06:26:48,1.17,-2.88,1337.71,-171.4,corridor,8.18,clear,16.921,4.900,0.00,26.96,world
6.10,2026-08-31 06:26:48,1.17,-2.88,1337.71,-171.4,corridor,8.20,clear,16.996,5.037,0.00,26.96,world
6.60,2026-08-31 06:26:49,1.17,-2.88,1337.71,-171.4,corridor,8.22,clear,16.996,5.037,0.00,26.96,world
7.10,2026-08-31 06:26:49,1.17,-2.88,1337.71,-171.4,corridor,8.24,clear,17.870,5.027,0.00,26.96,world
7.60,2026-08-31 06:26:50,1.17,-2.88,1337.71,-171.4,corridor,8.26,clear,17.870,5.027,0.00,26.96,world
8.10,2026-08-31 06:26:50,1.17,-2.88,1337.71,-171.4,corridor,8.28,clear,17.733,5.732,0.00,26.96,world
8.60,2026-08-31 06:26:51,1.17,-2.88,1337.71,-171.4,corridor,8.30,clear,17.733,5.732,0.00,26.96,world
9.10,2026-08-31 06:26:51,1.17,-2.88,1337.71,-171.4,corridor,8.32,clear,17.375,6.557,0.00,26.96,world
9.60,2026-08-31 06:26:52,1.17,-2.88,1337.71,-171.4,corridor,8.34,clear,17.375,6.557,0.00,26.96,world
10.10,2026-08-31 06:26:52,1.17,-2.88,1337.71,-171.4,corridor,8.36,clear,17.844,5.722,0.00,26.96,world
10.60,2026-08-31 06:26:53,1.17,-2.88,1337.71,-171.4,corridor,8.38,clear,17.844,5.722,0.00,26.96,world
11.10,2026-08-31 06:26:53,1.17,-2.88,1337.71,-171.4,corridor,8.40,clear,16.888,5.068,0.00,26.96,world
11.60,2026-08-31 06:26:54,1.17,-2.88,1337.71,-171.4,corridor,8.42,clear,16.888,5.068,0.00,26.96,world
12.10,2026-08-31 06:26:54,1.17,-2.88,1337.71,-171.4,corridor,8.44,clear,17.832,5.194,0.00,26.96,world
12.60,2026-08-31 06:26:55,1.17,-2.88,1337.71,-171.4,corridor,8.46,clear,17.832,5.194,0.00,26.96,world
13.10,2026-08-31 06:26:55,1.17,-2.88,1337.71,-171.4,corridor,8.48,clear,16.749,5.143,0.00,26.96,world
13.60,2026-08-31 06:26:56,1.17,-2.88,1337.71,-171.4,corridor,8.50,clear,16.749,5.143,0.00,26.96,world
14.10,2026-08-31 06:26:56,1.17,-2.88,1337.71,-171.4,corridor,8.52,clear,16.657,5.164,0.00,26.96,world
14.60,2026-08-31 06:26:57,1.17,-2.88,1337.71,-171.4,corridor,8.54,clear,16.657,5.164,0.00,26.96,world
15.10,2026-08-31 06:26:57,1.17,-2.88,1337.71,-171.4,corridor,8.56,clear,16.663,5.512,0.00,26.96,world
15.60,2026-08-31 06:26:58,1.17,-2.88,1337.71,-171.4,corridor,8.58,clear,16.663,5.512,0.00,26.96,world
16.10,2026-08-31 06:26:58,1.17,-2.88,1337.71,-171.4,corridor,8.60,clear,16.849,5.658,0.00,26.96,world
16.60,2026-08-31 06:26:59,1.17,-2.88,1337.71,-171.4,corridor,8.62,clear,16.849,5.658,0.00,26.96,world
