t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.73,2026-08-31 07:48:52,0.00,0.00,0.00,0.0,grandpas_village,0.00,,0.303,3.136,0.00,,title
0.88,2026-08-31 07:48:52,0.00,0.00,0.00,0.0,grandpas_village,0.00,,0.303,3.136,0.00,,title
1.63,2026-08-31 07:54:49,1.17,-2.88,1337.71,-171.4,corridor,8.02,clear,347251.379,4194.130,0.00,26.96,world
2.13,2026-08-31 07:54:49,1.17,-2.88,1337.71,-171.4,corridor,8.04,clear,40.819,435.876,0.00,26.96,world
2.63,2026-08-31 07:54:50,1.17,-2.88,1337.71,-171.4,corridor,8.06,clear,41.757,29.916,0.00,26.96,world
3.13,2026-08-31 07:54:50,1.17,-2.88,1337.71,-171.4,corridor,8.08,clear,41.757,29.916,0.00,26.96,world
3.63,2026-08-31 07:54:51,1.17,-2.88,1337.71,-171.4,corridor,8.10,clear,21.077,5.880,0.00,26.96,world
4.13,2026-08-31 07:54:51,1.17,-2.88,1337.71,-171.4,corridor,8.12,clear,21.077,5.880,0.00,26.96,world
4.63,2026-08-31 07:54:52,1.17,-2.88,1337.71,-171.4,corridor,8.14,clear,18.725,6.630,0.00,26.96,world
5.13,2026-08-31 07:54:52,1.17,-2.88,1337.71,-171.4,corridor,8.16,clear,18.725,6.630,0.00,26.96,world
5.63,2026-08-31 07:54:53,1.17,-2.88,1337.71,-171.4,corridor,8.18,clear,18.192,5.400,0.00,26.96,world
6.13,2026-08-31 07:54:53,1.17,-2.88,1337.71,-171.4,corridor,8.20,clear,18.192,5.400,0.00,26.96,world
6.63,2026-08-31 07:54:54,1.17,-2.88,1337.71,-171.4,corridor,8.22,clear,17.921,5.362,0.00,26.96,world
7.13,2026-08-31 07:54:54,1.17,-2.88,1337.71,-171.4,corridor,8.24,clear,17.921,5.362,0.00,26.96,world
7.63,2026-08-31 07:54:55,1.17,-2.88,1337.71,-171.4,corridor,8.26,clear,18.724,5.014,0.00,26.96,world
8.13,2026-08-31 07:54:55,1.17,-2.88,1337.71,-171.4,corridor,8.28,clear,18.724,5.014,0.00,26.96,world
8.63,2026-08-31 07:54:56,1.17,-2.88,1337.71,-171.4,corridor,8.30,clear,22.204,5.887,0.00,26.96,world
9.13,2026-08-31 07:54:56,1.17,-2.88,1337.71,-171.4,corridor,8.32,clear,22.204,5.887,0.00,26.96,world
9.63,2026-08-31 07:54:57,1.17,-2.88,1337.71,-171.4,corridor,8.34,clear,17.119,5.619,0.00,26.96,world
10.13,2026-08-31 07:54:57,1.17,-2.88,1337.71,-171.4,corridor,8.36,clear,17.119,5.619,0.00,26.96,world
10.63,2026-08-31 07:54:58,1.17,-2.88,1337.71,-171.4,corridor,8.38,clear,21.282,5.717,0.00,26.96,world
11.13,2026-08-31 07:54:58,1.17,-2.88,1337.71,-171.4,corridor,8.40,clear,21.282,5.717,0.00,26.96,world
11.63,2026-08-31 07:54:59,1.17,-2.88,1337.71,-171.4,corridor,8.42,clear,17.462,6.153,0.00,26.96,world
12.13,2026-08-31 07:54:59,1.17,-2.88,1337.71,-171.4,corridor,8.44,clear,17.462,6.153,0.00,26.96,world
12.63,2026-08-31 07:55:00,1.17,-2.88,1337.71,-171.4,corridor,8.46,clear,18.854,5.722,0.00,26.96,world
13.13,2026-08-31 07:55:00,1.17,-2.88,1337.71,-171.4,corridor,8.48,clear,18.854,5.722,0.00,26.96,world
13.63,2026-08-31 07:55:01,1.17,-2.88,1337.71,-171.4,corridor,8.50,clear,17.239,5.054,0.00,26.96,world
14.13,2026-08-31 07:55:01,1.17,-2.88,1337.71,-171.4,corridor,8.52,clear,17.239,5.054,0.00,26.96,world
14.63,2026-08-31 07:55:02,1.17,-2.88,1337.71,-171.4,corridor,8.54,clear,20.974,5.713,0.00,26.96,world
15.13,2026-08-31 07:55:02,1.17,-2.88,1337.71,-171.4,corridor,8.56,clear,20.974,5.713,0.00,26.96,world
15.63,2026-08-31 07:55:03,1.17,-2.88,1337.71,-171.4,corridor,8.58,clear,49.665,6.340,0.00,26.96,world
16.13,2026-08-31 07:55:03,1.17,-2.88,1337.71,-171.4,corridor,8.60,clear,49.665,6.340,0.00,26.96,world
16.63,2026-08-31 07:55:04,1.17,-2.88,1337.71,-171.4,corridor,8.62,clear,18.460,11.710,0.00,26.96,world
17.13,2026-08-31 07:55:04,1.17,-2.88,1337.71,-171.4,corridor,8.64,clear,18.460,11.710,0.00,26.96,world
17.63,2026-08-31 07:55:05,1.17,-2.88,1337.71,-171.4,corridor,8.66,clear,17.799,5.075,0.00,26.96,world
18.13,2026-08-31 07:55:05,1.17,-2.88,1337.71,-171.4,corridor,8.68,clear,17.799,5.075,0.00,26.96,world
18.63,2026-08-31 07:55:06,1.17,-2.88,1337.71,-171.4,corridor,8.70,clear,20.415,5.923,0.00,26.96,world
19.13,2026-08-31 07:55:06,1.17,-2.88,1337.71,-171.4,corridor,8.72,clear,20.415,5.923,0.00,26.96,world
19.63,2026-08-31 07:55:07,1.17,-2.88,1337.71,-171.4,corridor,8.74,clear,17.353,5.944,0.00,26.96,world
20.13,2026-08-31 07:55:07,1.17,-2.88,1337.71,-171.4,corridor,8.76,clear,17.353,5.944,0.00,26.96,world
20.63,2026-08-31 07:55:08,1.17,-2.88,1337.71,-171.4,corridor,8.78,clear,18.895,6.004,0.00,26.96,world
21.13,2026-08-31 07:55:08,1.17,-2.88,1337.71,-171.4,corridor,8.80,clear,18.895,6.004,0.00,26.96,world
21.63,2026-08-31 07:55:09,1.17,-2.88,1337.71,-171.4,corridor,8.82,clear,22.418,4.950,0.00,26.96,world
22.13,2026-08-31 07:55:09,1.17,-2.88,1337.71,-171.4,corridor,8.84,clear,22.418,4.950,0.00,26.96,world
22.63,2026-08-31 07:55:10,1.17,-2.88,1337.71,-171.4,corridor,8.86,clear,18.920,6.186,0.00,26.96,world
23.13,2026-08-31 07:55:10,1.17,-2.88,1337.71,-171.4,corridor,8.88,clear,18.920,6.186,0.00,26.96,world
23.63,2026-08-31 07:55:11,1.17,-2.88,1337.71,-171.4,corridor,8.90,clear,24.801,13.693,0.00,26.96,world
24.13,2026-08-31 07:55:11,1.17,-2.88,1337.71,-171.4,corridor,8.92,clear,24.801,13.693,0.00,26.96,world
24.63,2026-08-31 07:55:12,1.17,-2.88,1337.71,-171.4,corridor,8.94,clear,22.864,6.523,0.00,26.96,world
25.13,2026-08-31 07:55:12,1.17,-2.88,1337.71,-171.4,corridor,8.96,clear,22.864,6.523,0.00,26.96,world
25.63,2026-08-31 07:55:13,1.17,-2.88,1337.71,-171.4,corridor,8.98,clear,19.241,5.484,0.00,26.96,world
26.13,2026-08-31 07:55:13,1.17,-2.88,1337.71,-171.4,corridor,9.00,clear,19.241,5.484,0.00,26.96,world
26.63,2026-08-31 07:55:14,1.17,-2.88,1337.71,-171.4,corridor,9.02,clear,22.297,6.416,0.00,26.96,world
27.13,2026-08-31 07:55:14,1.17,-2.88,1337.71,-171.4,corridor,9.04,clear,22.297,6.416,0.00,26.96,world
