t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.75,2026-08-31 01:53:37,0.00,0.00,0.00,0.0,grandpas_village,0.00,,23.778,4.128,0.00,,title
0.90,2026-08-31 01:53:37,0.00,0.00,0.00,0.0,grandpas_village,0.00,,23.778,4.128,0.00,,title
1.60,2026-08-31 01:54:13,-180.00,23.55,2730.00,30.0,corridor,8.02,clear,28307.220,3525.222,0.00,,world
2.10,2026-08-31 01:54:13,-180.00,14.12,2730.00,30.0,corridor,8.04,clear,28307.220,3525.222,0.00,,world
2.60,2026-08-31 01:54:14,-180.00,-2.91,2730.00,30.0,corridor,8.06,clear,17.998,2.911,0.00,,world
3.10,2026-08-31 01:54:14,-180.00,-2.91,2730.00,30.0,corridor,8.08,clear,17.998,2.911,0.00,,world
3.60,2026-08-31 01:54:15,-180.00,-2.91,2730.00,30.0,corridor,8.10,clear,18.963,4.292,0.00,,world
4.10,2026-08-31 01:54:15,-180.00,-2.91,2730.00,30.0,corridor,8.12,clear,18.963,4.292,0.00,,world
4.60,2026-08-31 01:54:16,-180.00,-2.91,2730.00,30.0,corridor,8.14,clear,18.498,4.281,0.00,,world
5.10,2026-08-31 01:54:16,-180.00,-2.91,2730.00,30.0,corridor,8.16,clear,18.498,4.281,0.00,,world
5.60,2026-08-31 01:54:17,-180.00,-2.91,2730.00,30.0,corridor,8.18,clear,15.667,9.342,0.00,,world
6.10,2026-08-31 01:54:17,-180.00,-2.91,2730.00,30.0,corridor,8.20,clear,15.667,9.342,0.00,,world
6.60,2026-08-31 01:54:18,-180.00,-2.91,2730.00,30.0,corridor,8.22,clear,15.445,3.608,0.00,,world
7.10,2026-08-31 01:54:18,-180.00,-2.91,2730.00,30.0,corridor,8.24,clear,15.445,3.608,0.00,,world
7.60,2026-08-31 01:54:19,-180.00,-2.91,2730.00,30.0,corridor,8.26,clear,15.495,3.423,0.00,,world
8.10,2026-08-31 01:54:19,-180.00,-2.91,2730.00,30.0,corridor,8.28,clear,15.495,3.423,0.00,,world
8.60,2026-08-31 01:54:20,-180.00,-2.91,2730.00,30.0,corridor,8.30,clear,16.116,3.520,0.00,,world
9.10,2026-08-31 01:54:20,-180.00,-2.91,2730.00,30.0,corridor,8.32,clear,16.116,3.520,0.00,,world
9.60,2026-08-31 01:54:21,-180.00,-2.91,2730.00,30.0,corridor,8.34,clear,14.970,3.207,0.00,,world
10.10,2026-08-31 01:54:21,-180.00,-2.91,2730.00,30.0,corridor,8.36,clear,14.970,3.207,0.00,,world
10.60,2026-08-31 01:54:22,-180.00,-2.91,2730.00,30.0,corridor,8.38,clear,15.685,3.938,0.00,,world
11.10,2026-08-31 01:54:22,-180.00,-2.91,2730.00,30.0,corridor,8.40,clear,15.685,3.938,0.00,,world
11.60,2026-08-31 01:54:23,-180.00,-2.91,2730.00,30.0,corridor,8.42,clear,16.383,4.186,0.00,,world
12.10,2026-08-31 01:54:23,-180.00,-2.91,2730.00,30.0,corridor,8.44,clear,16.383,4.186,0.00,,world
12.60,2026-08-31 01:54:24,-180.00,-2.91,2730.00,30.0,corridor,8.46,clear,16.657,4.889,0.00,,world
13.10,2026-08-31 01:54:24,-180.00,-2.91,2730.00,30.0,corridor,8.48,clear,16.657,4.889,0.00,,world
13.60,2026-08-31 01:54:25,-180.00,-2.91,2730.00,30.0,corridor,8.50,clear,15.975,3.939,0.00,,world
14.10,2026-08-31 01:54:25,-180.00,-2.91,2730.00,30.0,corridor,8.52,clear,15.975,3.939,0.00,,world
14.60,2026-08-31 01:54:26,-180.00,-2.91,2730.00,30.0,corridor,8.54,clear,16.936,3.735,0.00,,world
15.10,2026-08-31 01:54:26,-180.00,-2.91,2730.00,30.0,corridor,8.56,clear,16.936,3.735,0.00,,world
15.60,2026-08-31 01:54:27,-180.00,-2.91,2730.00,30.0,corridor,8.58,clear,15.785,3.871,0.00,,world
16.10,2026-08-31 01:54:27,-180.00,-2.91,2730.00,30.0,corridor,8.60,clear,15.785,3.871,0.00,,world
16.60,2026-08-31 01:54:28,-180.00,-2.91,2730.00,30.0,corridor,8.62,clear,15.311,4.652,0.00,,world
17.10,2026-08-31 01:54:28,-180.00,-2.91,2730.00,30.0,corridor,8.64,clear,15.311,4.652,0.00,,world
17.60,2026-08-31 01:54:29,-180.00,-2.91,2730.00,30.0,corridor,8.66,clear,16.059,3.797,0.00,,world
18.10,2026-08-31 01:54:29,-180.00,-2.91,2730.00,30.0,corridor,8.68,clear,16.059,3.797,0.00,,world
18.60,2026-08-31 01:54:30,-180.00,-2.91,2730.00,30.0,corridor,8.70,clear,15.836,4.499,0.00,,world
19.10,2026-08-31 01:54:30,-180.00,-2.91,2730.00,30.0,corridor,8.72,clear,15.836,4.499,0.00,,world
19.60,2026-08-31 01:54:31,-180.00,-2.91,2730.00,30.0,corridor,8.74,clear,15.491,3.775,0.00,,world
20.10,2026-08-31 01:54:31,-180.00,-2.91,2730.00,30.0,corridor,8.76,clear,15.491,3.775,0.00,,world
20.60,2026-08-31 01:54:32,-180.00,-2.91,2730.00,30.0,corridor,8.78,clear,17.360,4.681,0.00,,world
21.10,2026-08-31 01:54:32,-180.00,-2.91,2730.00,30.0,corridor,8.80,clear,17.360,4.681,0.00,,world
21.60,2026-08-31 01:54:33,-180.00,-2.91,2730.00,30.0,corridor,8.82,clear,18.787,3.956,0.00,,world
22.10,2026-08-31 01:54:33,-180.00,-2.91,2730.00,30.0,corridor,8.84,clear,18.787,3.956,0.00,,world
