t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.73,2026-08-31 00:16:08,0.00,0.00,0.00,0.0,grandpas_village,0.00,,0.296,4.836,0.00,,title
0.88,2026-08-31 00:16:08,0.00,0.00,0.00,0.0,grandpas_village,0.00,,0.296,4.836,0.00,,title
1.73,2026-08-31 00:17:00,8.00,-5.05,7508.00,0.0,corridor,8.02,clear,22.874,30.989,0.00,18.42,world
2.23,2026-08-31 00:17:00,8.00,-5.05,7508.00,0.0,corridor,8.04,clear,22.612,518.950,0.00,18.42,world
2.73,2026-08-31 00:17:01,8.00,-5.05,7508.00,0.0,corridor,8.06,clear,22.612,518.950,0.00,18.42,world
3.23,2026-08-31 00:17:01,8.00,-5.05,7508.00,0.0,corridor,8.08,clear,21.657,9.070,0.00,18.71,world
3.73,2026-08-31 00:17:02,8.00,-5.05,7508.00,0.0,corridor,8.10,clear,21.657,9.070,0.00,19.36,world
4.23,2026-08-31 00:17:02,8.00,-5.05,7508.00,0.0,corridor,8.12,clear,28.041,11.282,0.00,18.88,world
4.73,2026-08-31 00:17:03,8.00,-5.05,7508.00,0.0,corridor,8.14,clear,28.041,11.282,0.00,18.21,world
5.23,2026-08-31 00:17:03,8.00,-5.05,7508.00,0.0,corridor,8.16,clear,23.616,13.319,0.00,17.58,world
5.73,2026-08-31 00:17:04,8.00,-5.05,7508.00,0.0,corridor,8.18,clear,23.616,13.319,0.00,16.97,world
6.23,2026-08-31 00:17:04,8.00,-5.05,7508.00,0.0,corridor,8.20,clear,22.724,11.177,0.00,16.37,world
6.73,2026-08-31 00:17:05,8.00,-5.05,7508.00,0.0,corridor,8.22,clear,22.724,11.177,0.00,15.78,world
7.23,2026-08-31 00:17:05,8.00,-5.05,7508.00,0.0,corridor,8.24,clear,21.940,11.437,0.00,15.27,world
7.73,2026-08-31 00:17:06,8.00,-5.05,7508.00,0.0,corridor,8.26,clear,21.940,11.437,0.00,15.27,world
8.25,2026-08-31 00:17:06,8.00,-5.05,7508.00,0.0,corridor,8.28,clear,23.065,11.287,0.00,15.27,world
8.75,2026-08-31 00:17:07,8.00,-5.05,7508.00,0.0,corridor,8.30,clear,23.065,11.287,0.00,15.27,world
9.25,2026-08-31 00:17:07,8.00,-5.05,7508.00,0.0,corridor,8.32,clear,24.183,10.857,0.00,15.27,world
9.75,2026-08-31 00:17:08,8.00,-5.05,7508.00,0.0,corridor,8.34,clear,24.183,10.857,0.00,15.27,world
10.25,2026-08-31 00:17:08,8.00,-5.05,7508.00,0.0,corridor,8.36,clear,23.638,10.755,0.00,15.27,world
10.75,2026-08-31 00:17:09,8.00,-5.05,7508.00,0.0,corridor,8.38,clear,23.638,10.755,0.00,15.27,world
11.25,2026-08-31 00:17:09,8.00,-5.05,7508.00,0.0,corridor,8.40,clear,22.739,12.938,0.00,15.87,world
11.75,2026-08-31 00:17:10,8.00,-5.05,7508.00,0.0,corridor,8.42,clear,22.739,12.938,0.00,16.55,world
12.25,2026-08-31 00:17:10,8.00,-5.05,7508.00,0.0,corridor,8.45,clear,25.404,10.873,0.00,17.23,world
12.75,2026-08-31 00:17:11,8.00,-5.05,7508.00,0.0,corridor,8.46,clear,25.404,10.873,0.00,17.91,world
13.25,2026-08-31 00:17:11,8.00,-5.05,7508.00,0.0,corridor,8.48,clear,23.508,11.954,0.00,18.56,world
13.75,2026-08-31 00:17:12,8.00,-5.05,7508.00,0.0,corridor,8.50,clear,23.508,11.954,0.00,18.20,world
14.25,2026-08-31 00:17:12,8.00,-5.05,7508.00,0.0,corridor,8.52,clear,23.560,12.160,0.00,18.20,world
14.75,2026-08-31 00:17:13,8.00,-5.05,7508.00,0.0,corridor,8.54,clear,23.560,12.160,0.00,18.20,world
15.25,2026-08-31 00:17:13,8.00,-5.05,7508.00,0.0,corridor,8.56,clear,25.341,14.950,0.00,18.20,world
15.75,2026-08-31 00:17:14,8.00,-5.05,7508.00,0.0,corridor,8.59,clear,25.341,14.950,0.00,18.20,world
16.25,2026-08-31 00:17:14,8.00,-5.05,7508.00,0.0,corridor,8.60,clear,22.312,11.790,0.00,18.20,world
16.75,2026-08-31 00:17:15,8.00,-5.05,7508.00,0.0,corridor,8.62,clear,22.312,11.790,0.00,18.23,world
17.25,2026-08-31 00:17:15,8.00,-5.05,7508.00,0.0,corridor,8.64,clear,23.660,12.103,0.00,18.46,world
17.75,2026-08-31 00:17:16,8.00,-5.05,7508.00,0.0,corridor,8.66,clear,23.660,12.103,0.00,18.73,world
18.25,2026-08-31 00:17:16,8.00,-5.05,7508.00,0.0,corridor,8.68,clear,23.679,12.035,0.00,19.04,world
18.75,2026-08-31 00:17:17,8.00,-5.05,7508.00,0.0,corridor,8.70,clear,23.679,12.035,0.00,19.38,world
19.25,2026-08-31 00:17:17,8.00,-5.05,7508.00,0.0,corridor,8.72,clear,23.695,11.221,0.00,19.75,world
19.75,2026-08-31 00:17:18,8.00,-5.05,7508.00,0.0,corridor,8.74,clear,23.695,11.221,0.00,20.16,world
