t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.75,2026-08-31 00:39:24,0.00,0.00,0.00,0.0,grandpas_village,0.00,,0.327,5.427,0.00,,title
0.90,2026-08-31 00:39:24,0.00,0.00,0.00,0.0,grandpas_village,0.00,,48.773,1.043,0.00,,title
1.77,2026-08-31 00:40:15,8.00,-4.80,7507.93,0.0,corridor,8.02,clear,23.565,31.239,0.00,18.40,world
2.27,2026-08-31 00:40:15,8.00,-4.80,7507.93,0.0,corridor,8.04,clear,22.382,594.285,0.00,18.40,world
2.77,2026-08-31 00:40:15,8.00,-4.80,7507.93,0.0,corridor,8.06,clear,21.283,8.076,0.00,18.40,world
3.27,2026-08-31 00:40:16,8.00,-4.80,7507.93,0.0,corridor,8.08,clear,21.283,8.076,0.00,18.40,world
3.77,2026-08-31 00:40:16,8.00,-4.80,7507.93,0.0,corridor,8.10,clear,23.039,9.275,0.00,18.82,world
4.27,2026-08-31 00:40:17,8.00,-4.80,7507.93,0.0,corridor,8.12,clear,23.039,9.275,0.00,18.12,world
4.77,2026-08-31 00:40:17,8.00,-4.80,7507.93,0.0,corridor,8.14,clear,21.738,11.679,0.00,17.47,world
5.27,2026-08-31 00:40:18,8.00,-4.80,7507.93,0.0,corridor,8.16,clear,21.738,11.679,0.00,16.85,world
5.77,2026-08-31 00:40:18,8.00,-4.80,7507.93,0.0,corridor,8.18,clear,23.275,11.208,0.00,16.83,world
6.27,2026-08-31 00:40:19,8.00,-4.80,7507.93,0.0,corridor,8.20,clear,23.275,11.208,0.00,16.83,world
6.77,2026-08-31 00:40:19,8.00,-4.80,7507.93,0.0,corridor,8.22,clear,22.121,13.573,0.00,16.83,world
7.27,2026-08-31 00:40:20,8.00,-4.80,7507.93,0.0,corridor,8.24,clear,22.121,13.573,0.00,16.83,world
7.77,2026-08-31 00:40:20,8.00,-4.80,7507.93,0.0,corridor,8.26,clear,28.401,14.072,0.00,17.05,world
8.27,2026-08-31 00:40:21,8.00,-4.80,7507.93,0.0,corridor,8.28,clear,28.401,14.072,0.00,16.53,world
