t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.73,2026-08-31 03:24:51,0.00,0.00,0.00,0.0,grandpas_village,0.00,,0.310,5.601,0.00,,title
0.88,2026-08-31 03:24:51,0.00,0.00,0.00,0.0,grandpas_village,0.00,,0.310,5.601,0.00,,title
1.70,2026-08-31 03:25:38,4.54,6.17,7625.18,-73.5,corridor,8.02,clear,24.056,32.380,0.00,6.66,world
2.20,2026-08-31 03:25:38,4.54,6.17,7625.18,-73.5,corridor,8.04,clear,23.509,552.162,0.00,6.66,world
2.70,2026-08-31 03:25:39,4.54,6.17,7625.18,-73.5,corridor,8.06,clear,23.509,552.162,0.00,6.66,world
3.20,2026-08-31 03:25:39,4.54,6.17,7625.18,-73.5,corridor,8.08,clear,21.410,8.312,0.00,6.66,world
3.70,2026-08-31 03:25:40,4.54,6.17,7625.18,-73.5,corridor,8.10,clear,23.989,8.725,0.00,6.66,world
4.20,2026-08-31 03:25:40,4.54,6.17,7625.18,-73.5,corridor,8.12,clear,23.989,8.725,0.00,6.66,world
4.70,2026-08-31 03:25:41,4.54,6.17,7625.18,-73.5,corridor,8.14,clear,23.989,8.725,0.00,6.66,world
5.20,2026-08-31 03:25:41,4.54,6.17,7625.18,-73.5,corridor,8.16,clear,30.688,8.707,0.00,6.66,world
5.70,2026-08-31 03:25:42,4.54,6.17,7625.18,-73.5,corridor,8.18,clear,30.688,8.707,0.00,6.66,world
6.20,2026-08-31 03:25:42,4.54,6.17,7625.18,-73.5,corridor,8.20,clear,30.154,10.045,0.00,6.66,world
6.70,2026-08-31 03:25:43,4.54,6.17,7625.18,-73.5,corridor,8.22,clear,30.154,10.045,0.00,6.66,world
7.20,2026-08-31 03:25:43,4.54,6.17,7625.18,-73.5,corridor,8.24,clear,23.378,7.975,0.00,6.66,world
7.70,2026-08-31 03:25:44,4.54,6.17,7625.18,-73.5,corridor,8.26,clear,23.942,9.490,0.00,6.66,world
8.20,2026-08-31 03:25:44,4.54,6.17,7625.18,-73.5,corridor,8.28,clear,23.942,9.490,0.00,6.66,world
8.70,2026-08-31 03:25:45,4.54,6.17,7625.18,-73.5,corridor,8.30,clear,23.942,9.490,0.00,6.66,world
