t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.75,2026-08-31 03:35:21,0.00,0.00,0.00,0.0,grandpas_village,0.00,,0.335,5.850,0.00,,title
0.90,2026-08-31 03:35:21,0.00,0.00,0.00,0.0,grandpas_village,0.00,,0.335,5.850,0.00,,title
1.70,2026-08-31 03:36:07,4.54,6.17,7625.18,-73.5,corridor,8.02,clear,21.907,28.433,0.00,6.66,world
2.20,2026-08-31 03:36:08,4.54,6.17,7625.18,-73.5,corridor,8.04,clear,20.705,504.465,0.00,6.66,world
2.70,2026-08-31 03:36:08,4.54,6.17,7625.18,-73.5,corridor,8.06,clear,19.794,7.055,0.00,6.66,world
3.20,2026-08-31 03:36:09,4.54,6.17,7625.18,-73.5,corridor,8.08,clear,19.794,7.055,0.00,6.66,world
3.70,2026-08-31 03:36:09,4.54,6.17,7625.18,-73.5,corridor,8.10,clear,20.403,7.654,0.00,6.66,world
4.20,2026-08-31 03:36:10,4.54,6.17,7625.18,-73.5,corridor,8.12,clear,20.403,7.654,0.00,6.66,world
4.70,2026-08-31 03:36:10,4.54,6.17,7625.18,-73.5,corridor,8.14,clear,20.870,6.256,0.00,6.66,world
5.20,2026-08-31 03:36:11,4.54,6.17,7625.18,-73.5,corridor,8.16,clear,20.870,6.256,0.00,6.66,world
5.70,2026-08-31 03:36:11,4.54,6.17,7625.18,-73.5,corridor,8.18,clear,20.978,7.335,0.00,6.66,world
6.20,2026-08-31 03:36:12,4.54,6.17,7625.18,-73.5,corridor,8.20,clear,20.978,7.335,0.00,6.66,world
6.70,2026-08-31 03:36:12,4.54,6.17,7625.18,-73.5,corridor,8.22,clear,20.824,7.037,0.00,6.66,world
7.20,2026-08-31 03:36:13,4.54,6.17,7625.18,-73.5,corridor,8.24,clear,20.824,7.037,0.00,6.66,world
7.70,2026-08-31 03:36:13,4.54,6.17,7625.18,-73.5,corridor,8.26,clear,20.312,6.537,0.00,6.66,world
8.20,2026-08-31 03:36:14,4.54,6.17,7625.18,-73.5,corridor,8.28,clear,20.312,6.537,0.00,6.66,world
8.70,2026-08-31 03:36:14,4.54,6.17,7625.18,-73.5,corridor,8.30,clear,21.451,6.588,0.00,6.66,world
9.20,2026-08-31 03:36:15,4.54,6.17,7625.18,-73.5,corridor,8.32,clear,21.451,6.588,0.00,6.66,world
9.70,2026-08-31 03:36:15,4.54,6.17,7625.18,-73.5,corridor,8.34,clear,20.557,7.117,0.00,6.66,world
10.20,2026-08-31 03:36:16,4.54,6.17,7625.18,-73.5,corridor,8.36,clear,20.557,7.117,0.00,6.66,world
10.70,2026-08-31 03:36:16,4.54,6.17,7625.18,-73.5,corridor,8.38,clear,20.984,6.393,0.00,6.66,world
11.20,2026-08-31 03:36:17,4.54,6.17,7625.18,-73.5,corridor,8.40,clear,20.984,6.393,0.00,6.66,world
11.70,2026-08-31 03:36:17,4.54,6.17,7625.18,-73.5,corridor,8.42,clear,21.595,7.076,0.00,6.66,world
12.20,2026-08-31 03:36:18,4.54,6.17,7625.18,-73.5,corridor,8.44,clear,21.595,7.076,0.00,6.66,world
12.70,2026-08-31 03:36:18,4.54,6.17,7625.18,-73.5,corridor,8.46,clear,22.837,8.002,0.00,6.66,world
13.20,2026-08-31 03:36:19,4.54,6.17,7625.18,-73.5,corridor,8.48,clear,22.837,8.002,0.00,6.66,world
13.70,2026-08-31 03:36:19,4.54,6.17,7625.18,-73.5,corridor,8.50,clear,22.373,8.163,0.00,6.66,world
14.20,2026-08-31 03:36:20,4.54,6.17,7625.18,-73.5,corridor,8.52,clear,22.373,8.163,0.00,6.66,world
14.70,2026-08-31 03:36:20,4.54,6.17,7625.18,-73.5,corridor,8.54,clear,22.050,8.457,0.00,6.66,world
15.20,2026-08-31 03:36:21,4.54,6.17,7625.18,-73.5,corridor,8.56,clear,22.050,8.457,0.00,6.66,world
15.70,2026-08-31 03:36:21,4.54,6.17,7625.18,-73.5,corridor,8.58,clear,21.009,6.439,0.00,6.66,world
16.20,2026-08-31 03:36:22,4.54,6.17,7625.18,-73.5,corridor,8.60,clear,21.009,6.439,0.00,6.66,world
16.70,2026-08-31 03:36:22,4.54,6.17,7625.18,-73.5,corridor,8.62,clear,20.256,6.045,0.00,6.66,world
17.20,2026-08-31 03:36:23,4.54,6.17,7625.18,-73.5,corridor,8.64,clear,20.256,6.045,0.00,6.66,world
17.70,2026-08-31 03:36:23,4.54,6.17,7625.18,-73.5,corridor,8.66,clear,19.738,5.966,0.00,6.66,world
18.20,2026-08-31 03:36:24,4.54,6.17,7625.18,-73.5,corridor,8.68,clear,19.738,5.966,0.00,6.66,world
18.70,2026-08-31 03:36:24,4.54,6.17,7625.18,-73.5,corridor,8.70,clear,20.877,8.135,0.00,6.66,world
19.20,2026-08-31 03:36:25,4.54,6.17,7625.18,-73.5,corridor,8.72,clear,20.877,8.135,0.00,6.66,world
19.70,2026-08-31 03:36:25,4.54,6.17,7625.18,-73.5,corridor,8.74,clear,20.966,6.507,0.00,6.66,world
20.20,2026-08-31 03:36:26,4.54,6.17,7625.18,-73.5,corridor,8.76,clear,20.966,6.507,0.00,6.66,world
20.70,2026-08-31 03:36:26,4.54,6.17,7625.18,-73.5,corridor,8.78,clear,21.012,7.295,0.00,6.66,world
21.20,2026-08-31 03:36:27,4.54,6.17,7625.18,-73.5,corridor,8.80,clear,21.012,7.295,0.00,6.66,world
21.70,2026-08-31 03:36:27,4.54,6.17,7625.18,-73.5,corridor,8.82,clear,23.892,7.661,0.00,6.66,world
22.20,2026-08-31 03:36:28,4.54,6.17,7625.18,-73.5,corridor,8.84,clear,23.892,7.661,0.00,6.66,world
22.70,2026-08-31 03:36:28,4.54,6.17,7625.18,-73.5,corridor,8.86,clear,22.476,13.306,0.00,6.66,world
23.20,2026-08-31 03:36:29,4.54,6.17,7625.18,-73.5,corridor,8.88,clear,22.476,13.306,0.00,6.66,world
23.70,2026-08-31 03:36:29,4.54,6.17,7625.18,-73.5,corridor,8.90,clear,30.576,9.987,0.00,6.66,world
24.20,2026-08-31 03:36:30,4.54,6.17,7625.18,-73.5,corridor,8.92,clear,30.576,9.987,0.00,6.66,world
24.70,2026-08-31 03:36:30,4.54,6.17,7625.18,-73.5,corridor,8.94,clear,23.697,12.467,0.00,6.66,world
25.20,2026-08-31 03:36:31,4.54,6.17,7625.18,-73.5,corridor,8.96,clear,23.697,12.467,0.00,6.66,world
25.70,2026-08-31 03:36:31,4.54,6.17,7625.18,-73.5,corridor,8.98,clear,22.882,8.451,0.00,6.66,world
26.20,2026-08-31 03:36:32,4.54,6.17,7625.18,-73.5,corridor,9.00,clear,22.882,8.451,0.00,6.66,world
26.70,2026-08-31 03:36:32,4.54,6.17,7625.18,-73.5,corridor,9.02,clear,21.646,6.706,0.00,6.66,world
27.20,2026-08-31 03:36:33,4.54,6.17,7625.18,-73.5,corridor,9.04,clear,21.646,6.706,0.00,6.66,world
27.70,2026-08-31 03:36:33,4.54,6.17,7625.18,-73.5,corridor,9.06,clear,23.151,8.268,0.00,6.66,world
28.20,2026-08-31 03:36:34,4.54,6.17,7625.18,-73.5,corridor,9.08,clear,23.151,8.268,0.00,6.66,world
28.70,2026-08-31 03:36:34,4.54,6.17,7625.18,-73.5,corridor,9.10,clear,20.076,7.028,0.00,6.66,world
29.20,2026-08-31 03:36:35,4.54,6.17,7625.18,-73.5,corridor,9.12,clear,20.076,7.028,0.00,6.66,world
29.70,2026-08-31 03:36:35,4.54,6.17,7625.18,-73.5,corridor,9.14,clear,22.236,7.652,0.00,6.66,world
