t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.73,2026-08-29 20:59:49,0.00,0.00,0.00,0.0,grandpas_village,0.00,,0.282,2.866,0.00,,title
0.88,2026-08-29 20:59:49,0.00,0.00,0.00,0.0,grandpas_village,0.00,,0.282,2.866,0.00,,title
1.57,2026-08-29 21:00:25,11.82,-2.90,1319.54,-0.4,corridor,8.02,clear,7.991,15.380,0.00,5.96,world
2.07,2026-08-29 21:00:25,11.82,-2.90,1319.54,-0.4,corridor,8.04,clear,5.139,358.960,0.00,5.96,world
2.57,2026-08-29 21:00:25,11.82,-2.90,1319.54,-0.4,corridor,8.06,clear,5.901,5.591,0.00,5.96,world
3.07,2026-08-29 21:00:26,11.82,-2.90,1319.54,-0.4,corridor,8.08,clear,5.901,5.591,0.00,5.96,world
3.57,2026-08-29 21:00:26,11.82,-2.90,1319.54,-0.4,corridor,8.10,clear,4.871,5.887,0.00,5.96,world
4.07,2026-08-29 21:00:27,11.82,-2.90,1319.54,-0.4,corridor,8.12,clear,4.871,5.887,0.00,5.96,world
4.57,2026-08-29 21:00:27,11.82,-2.90,1319.54,-0.4,corridor,8.14,clear,4.890,6.429,0.00,5.96,world
5.07,2026-08-29 21:00:28,11.82,-2.90,1319.54,-0.4,corridor,8.16,clear,4.890,6.429,0.00,5.96,world
5.57,2026-08-29 21:00:28,11.82,-2.90,1319.54,-0.4,corridor,8.18,clear,5.002,6.974,0.00,5.96,world
6.07,2026-08-29 21:00:29,11.82,-2.90,1319.54,-0.4,corridor,8.20,clear,5.002,6.974,0.00,5.96,world
6.57,2026-08-29 21:00:29,11.82,-2.90,1319.54,-0.4,corridor,8.22,clear,5.234,7.833,0.00,5.96,world
7.07,2026-08-29 21:00:30,11.82,-2.90,1319.54,-0.4,corridor,8.24,clear,5.234,7.833,0.00,5.96,world
7.57,2026-08-29 21:00:30,11.82,-2.90,1319.54,-0.4,corridor,8.26,clear,5.525,8.033,0.00,5.96,world
8.07,2026-08-29 21:00:31,11.82,-2.90,1319.54,-0.4,corridor,8.28,clear,5.525,8.033,0.00,5.96,world
8.57,2026-08-29 21:00:31,11.82,-2.90,1319.54,-0.4,corridor,8.30,clear,5.362,7.563,0.00,5.96,world
9.07,2026-08-29 21:00:32,11.82,-2.90,1319.54,-0.4,corridor,8.32,clear,5.362,7.563,0.00,5.96,world
9.57,2026-08-29 21:00:32,11.82,-2.90,1319.54,-0.4,corridor,8.34,clear,4.870,6.983,0.00,5.96,world
10.07,2026-08-29 21:00:33,11.82,-2.90,1319.54,-0.4,corridor,8.36,clear,4.870,6.983,0.00,5.96,world
10.57,2026-08-29 21:00:33,11.82,-2.90,1319.54,-0.4,corridor,8.38,clear,5.752,6.918,0.00,5.96,world
11.07,2026-08-29 21:00:34,11.82,-2.90,1319.54,-0.4,corridor,8.40,clear,5.752,6.918,0.00,5.96,world
11.57,2026-08-29 21:00:34,11.82,-2.90,1319.54,-0.4,corridor,8.42,clear,6.154,7.491,0.00,5.96,world
12.07,2026-08-29 21:00:35,11.82,-2.90,1319.54,-0.4,corridor,8.44,clear,6.154,7.491,0.00,5.96,world
