t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.72,2026-08-30 11:21:53,0.00,0.00,0.00,0.0,grandpas_village,0.00,,0.302,3.620,0.00,,title
0.87,2026-08-30 11:21:53,0.00,0.00,0.00,0.0,grandpas_village,0.00,,0.302,3.620,0.00,,title
1.48,2026-08-30 11:29:59,-25.40,4.93,-15.60,0.0,grandpas_village,8.02,clear,23.123,16.673,0.00,,locked
1.98,2026-08-30 11:29:59,-25.40,4.93,-15.60,0.0,grandpas_village,8.04,clear,23.123,16.673,0.00,,locked
2.48,2026-08-30 11:30:00,-25.40,4.93,-15.60,0.0,grandpas_village,8.06,clear,24.281,4.691,0.00,,locked
2.98,2026-08-30 11:30:00,-25.40,4.93,-15.60,0.0,grandpas_village,8.08,clear,24.281,4.691,0.00,,world
3.48,2026-08-30 11:30:01,-25.40,4.93,-15.60,0.0,grandpas_village,8.10,clear,22.617,3.769,0.00,,world
3.98,2026-08-30 11:30:01,-25.40,4.93,-15.60,0.0,grandpas_village,8.12,clear,22.617,3.769,0.00,,world
4.48,2026-08-30 11:30:02,-25.40,4.93,-15.60,0.0,grandpas_village,8.14,clear,20.154,4.809,0.00,,world
4.98,2026-08-30 11:30:02,-25.40,4.93,-15.60,0.0,grandpas_village,8.16,clear,20.154,4.809,0.00,,world
5.48,2026-08-30 11:30:03,-25.40,4.93,-15.60,0.0,grandpas_village,8.18,clear,20.513,3.577,0.00,,world
5.98,2026-08-30 11:30:03,-25.40,4.93,-15.60,0.0,grandpas_village,8.20,clear,20.513,3.577,0.00,,world
6.48,2026-08-30 11:30:04,-25.40,4.93,-15.60,0.0,grandpas_village,8.22,clear,20.892,3.876,0.00,,world
6.98,2026-08-30 11:30:04,-25.40,4.93,-15.60,0.0,grandpas_village,8.24,clear,20.892,3.876,0.00,,world
7.48,2026-08-30 11:30:05,-25.40,4.93,-15.60,0.0,grandpas_village,8.26,clear,21.092,5.060,0.00,,world
7.98,2026-08-30 11:30:05,-25.40,4.93,-15.60,0.0,grandpas_village,8.28,clear,21.092,5.060,0.00,,world
8.50,2026-08-30 11:30:06,-25.40,4.93,-15.60,0.0,grandpas_village,8.30,clear,20.872,5.033,0.00,,world
9.00,2026-08-30 11:30:06,-25.40,4.93,-15.60,0.0,grandpas_village,8.32,clear,20.872,5.033,0.00,,world
9.50,2026-08-30 11:30:07,-25.40,4.93,-15.60,0.0,grandpas_village,8.34,clear,22.448,4.822,0.00,,world
10.00,2026-08-30 11:30:07,-25.40,4.93,-15.60,0.0,grandpas_village,8.36,clear,22.448,4.822,0.00,,world
10.50,2026-08-30 11:30:08,-25.40,4.93,-15.60,0.0,grandpas_village,8.38,clear,24.194,4.968,0.00,,world
11.00,2026-08-30 11:30:08,-25.40,4.93,-15.60,0.0,grandpas_village,8.40,clear,24.194,4.968,0.00,,world
11.50,2026-08-30 11:30:09,-25.40,4.93,-15.60,0.0,grandpas_village,8.42,clear,22.612,4.540,0.00,,world
12.00,2026-08-30 11:30:09,-25.40,4.93,-15.60,0.0,grandpas_village,8.44,clear,22.612,4.540,0.00,,world
12.50,2026-08-30 11:30:10,-25.40,4.93,-15.60,0.0,grandpas_village,8.46,clear,22.319,3.873,0.00,,world
13.00,2026-08-30 11:30:10,-25.40,4.93,-15.60,0.0,grandpas_village,8.48,clear,22.319,3.873,0.00,,world
