t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.75,2026-08-30 11:33:49,0.00,0.00,0.00,0.0,grandpas_village,0.00,,0.336,6.704,0.00,,title
0.90,2026-08-30 11:33:49,0.00,0.00,0.00,0.0,grandpas_village,0.00,,0.336,6.704,0.00,,title
1.52,2026-08-30 11:41:10,-25.40,4.93,-15.60,0.0,grandpas_village,8.02,clear,23.080,16.680,0.00,,locked
2.02,2026-08-30 11:41:11,-25.40,4.93,-15.60,0.0,grandpas_village,8.04,clear,23.020,3.643,0.00,,locked
2.52,2026-08-30 11:41:11,-25.40,4.93,-15.60,0.0,grandpas_village,8.06,clear,23.020,3.643,0.00,,locked
3.02,2026-08-30 11:41:12,-25.40,4.93,-15.60,0.0,grandpas_village,8.08,clear,22.080,4.082,0.00,,locked
3.52,2026-08-30 11:41:12,-25.40,4.93,-15.60,0.0,grandpas_village,8.10,clear,22.080,4.082,0.00,,world
4.02,2026-08-30 11:41:13,-25.40,4.93,-15.60,0.0,grandpas_village,8.12,clear,21.387,3.361,0.00,,world
4.52,2026-08-30 11:41:13,-25.40,4.93,-15.60,0.0,grandpas_village,8.14,clear,21.387,3.361,0.00,,world
5.02,2026-08-30 11:41:14,-25.40,4.93,-15.60,0.0,grandpas_village,8.16,clear,25.679,4.415,0.00,,world
5.52,2026-08-30 11:41:14,-25.40,4.93,-15.60,0.0,grandpas_village,8.18,clear,25.679,4.415,0.00,,world
6.02,2026-08-30 11:41:15,-25.40,4.93,-15.60,0.0,grandpas_village,8.20,clear,30.005,6.031,0.00,,world
6.52,2026-08-30 11:41:15,-25.40,4.93,-15.60,0.0,grandpas_village,8.22,clear,30.005,6.031,0.00,,world
7.02,2026-08-30 11:41:16,-25.40,4.93,-15.60,0.0,grandpas_village,8.24,clear,23.517,3.991,0.00,,world
7.52,2026-08-30 11:41:16,-25.40,4.93,-15.60,0.0,grandpas_village,8.26,clear,23.517,3.991,0.00,,world
8.02,2026-08-30 11:41:17,-25.40,4.93,-15.60,0.0,grandpas_village,8.28,clear,21.798,4.702,0.00,,world
8.52,2026-08-30 11:41:17,-25.40,4.93,-15.60,0.0,grandpas_village,8.30,clear,21.798,4.702,0.00,,world
9.02,2026-08-30 11:41:18,-25.40,4.93,-15.60,0.0,grandpas_village,8.32,clear,31.304,5.249,0.00,,world
9.52,2026-08-30 11:41:18,-25.40,4.93,-15.60,0.0,grandpas_village,8.34,clear,31.304,5.249,0.00,,world
10.02,2026-08-30 11:41:19,-25.40,4.93,-15.60,0.0,grandpas_village,8.36,clear,22.222,3.934,0.00,,world
10.52,2026-08-30 11:41:19,-25.40,4.93,-15.60,0.0,grandpas_village,8.38,clear,22.222,3.934,0.00,,world
11.02,2026-08-30 11:41:20,-25.40,4.93,-15.60,0.0,grandpas_village,8.40,clear,21.170,3.862,0.00,,world
