t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.77,2026-08-30 01:28:34,0.00,0.00,0.00,0.0,grandpas_village,0.00,,0.289,12.625,0.00,,title
0.92,2026-08-30 01:28:34,0.00,0.00,0.00,0.0,grandpas_village,0.00,,0.289,12.625,0.00,,title
1.62,2026-08-30 01:29:13,11.06,0.90,-7.90,-153.1,grandpas_village,8.02,clear,8.914,16.104,0.00,12.06,world
2.12,2026-08-30 01:29:13,11.06,0.90,-7.90,-153.1,grandpas_village,8.04,clear,9.661,458.598,0.00,12.06,world
2.62,2026-08-30 01:29:14,11.06,0.90,-7.90,-153.1,grandpas_village,8.06,clear,6.411,7.271,0.00,12.06,world
3.12,2026-08-30 01:29:14,11.06,0.90,-7.90,-153.1,grandpas_village,8.08,clear,6.411,7.271,0.00,12.06,world
3.62,2026-08-30 01:29:15,11.06,0.90,-7.90,-153.1,grandpas_village,8.10,clear,6.103,7.667,0.00,12.06,world
4.13,2026-08-30 01:29:15,11.06,0.90,-7.90,-153.1,grandpas_village,8.12,clear,6.103,7.667,0.00,12.06,world
4.63,2026-08-30 01:29:16,11.06,0.90,-7.90,-153.1,grandpas_village,8.14,clear,6.869,7.770,0.00,12.06,world
5.13,2026-08-30 01:29:16,11.06,0.90,-7.90,-153.1,grandpas_village,8.16,clear,6.869,7.770,0.00,12.06,world
5.63,2026-08-30 01:29:17,11.06,0.90,-7.90,-153.1,grandpas_village,8.18,clear,6.210,8.382,0.00,12.06,world
6.13,2026-08-30 01:29:17,11.06,0.90,-7.90,-153.1,grandpas_village,8.20,clear,6.210,8.382,0.00,12.06,world
6.63,2026-08-30 01:29:18,11.06,0.90,-7.90,-153.1,grandpas_village,8.22,clear,6.701,9.340,0.00,12.06,world
7.13,2026-08-30 01:29:18,11.06,0.90,-7.90,-153.1,grandpas_village,8.24,clear,6.701,9.340,0.00,12.06,world
7.63,2026-08-30 01:29:19,11.06,0.90,-7.90,-153.1,grandpas_village,8.26,clear,6.793,8.992,0.00,12.06,world
8.13,2026-08-30 01:29:19,11.06,0.90,-7.90,-153.1,grandpas_village,8.28,clear,6.793,8.992,0.00,12.06,world
