t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.73,2026-08-30 05:51:31,0.00,0.00,0.00,0.0,grandpas_village,0.00,,0.248,4.632,0.00,,title
0.88,2026-08-30 05:51:31,0.00,0.00,0.00,0.0,grandpas_village,0.00,,0.248,4.632,0.00,,title
1.38,2026-08-30 05:52:04,-25.40,4.93,-15.60,0.0,grandpas_village,8.02,clear,5.924,13.042,0.00,,locked
1.88,2026-08-30 05:52:04,-25.40,4.93,-15.60,0.0,grandpas_village,8.04,clear,5.441,2.404,0.00,,locked
2.38,2026-08-30 05:52:05,-25.40,4.93,-15.60,0.0,grandpas_village,8.06,clear,5.441,2.404,0.00,,locked
2.88,2026-08-30 05:52:05,-25.40,4.93,-15.60,0.0,grandpas_village,8.08,clear,3.824,2.085,0.00,,locked
3.38,2026-08-30 05:52:06,-25.40,4.93,-15.60,0.0,grandpas_village,8.10,clear,3.824,2.085,0.00,,world
3.88,2026-08-30 05:52:06,-25.40,4.93,-15.60,0.0,grandpas_village,8.12,clear,3.920,2.160,0.00,,world
4.38,2026-08-30 05:52:07,-25.40,4.93,-15.60,0.0,grandpas_village,8.14,clear,3.920,2.160,0.00,,world
4.88,2026-08-30 05:52:07,-25.40,4.93,-15.60,0.0,grandpas_village,8.16,clear,4.626,3.928,0.00,,world
5.38,2026-08-30 05:52:08,-25.40,4.93,-15.60,0.0,grandpas_village,8.18,clear,4.626,3.928,0.00,,world
5.88,2026-08-30 05:52:08,-25.40,4.93,-15.60,0.0,grandpas_village,8.20,clear,4.108,2.891,0.00,,world
6.38,2026-08-30 05:52:09,-25.40,4.93,-15.60,0.0,grandpas_village,8.22,clear,4.108,2.891,0.00,,world
6.88,2026-08-30 05:52:09,-25.40,4.93,-15.60,0.0,grandpas_village,8.24,clear,3.931,2.746,0.00,,world
7.38,2026-08-30 05:52:10,-25.40,4.93,-15.60,0.0,grandpas_village,8.26,clear,3.931,2.746,0.00,,world
7.88,2026-08-30 05:52:10,-25.40,4.93,-15.60,0.0,grandpas_village,8.28,clear,3.882,3.046,0.00,,world
8.38,2026-08-30 05:52:11,-25.40,4.93,-15.60,0.0,grandpas_village,8.30,clear,3.882,3.046,0.00,,world
8.88,2026-08-30 05:52:11,-25.40,4.93,-15.60,0.0,grandpas_village,8.32,clear,3.993,2.657,0.00,,world
9.38,2026-08-30 05:52:12,-25.40,4.93,-15.60,0.0,grandpas_village,8.34,clear,3.993,2.657,0.00,,world
9.88,2026-08-30 05:52:12,-25.40,4.93,-15.60,0.0,grandpas_village,8.36,clear,4.023,2.889,0.00,,world
10.38,2026-08-30 05:52:13,-25.40,4.93,-15.60,0.0,grandpas_village,8.38,clear,4.023,2.889,0.00,,world
10.88,2026-08-30 05:52:13,-25.40,4.93,-15.60,0.0,grandpas_village,8.40,clear,4.164,2.701,0.00,,world
11.38,2026-08-30 05:52:14,-25.40,4.93,-15.60,0.0,grandpas_village,8.42,clear,4.164,2.701,0.00,,world
11.88,2026-08-30 05:52:14,-25.40,4.93,-15.60,0.0,grandpas_village,8.44,clear,4.145,3.327,0.00,,world
12.38,2026-08-30 05:52:15,-25.40,4.93,-15.60,0.0,grandpas_village,8.46,clear,4.145,3.327,0.00,,world
12.88,2026-08-30 05:52:15,-25.40,4.93,-15.60,0.0,grandpas_village,8.48,clear,3.904,2.498,0.00,,world
13.38,2026-08-30 05:52:16,-25.40,4.93,-15.60,0.0,grandpas_village,8.50,clear,3.904,2.498,0.00,,world
13.88,2026-08-30 05:52:16,-25.40,4.93,-15.60,0.0,grandpas_village,8.52,clear,4.066,2.569,0.00,,world
14.38,2026-08-30 05:52:17,-25.40,4.93,-15.60,0.0,grandpas_village,8.54,clear,4.066,2.569,0.00,,world
