t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.75,2026-08-30 14:19:35,0.00,0.00,0.00,0.0,grandpas_village,0.00,,22.816,2.501,0.00,,title
0.90,2026-08-30 14:19:35,0.00,0.00,0.00,0.0,grandpas_village,0.00,,22.816,2.501,0.00,,title
1.43,2026-08-30 14:25:02,-25.40,4.93,-15.60,0.0,grandpas_village,8.02,clear,15.289,11.618,0.00,,locked
1.93,2026-08-30 14:25:02,-25.40,4.93,-15.60,0.0,grandpas_village,8.04,clear,14.335,1.980,0.00,,locked
2.45,2026-08-30 14:25:03,-25.40,4.93,-15.60,0.0,grandpas_village,8.06,clear,14.335,1.980,0.00,,locked
2.95,2026-08-30 14:25:03,-25.40,4.93,-15.60,0.0,grandpas_village,8.08,clear,14.995,1.939,0.00,,locked
3.45,2026-08-30 14:25:04,-25.40,4.93,-15.60,0.0,grandpas_village,8.10,clear,14.995,1.939,0.00,,world
3.95,2026-08-30 14:25:04,-25.40,4.93,-15.60,0.0,grandpas_village,8.12,clear,17.673,2.684,0.00,,world
4.45,2026-08-30 14:25:05,-25.40,4.93,-15.60,0.0,grandpas_village,8.14,clear,17.673,2.684,0.00,,world
4.95,2026-08-30 14:25:05,-25.40,4.93,-15.60,0.0,grandpas_village,8.16,clear,18.857,13.842,0.00,,world
5.45,2026-08-30 14:25:06,-25.40,4.93,-15.60,0.0,grandpas_village,8.18,clear,18.857,13.842,0.00,,world
5.95,2026-08-30 14:25:06,-25.40,4.93,-15.60,0.0,grandpas_village,8.20,clear,15.812,2.503,0.00,,world
6.45,2026-08-30 14:25:07,-25.40,4.93,-15.60,0.0,grandpas_village,8.22,clear,15.812,2.503,0.00,,world
6.95,2026-08-30 14:25:07,-25.40,4.93,-15.60,0.0,grandpas_village,8.24,clear,14.716,2.401,0.00,,world
7.45,2026-08-30 14:25:08,-25.40,4.93,-15.60,0.0,grandpas_village,8.26,clear,14.716,2.401,0.00,,world
7.95,2026-08-30 14:25:08,-25.40,4.93,-15.60,0.0,grandpas_village,8.28,clear,15.336,2.455,0.00,,world
8.45,2026-08-30 14:25:09,-25.40,4.93,-15.60,0.0,grandpas_village,8.30,clear,15.336,2.455,0.00,,world
8.95,2026-08-30 14:25:09,-25.40,4.93,-15.60,0.0,grandpas_village,8.32,clear,15.584,2.526,0.00,,world
9.45,2026-08-30 14:25:10,-25.40,4.93,-15.60,0.0,grandpas_village,8.34,clear,15.584,2.526,0.00,,world
9.95,2026-08-30 14:25:10,-25.40,4.93,-15.60,0.0,grandpas_village,8.36,clear,19.923,2.905,0.00,,world
10.45,2026-08-30 14:25:11,-25.40,4.93,-15.60,0.0,grandpas_village,8.38,clear,19.923,2.905,0.00,,world
10.95,2026-08-30 14:25:11,-25.40,4.93,-15.60,0.0,grandpas_village,8.40,clear,14.489,2.240,0.00,,world
11.45,2026-08-30 14:25:12,-25.40,4.93,-15.60,0.0,grandpas_village,8.42,clear,14.489,2.240,0.00,,world
11.95,2026-08-30 14:25:12,-25.40,4.93,-15.60,0.0,grandpas_village,8.44,clear,14.790,2.660,0.00,,world
12.45,2026-08-30 14:25:13,-25.40,4.93,-15.60,0.0,grandpas_village,8.46,clear,14.790,2.660,0.00,,world
12.95,2026-08-30 14:25:13,-25.40,4.93,-15.60,0.0,grandpas_village,8.48,clear,14.462,2.218,0.00,,world
13.45,2026-08-30 14:25:14,-25.40,4.93,-15.60,0.0,grandpas_village,8.50,clear,14.462,2.218,0.00,,world
13.95,2026-08-30 14:25:14,-25.40,4.93,-15.60,0.0,grandpas_village,8.52,clear,16.766,2.652,0.00,,world
14.45,2026-08-30 14:25:15,-25.40,4.93,-15.60,0.0,grandpas_village,8.54,clear,16.766,2.652,0.00,,world
14.95,2026-08-30 14:25:15,-25.40,4.93,-15.60,0.0,grandpas_village,8.56,clear,15.180,2.850,0.00,,world
15.45,2026-08-30 14:25:16,-25.40,4.93,-15.60,0.0,grandpas_village,8.58,clear,15.180,2.850,0.00,,world
15.95,2026-08-30 14:25:16,-25.40,4.93,-15.60,0.0,grandpas_village,8.60,clear,16.029,5.952,0.00,,world
16.45,2026-08-30 14:25:17,-25.40,4.93,-15.60,0.0,grandpas_village,8.62,clear,16.029,5.952,0.00,,world
16.95,2026-08-30 14:25:17,-25.40,4.93,-15.60,0.0,grandpas_village,8.64,clear,15.495,2.963,0.00,,world
17.45,2026-08-30 14:25:18,-25.40,4.93,-15.60,0.0,grandpas_village,8.66,clear,15.495,2.963,0.00,,world
17.95,2026-08-30 14:25:18,-25.40,4.93,-15.60,0.0,grandpas_village,8.68,clear,14.493,2.745,0.00,,world
18.45,2026-08-30 14:25:19,-25.40,4.93,-15.60,0.0,grandpas_village,8.70,clear,14.493,2.745,0.00,,world
18.95,2026-08-30 14:25:19,-25.40,4.93,-15.60,0.0,grandpas_village,8.72,clear,15.428,2.526,0.00,,world
