t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
91.32,2026-08-25 20:09:42,-25.40,4.93,-15.60,0.0,grandpas_village,9.36,clear,4.601,1.948,0.00,13.70,world
91.83,2026-08-25 20:09:43,-25.40,4.93,-15.60,0.0,grandpas_village,9.38,clear,4.806,5.654,0.00,13.70,world
92.35,2026-08-25 20:09:43,-25.40,4.93,-15.60,0.0,grandpas_village,9.40,clear,4.588,4.470,0.00,13.70,world
92.86,2026-08-25 20:09:44,-25.40,4.93,-15.60,0.0,grandpas_village,9.42,clear,4.588,4.470,0.00,13.70,world
93.38,2026-08-25 20:09:45,-25.40,4.93,-15.60,0.0,grandpas_village,9.44,clear,4.758,4.625,0.00,13.70,world
93.90,2026-08-25 20:09:45,-25.40,4.93,-15.60,0.0,grandpas_village,9.46,clear,4.758,4.625,0.00,13.70,world
94.42,2026-08-25 20:09:46,-25.40,4.93,-15.60,0.0,grandpas_village,9.49,clear,4.640,4.443,0.00,13.70,world
94.92,2026-08-25 20:09:46,-25.40,4.93,-15.60,0.0,grandpas_village,9.51,clear,4.640,4.443,0.00,13.70,world
95.43,2026-08-25 20:09:47,-25.40,4.93,-15.60,0.0,grandpas_village,9.53,clear,5.545,15.407,0.00,13.70,world
95.95,2026-08-25 20:09:47,-25.40,4.93,-15.60,0.0,grandpas_village,9.55,clear,5.545,15.407,0.00,13.70,world
96.46,2026-08-25 20:09:48,-25.40,4.93,-15.60,0.0,grandpas_village,9.57,clear,4.743,4.330,0.00,13.70,world
96.98,2026-08-25 20:09:48,-25.40,4.93,-15.60,0.0,grandpas_village,9.59,clear,4.743,4.330,0.00,13.70,world
97.50,2026-08-25 20:09:49,-25.40,4.93,-15.60,0.0,grandpas_village,9.61,clear,4.497,4.253,0.00,13.70,world
98.02,2026-08-25 20:09:49,-25.40,4.93,-15.60,0.0,grandpas_village,9.63,clear,4.497,4.253,0.00,13.70,world
98.53,2026-08-25 20:09:50,-25.40,4.93,-15.60,0.0,grandpas_village,9.65,clear,4.548,4.577,0.00,13.70,world
99.04,2026-08-25 20:09:50,-25.40,4.93,-15.60,0.0,grandpas_village,9.67,clear,4.548,4.577,0.00,13.70,world
99.55,2026-08-25 20:09:51,-25.40,4.93,-15.60,0.0,grandpas_village,9.69,clear,4.836,4.293,0.00,13.70,world
100.07,2026-08-25 20:09:51,-25.40,4.93,-15.60,0.0,grandpas_village,9.71,clear,4.836,4.293,0.00,13.70,world
100.58,2026-08-25 20:09:52,-25.40,4.93,-15.60,0.0,grandpas_village,9.73,clear,4.418,4.398,0.00,13.70,world
101.10,2026-08-25 20:09:52,-25.40,4.93,-15.60,0.0,grandpas_village,9.75,clear,4.418,4.398,0.00,13.70,world
101.62,2026-08-25 20:09:53,-25.40,4.93,-15.60,0.0,grandpas_village,9.77,clear,4.862,4.190,0.00,13.70,world
102.13,2026-08-25 20:09:53,-25.40,4.93,-15.60,0.0,grandpas_village,9.79,clear,4.862,4.190,0.00,13.70,world
102.65,2026-08-25 20:09:54,-25.40,4.93,-15.60,0.0,grandpas_village,9.81,clear,6.320,4.459,0.00,13.70,world
103.15,2026-08-25 20:09:54,-25.40,4.93,-15.60,0.0,grandpas_village,9.83,clear,6.320,4.459,0.00,13.70,world
103.66,2026-08-25 20:09:55,-25.40,4.93,-15.60,0.0,grandpas_village,9.86,clear,4.602,4.559,0.00,13.70,world
104.18,2026-08-25 20:09:55,-25.40,4.93,-15.60,0.0,grandpas_village,9.88,clear,4.602,4.559,0.00,13.70,world
104.69,2026-08-25 20:09:56,-25.40,4.93,-15.60,0.0,grandpas_village,9.90,clear,4.980,4.165,0.00,13.70,world
105.20,2026-08-25 20:09:56,-25.40,4.93,-15.60,0.0,grandpas_village,9.92,clear,4.980,4.165,0.00,13.70,world
105.71,2026-08-25 20:09:57,-25.40,4.93,-15.60,0.0,grandpas_village,9.94,clear,4.493,20.233,0.00,13.70,world
106.21,2026-08-25 20:09:57,-25.40,4.93,-15.60,0.0,grandpas_village,9.96,clear,4.493,20.233,0.00,13.70,world
106.73,2026-08-25 20:09:58,-25.40,4.93,-15.60,0.0,grandpas_village,9.98,clear,5.076,4.418,0.00,13.70,world
107.24,2026-08-25 20:09:58,-25.40,4.93,-15.60,0.0,grandpas_village,10.00,clear,5.076,4.418,0.00,13.70,world
107.75,2026-08-25 20:09:59,-25.40,4.93,-15.60,0.0,grandpas_village,10.02,clear,4.476,4.356,0.00,13.70,world
108.26,2026-08-25 20:09:59,-25.40,4.93,-15.60,0.0,grandpas_village,10.04,clear,4.476,4.356,0.00,13.70,world
108.76,2026-08-25 20:10:00,-25.40,4.93,-15.60,0.0,grandpas_village,10.06,clear,5.729,5.470,0.00,13.70,world
109.26,2026-08-25 20:10:00,-25.40,4.93,-15.60,0.0,grandpas_village,10.08,clear,5.729,5.470,0.00,13.70,world
109.78,2026-08-25 20:10:01,-25.40,4.93,-15.60,0.0,grandpas_village,10.10,clear,5.001,4.260,0.00,13.70,world
