t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
61.70,2026-08-27 17:04:10,-25.40,4.93,-15.60,0.0,grandpas_village,8.16,clear,4.646,2.855,0.00,13.70,world
62.60,2026-08-27 17:04:11,-25.40,4.93,-15.60,0.0,grandpas_village,8.16,clear,4.646,2.855,0.00,13.70,world
64.78,2026-08-27 17:04:13,4.01,0.90,-14.01,10.5,grandpas_village,8.22,clear,6.509,3.964,0.00,8.49,world
65.65,2026-08-27 17:04:14,6.35,0.90,-15.18,116.6,grandpas_village,8.24,clear,6.737,812.998,0.00,8.86,world
66.17,2026-08-27 17:04:15,6.49,0.90,-15.24,116.6,grandpas_village,8.27,clear,6.965,449.697,0.00,8.72,narrative_modal
66.68,2026-08-27 17:04:15,6.49,0.90,-15.24,116.6,grandpas_village,8.29,clear,5.853,6.508,0.00,8.72,world
67.18,2026-08-27 17:04:16,6.96,0.90,-15.82,140.8,grandpas_village,8.30,clear,5.853,6.508,0.00,7.98,world
67.69,2026-08-27 17:04:16,8.53,0.90,-17.83,140.2,grandpas_village,8.32,clear,7.152,341.966,0.00,5.42,world
68.20,2026-08-27 17:04:17,10.18,0.90,-19.82,140.2,grandpas_village,8.34,clear,7.152,341.966,0.00,2.84,world
68.78,2026-08-27 17:04:17,11.18,0.90,-21.01,140.2,grandpas_village,8.35,clear,5.676,6.852,0.00,1.29,world
