t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
88.77,2026-08-25 20:03:09,-25.40,4.93,-15.60,0.0,grandpas_village,8.16,clear,4.796,1.815,0.00,13.70,world
88.78,2026-08-25 20:03:09,-25.40,4.93,-15.60,0.0,grandpas_village,8.16,clear,4.796,1.815,0.00,13.70,world
89.29,2026-08-25 20:03:09,-25.40,4.93,-15.60,0.0,grandpas_village,8.19,clear,4.796,1.815,0.00,13.70,world
89.80,2026-08-25 20:03:10,-25.40,4.93,-15.60,0.0,grandpas_village,8.21,clear,5.712,387.753,0.00,13.70,world
90.32,2026-08-25 20:03:10,-25.40,4.93,-15.60,0.0,grandpas_village,8.23,clear,5.712,387.753,0.00,13.70,world
90.84,2026-08-25 20:03:11,-25.40,4.93,-15.60,0.0,grandpas_village,8.25,clear,4.786,5.197,0.00,13.70,world
91.35,2026-08-25 20:03:11,-25.40,4.93,-15.60,0.0,grandpas_village,8.27,clear,4.986,22.571,0.00,13.70,world
91.85,2026-08-25 20:03:12,-25.40,4.93,-15.60,0.0,grandpas_village,8.29,clear,4.986,22.571,0.00,13.70,world
92.35,2026-08-25 20:03:12,-25.40,4.93,-15.60,0.0,grandpas_village,8.31,clear,4.753,4.699,0.00,13.70,world
92.87,2026-08-25 20:03:13,-25.40,4.93,-15.60,0.0,grandpas_village,8.33,clear,4.753,4.699,0.00,13.70,world
93.37,2026-08-25 20:03:13,-25.40,4.93,-15.60,0.0,grandpas_village,8.35,clear,4.778,4.543,0.00,13.70,world
93.89,2026-08-25 20:03:14,-25.40,4.93,-15.60,0.0,grandpas_village,8.37,clear,4.778,4.543,0.00,13.70,world
94.40,2026-08-25 20:03:14,-25.40,4.93,-15.60,0.0,grandpas_village,8.39,clear,4.862,4.661,0.00,13.70,world
94.92,2026-08-25 20:03:15,-25.40,4.93,-15.60,0.0,grandpas_village,8.41,clear,4.862,4.661,0.00,13.70,world
95.44,2026-08-25 20:03:15,-25.40,4.93,-15.60,0.0,grandpas_village,8.43,clear,4.965,4.993,0.00,13.70,world
95.95,2026-08-25 20:03:16,-25.40,4.93,-15.60,0.0,grandpas_village,8.45,clear,4.965,4.993,0.00,13.70,world
96.45,2026-08-25 20:03:16,-25.40,4.93,-15.60,0.0,grandpas_village,8.47,clear,4.755,4.459,0.00,13.70,world
96.96,2026-08-25 20:03:17,-25.40,4.93,-15.60,0.0,grandpas_village,8.49,clear,4.755,4.459,0.00,13.70,world
97.48,2026-08-25 20:03:17,-25.40,4.93,-15.60,0.0,grandpas_village,8.51,clear,4.466,4.592,0.00,13.70,world
97.99,2026-08-25 20:03:18,-25.40,4.93,-15.60,0.0,grandpas_village,8.53,clear,4.466,4.592,0.00,13.70,world
98.49,2026-08-25 20:03:18,-25.40,4.93,-15.60,0.0,grandpas_village,8.56,clear,4.862,4.711,0.00,13.70,world
