TSV	id	kind	band	playerL	party	foes	foeL	won	felled	seconds	hp_left	faints	hits	taken	missed	switches
TSV	practice_trainer	local	1	3	3	2	3	1	2	14.5	0.926	0	15	4	0	0
TSV	trainer_mira	local	1	4	3	1	4	1	1	7.2	0.965	0	9	2	0	0
TSV	trainer_tam	local	1	5	3	2	6	1	2	13.9	0.951	0	15	3	0	0
TSV	trainer_oskar	local	1	5	3	2	7	1	2	23.6	0.872	0	30	7	0	0
TSV	old_champion_bram	optional	1	6	3	2	7	1	2	17.1	0.931	0	20	4	0	0
TSV	tournament_quarter_mira	tournament	1	7	3	2	8	1	2	17.2	0.939	0	20	4	0	0
TSV	tournament_semi_tam	tournament	1	7	3	2	9	1	2	23.0	0.899	0	27	6	1	0
TSV	tournament_final_oskar	tournament	1	8	3	3	11	1	3	39.7	0.797	0	50	13	0	0
TSV	south_bridge_grunt	tether	1	8	3	2	12	1	2	21.6	0.895	0	26	7	0	0
TSV	quarry_picket_dorn	tether	2	8	4	2	9	1	2	20.6	0.944	0	24	5	3	0
TSV	warrens_watch_pell	tether	2	9	4	3	11	1	3	30.2	0.913	0	35	8	1	0
TSV	band2_outrider_kest	tether	2	9	4	2	12	1	2	20.4	0.939	0	25	6	0	0
TSV	night_watch_farro	route	2	10	4	2	13	1	2	19.5	0.952	0	22	5	0	0
TSV	relay_picket_hess	tether	3	10	5	2	8	1	2	17.4	0.969	0	20	4	0	0
TSV	relay_picket_orrin	tether	3	11	5	2	9	1	2	16.0	0.971	0	18	4	0	0
TSV	relay_officer_dell	officer	3	12	5	3	10	1	3	32.9	0.932	0	40	9	0	0
TSV	relay_captain	officer	3	12	5	3	12	1	3	29.8	0.940	0	35	8	0	0
TSV	captain_riverwatch	captain	3	13	5	3	16	1	3	40.0	0.893	0	50	13	0	0
TSV	pasture_drover_juno	route	4	13	5	2	13	1	2	22.8	0.944	0	29	8	0	0
TSV	patrol_ridgeline	tether	4	14	5	2	14	1	2	20.4	0.957	0	25	6	0	0
TSV	lost_creature_rue	route	4	14	5	2	15	1	2	22.6	0.947	0	29	7	1	0
TSV	captain_field	captain	4	15	5	3	15	1	3	33.5	0.933	0	40	10	0	0
TSV	captain_ridge	captain	4	16	5	3	16	1	3	29.7	0.952	0	33	8	0	0
TSV	stronghold_outer_watch	tether	5	16	5	2	15	1	2	20.4	0.966	0	25	6	0	0
TSV	stronghold_patrol	tether	5	17	5	2	16	1	2	24.1	0.954	0	30	7	0	0
TSV	stronghold_checkpoint	tether	5	18	5	3	16	1	3	39.7	0.914	0	50	13	0	0
TSV	stronghold_courtyard	tether	5	18	5	3	17	1	3	43.1	0.904	0	55	15	0	0
TSV	stronghold_elite	officer	5	19	5	3	19	1	3	34.1	0.938	0	41	11	0	0
TSV	warden_aldis	warden	5	20	5	5	20	1	5	61.4	0.887	0	75	19	0	0
